vision_request,text_request,layer,rank,vision_total_assignments,text_total_assignments,vision_active_experts,text_active_experts,vision_gini,text_gini,vision_top1_share,text_top1_share,vision_top4_share,text_top4_share,vision_max_expert_load,text_max_expert_load,vision_padding_amplification,text_padding_amplification,vision_effective_tiles,text_effective_tiles,vision_expert_median_ms,text_expert_median_ms,relative_assignment_error
coins,text_01_clock_motion,0,0,263.0,263.0,27.0,28.0,0.621078897338403,0.46993821292775667,0.155893536121673,0.11406844106463879,0.45627376425855515,0.33840304182509506,41.0,30.0,6.570342205323194,6.813688212927756,27.0,28.0,0.4121600091457367,0.4132159948348999,0.0
coins,text_00_coins,1,0,280.0,259.0,29.0,31.0,0.5899553571428572,0.3799469111969112,0.12142857142857143,0.09266409266409266,0.44999999999999996,0.305019305019305,34.0,24.0,6.628571428571429,7.66023166023166,29.0,31.0,0.3988800048828125,0.39878401160240173,0.075
coins,text_04_color_wheel,2,0,339.0,370.0,25.0,27.0,0.5904314159292036,0.6390202702702703,0.10619469026548672,0.17297297297297298,0.3864306784660767,0.5459459459459459,36.0,64.0,4.71976401179941,4.6702702702702705,25.0,27.0,0.39795199036598206,0.40112000703811646,0.09144542772861357
coins,text_01_clock_motion,3,0,217.0,341.0,25.0,30.0,0.6634504608294931,0.4753482404692082,0.20276497695852536,0.12316715542521994,0.5483870967741935,0.3519061583577713,44.0,42.0,7.373271889400922,5.6304985337243405,25.0,30.0,0.39206400513648987,0.39689600467681885,0.5714285714285714
coins,text_00_coins,4,0,319.0,276.0,27.0,23.0,0.6186324451410659,0.6485507246376812,0.15673981191222572,0.2028985507246377,0.5172413793103449,0.49637681159420294,50.0,56.0,5.41692789968652,5.333333333333333,27.0,23.0,0.3871679902076721,0.3874559998512268,0.13479623824451412
coins,text_00_coins,5,0,224.0,257.0,28.0,26.0,0.6252790178571429,0.6830009727626459,0.18303571428571427,0.28793774319066145,0.5178571428571428,0.5525291828793775,41.0,74.0,8.0,6.723735408560311,28.0,27.0,0.39686399698257446,0.39056000113487244,0.14732142857142858
coins,text_02_cat,6,0,310.0,299.0,28.0,26.0,0.6233870967741936,0.6830058528428093,0.16774193548387098,0.14381270903010032,0.5387096774193548,0.5351170568561873,52.0,43.0,5.780645161290322,5.565217391304348,28.0,26.0,0.39420801401138306,0.4015359878540039,0.035483870967741936
coins,text_00_coins,7,0,145.0,273.0,21.0,26.0,0.7265086206896552,0.615728021978022,0.19310344827586207,0.2271062271062271,0.5862068965517242,0.47985347985347987,28.0,62.0,4.63448275862069,6.095238095238095,21.0,26.0,0.3975040018558502,0.3906880021095276,0.8827586206896552
coins,text_02_cat,8,0,262.0,287.0,30.0,24.0,0.6164122137404581,0.6662674216027874,0.20610687022900764,0.24738675958188153,0.564885496183206,0.5017421602787456,54.0,71.0,7.32824427480916,5.574912891986063,30.0,25.0,0.3945919871330261,0.38732799887657166,0.09541984732824428
coins,text_03_phantom,9,0,316.0,310.0,30.0,22.0,0.575751582278481,0.7207661290322581,0.12658227848101267,0.27741935483870966,0.43037974683544306,0.6096774193548387,40.0,86.0,6.075949367088608,4.748387096774193,30.0,23.0,0.40137600898742676,0.4065279960632324,0.0189873417721519
coins,text_02_cat,10,0,299.0,290.0,31.0,27.0,0.5224707357859532,0.6521551724137931,0.1605351170568562,0.2793103448275862,0.37458193979933113,0.5206896551724138,48.0,81.0,6.635451505016722,6.179310344827586,31.0,28.0,0.4020479917526245,0.3915199935436249,0.030100334448160536
coins,text_02_cat,11,0,229.0,240.0,29.0,26.0,0.5951146288209607,0.6364583333333333,0.22270742358078602,0.18333333333333332,0.49344978165938863,0.49166666666666664,51.0,44.0,8.104803493449781,6.933333333333334,29.0,26.0,0.4017600119113922,0.3877440094947815,0.048034934497816595
coins,text_00_coins,12,0,219.0,227.0,27.0,26.0,0.5683504566210046,0.5772301762114538,0.1415525114155251,0.09691629955947137,0.4474885844748858,0.3788546255506608,31.0,22.0,7.890410958904109,7.330396475770925,27.0,26.0,0.4057919979095459,0.3935360014438629,0.0365296803652968
coins,text_04_color_wheel,13,0,299.0,284.0,25.0,27.0,0.6832148829431438,0.5415933098591549,0.3110367892976589,0.10211267605633803,0.5986622073578596,0.3485915492957746,93.0,29.0,5.565217391304348,6.084507042253521,26.0,27.0,0.39209601283073425,0.39958399534225464,0.05016722408026756
coins,text_00_coins,14,0,273.0,329.0,29.0,27.0,0.45341117216117216,0.567154255319149,0.10622710622710622,0.1702127659574468,0.3186813186813187,0.42857142857142855,29.0,56.0,6.798534798534798,5.2522796352583585,29.0,27.0,0.3911679983139038,0.40163201093673706,0.20512820512820512
coins,text_06_moon,15,0,286.0,237.0,28.0,24.0,0.701048951048951,0.7029272151898734,0.2202797202797203,0.22362869198312235,0.6643356643356644,0.5611814345991561,63.0,53.0,6.265734265734266,6.481012658227848,28.0,24.0,0.40569600462913513,0.3970560133457184,0.17132867132867133
