matrix,total_volume,real_assignments,real_tokens_per_source,observed_tokens_per_source,source_active_count,destination_active_count,source_row_imbalance_active,source_row_imbalance_all,destination_column_imbalance,active_pair_count,active_pair_fraction,max_pair_load,max_pair_fraction,pair_entropy_normalized,pair_hhi,all_s,all_tokens,all_assignments,vision_s,vision_tokens,vision_assignments,text_s,text_tokens,text_assignments,wave,request_id,pair_id,token_bucket,iteration,source_dp_rank,layer,dispatch_ms,combine_ms,expert_ms,comm_total_ms,rank_histograms,scale_bucket
"[[0, 0, 0, 0], [270, 243, 205, 322], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.2384615384615385,4,0.25,322.0,0.3096153846153846,0.4951788992351299,0.25671042899408286,0.873046875,128.0,1024.0,0.8703703703703703,108.0,864.0,0.8875,20.0,160.0,2,coins,0,small,0,1,0,1.454751968383789,0.21488000452518463,0.4503679871559143,1.6696319729089737,"{""0"":[42,7,7,7,5,2,2,18,11,0,1,0,7,27,24,0,9,1,0,12,1,17,0,2,1,28,1,3,4,23,7,1],""1"":[7,23,24,10,1,11,2,2,0,2,10,1,2,4,9,12,0,7,6,2,3,6,7,2,15,15,54,0,2,1,1,2],""2"":[11,3,4,5,3,0,17,3,21,1,0,10,1,8,29,1,1,2,10,3,6,11,6,1,19,1,1,7,4,0,6,10],""3"":[1,4,8,5,6,31,7,1,53,3,2,2,3,60,3,11,8,2,6,15,3,1,1,0,9,12,7,13,1,5,20,19]}",<256
"[[0, 0, 0, 0], [287, 232, 213, 308], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.1846153846153846,4,0.25,308.0,0.29615384615384616,0.49596616420238954,0.25557137573964495,0.9140625,128.0,1024.0,0.9189814814814815,108.0,864.0,0.8875,20.0,160.0,2,coins,0,small,0,1,1,0.5632960200309753,0.09193599969148636,0.40697601437568665,0.6552320197224617,"{""0"":[9,23,10,33,6,34,11,6,25,27,6,1,8,2,5,3,16,0,3,1,6,6,0,0,1,2,3,1,1,2,2,34],""1"":[22,6,2,24,10,2,1,5,8,1,0,4,4,10,1,1,5,0,0,9,0,2,12,4,7,3,0,56,3,28,1,1],""2"":[6,0,1,7,16,0,4,1,2,1,2,5,4,9,1,9,3,19,11,2,1,24,4,21,9,0,36,4,2,3,5,1],""3"":[15,12,3,2,30,7,17,1,37,0,1,11,14,1,38,6,15,5,8,1,4,9,15,13,7,10,1,2,3,10,3,7]}",<256
"[[0, 0, 0, 0], [347, 244, 233, 216], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.3346153846153845,4,0.25,347.0,0.33365384615384613,0.4933872043672682,0.25969859467455625,0.935546875,128.0,1024.0,0.9328703703703703,108.0,864.0,0.95,20.0,160.0,2,coins,0,small,0,1,2,0.39792001247406006,0.11270400136709213,0.43536001443862915,0.5106240138411522,"{""0"":[2,21,17,28,9,2,31,2,2,1,23,4,10,1,0,5,6,36,0,0,8,25,0,0,0,14,31,19,0,13,3,34],""1"":[5,0,8,16,10,80,3,2,12,6,4,0,13,0,2,13,4,2,16,1,0,4,1,8,8,3,2,2,8,3,4,4],""2"":[3,3,14,3,0,0,3,4,0,3,6,14,4,3,9,30,11,31,6,0,1,13,1,0,2,3,3,20,3,3,20,17],""3"":[39,5,2,6,1,1,16,5,1,0,0,9,4,0,27,2,11,2,4,28,2,0,3,1,6,3,2,9,7,5,4,11]}",<256
"[[0, 0, 0, 0], [223, 224, 342, 251], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.3153846153846154,4,0.25,342.0,0.32884615384615384,0.49400272913313475,0.2587555473372781,0.90234375,128.0,1024.0,0.9074074074074074,108.0,864.0,0.875,20.0,160.0,2,coins,0,small,0,1,3,0.443231999874115,0.10307200253009796,0.4025920033454895,0.546304002404213,"{""0"":[3,5,45,4,11,4,6,4,35,24,0,3,1,3,1,0,13,6,3,7,0,0,0,1,13,1,0,1,16,10,0,3],""1"":[4,8,2,3,14,3,0,3,3,0,0,2,4,5,1,4,45,2,11,3,0,1,6,60,2,7,19,1,1,3,4,3],""2"":[1,1,1,4,2,8,8,12,7,4,4,1,2,5,14,1,1,24,6,0,59,15,3,31,33,3,6,1,15,0,0,70],""3"":[0,2,0,2,1,1,10,10,41,0,7,9,5,36,11,12,4,0,3,28,4,2,10,9,8,4,1,14,6,0,5,6]}",<256
"[[0, 0, 0, 0], [327, 281, 218, 214], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.2576923076923077,4,0.25,327.0,0.3144230769230769,0.49419990378327505,0.2581453402366864,0.931640625,128.0,1024.0,0.9398148148148148,108.0,864.0,0.8875,20.0,160.0,2,coins,0,small,0,1,4,0.3479680120944977,0.30854400992393494,0.5651199817657471,0.6565120220184326,"{""0"":[2,4,11,51,8,21,9,2,15,0,5,3,1,40,11,0,6,4,0,2,3,12,2,8,40,0,9,5,35,2,0,16],""1"":[4,2,13,6,43,0,5,2,2,0,0,8,0,0,7,3,0,65,14,6,10,3,3,0,1,12,3,5,5,7,43,9],""2"":[4,2,24,0,0,1,30,42,12,8,1,2,2,5,1,2,17,9,0,1,18,4,0,3,5,1,6,0,3,4,6,5],""3"":[1,0,3,5,2,2,0,3,11,4,3,16,13,18,4,1,2,4,1,5,5,16,1,3,0,4,10,13,2,53,8,1]}",<256
"[[0, 0, 0, 0], [232, 322, 227, 259], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.2384615384615385,4,0.25,322.0,0.3096153846153846,0.49631630932721976,0.2552866124260355,0.947265625,128.0,1024.0,0.9444444444444444,108.0,864.0,0.9625,20.0,160.0,2,coins,0,small,0,1,5,0.5812479853630066,0.11161600053310394,0.4270400106906891,0.6928639858961105,"{""0"":[11,6,2,2,2,4,5,27,2,6,7,0,5,8,41,5,2,7,3,0,1,1,0,2,3,18,1,11,26,23,1,0],""1"":[32,2,0,16,0,5,2,2,13,38,1,28,73,2,5,1,10,1,11,4,21,3,19,1,5,21,1,0,1,2,1,1],""2"":[9,5,3,2,7,8,7,9,3,3,3,3,19,56,3,1,1,2,0,6,1,10,4,6,10,0,3,0,41,2,0,0],""3"":[10,4,43,4,8,4,3,1,4,4,9,3,1,9,1,1,16,21,2,13,0,7,3,6,3,33,5,17,15,2,0,7]}",<256
"[[0, 0, 0, 0], [317, 209, 244, 270], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.2192307692307693,4,0.25,317.0,0.30480769230769234,0.4958752098128431,0.25573779585798817,0.939453125,128.0,1024.0,0.9398148148148148,108.0,864.0,0.9375,20.0,160.0,2,coins,0,small,0,1,6,0.3773120045661926,0.12800000607967377,0.43062400817871094,0.5053120106458664,"{""0"":[2,12,10,5,6,48,48,6,11,0,0,4,1,1,2,3,18,6,18,1,7,10,5,0,6,1,5,5,4,51,0,21],""1"":[8,3,13,16,0,2,0,0,2,0,0,10,4,16,2,0,2,1,3,7,0,6,48,3,9,2,14,3,33,0,0,2],""2"":[5,9,17,1,3,23,2,12,0,8,3,2,32,1,7,2,2,9,1,2,0,6,8,1,4,62,0,22,0,0,0,0],""3"":[0,0,4,80,1,0,72,12,1,3,1,4,21,3,0,1,0,12,1,0,20,1,1,0,2,2,15,2,0,0,0,11]}",<256
"[[0, 0, 0, 0], [152, 234, 235, 419], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.6115384615384616,4,0.25,419.0,0.4028846153846154,0.47574587042328076,0.2853605769230769,0.873046875,128.0,1024.0,0.8611111111111112,108.0,864.0,0.9375,20.0,160.0,2,coins,0,small,0,1,7,0.43862399458885193,0.09468799829483032,0.3927040100097656,0.5333119928836823,"{""0"":[3,24,5,18,2,2,2,16,1,0,0,0,0,1,0,1,0,5,28,1,0,0,11,5,7,0,0,0,1,1,17,1],""1"":[16,0,0,1,0,9,2,6,0,4,0,1,1,2,0,84,1,3,0,1,2,0,1,30,9,23,21,11,0,1,3,2],""2"":[1,4,5,4,11,0,1,1,0,9,12,5,33,65,3,0,12,1,0,1,0,0,2,2,0,9,11,0,40,0,3,0],""3"":[0,4,2,1,72,7,0,6,52,1,38,72,23,18,3,3,5,12,1,2,0,3,38,3,3,0,3,2,30,0,0,15]}",<256
"[[0, 0, 0, 0], [269, 316, 234, 221], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.2153846153846153,4,0.25,316.0,0.3038461538461538,0.4964549575937195,0.2550055473372781,0.9375,128.0,1024.0,0.9467592592592593,108.0,864.0,0.8875,20.0,160.0,2,coins,0,small,0,1,8,0.37836799025535583,0.1225920021533966,0.4394240081310272,0.5009599924087524,"{""0"":[2,22,2,4,8,3,3,8,3,3,25,4,0,1,5,0,7,9,4,8,12,54,1,10,1,3,3,4,2,8,2,48],""1"":[0,0,2,71,0,9,30,0,43,12,1,0,8,5,15,0,8,8,1,3,2,2,1,13,2,8,57,0,0,5,5,5],""2"":[2,6,32,3,1,3,3,35,11,28,0,0,2,1,22,0,1,24,2,2,3,0,0,5,8,6,0,0,2,4,28,0],""3"":[8,9,9,7,1,23,10,2,0,0,1,4,1,1,1,3,1,0,7,4,11,0,0,16,4,2,1,28,1,44,0,22]}",<256
"[[0, 0, 0, 0], [319, 203, 337, 181], [0, 0, 0, 0], [0, 0, 0, 0]]",1040.0,1024.0,128.0,130.0,1,4,1.0,4.0,1.2961538461538462,4,0.25,337.0,0.32403846153846155,0.48721557542059185,0.2674741124260355,0.927734375,128.0,1024.0,0.9236111111111112,108.0,864.0,0.95,20.0,160.0,2,coins,0,small,0,1,9,0.32124799489974976,0.11302399635314941,0.40620800852775574,0.43427199125289917,"{""0"":[3,2,5,41,8,25,2,4,10,3,18,1,23,13,1,0,5,2,30,10,0,2,1,2,2,6,14,37,4,13,3,29],""1"":[8,2,1,9,12,1,0,2,25,22,2,1,3,0,10,24,3,16,2,6,0,0,7,6,1,0,22,0,1,15,0,2],""2"":[1,0,1,2,7,21,5,0,1,0,12,12,23,5,3,22,0,21,1,29,4,5,37,5,0,0,56,2,4,54,0,4],""3"":[7,1,14,0,4,3,0,0,3,1,5,4,30,0,4,3,1,2,25,0,3,2,0,1,6,51,5,0,1,2,3,0]}",<256
