wave,request_id,phase,iteration,latency_ms,critical_ep_rank,variant
3,coins,measured,0,140.15731811523438,1,A0
4,coins,measured,1,126.93756866455078,0,A0
5,coins,measured,2,96.85916900634766,2,A0
6,coins,measured,3,97.57772827148438,3,A0
7,coins,measured,4,141.85775756835938,3,A0
8,coins,measured,5,112.1082534790039,1,A0
9,coins,measured,6,104.79618835449219,1,A0
10,coins,measured,7,107.08035278320312,0,A0
11,coins,measured,8,116.95734405517578,1,A0
12,coins,measured,9,152.1815643310547,1,A0
17,histology,measured,0,183.6637420654297,3,A0
18,histology,measured,1,157.0113983154297,3,A0
19,histology,measured,2,166.55804443359375,2,A0
20,histology,measured,3,166.4192352294922,2,A0
21,histology,measured,4,156.53628540039062,0,A0
22,histology,measured,5,152.91232299804688,3,A0
23,histology,measured,6,153.5034942626953,3,A0
24,histology,measured,7,165.89996337890625,3,A0
25,histology,measured,8,117.864990234375,0,A0
26,histology,measured,9,153.9862060546875,1,A0
31,method,measured,0,126.12163543701172,2,A0
32,method,measured,1,124.82275390625,2,A0
33,method,measured,2,125.87353515625,2,A0
34,method,measured,3,125.68854522705078,2,A0
35,method,measured,4,125.75468444824219,2,A0
36,method,measured,5,125.8141098022461,2,A0
37,method,measured,6,125.93817901611328,2,A0
38,method,measured,7,141.16969299316406,3,A0
39,method,measured,8,126.41613006591797,2,A0
40,method,measured,9,126.88652801513672,2,A0
3,coins,measured,0,691.498779296875,2,A1
4,coins,measured,1,883.743408203125,1,A1
5,coins,measured,2,779.0192260742188,3,A1
6,coins,measured,3,763.6758422851562,3,A1
7,coins,measured,4,675.081298828125,3,A1
8,coins,measured,5,781.2369384765625,3,A1
9,coins,measured,6,686.1622314453125,1,A1
10,coins,measured,7,719.9138793945312,2,A1
11,coins,measured,8,687.4979858398438,3,A1
12,coins,measured,9,686.9052124023438,3,A1
17,histology,measured,0,794.6087646484375,1,A1
18,histology,measured,1,693.2205200195312,3,A1
19,histology,measured,2,733.5407104492188,0,A1
20,histology,measured,3,696.41064453125,3,A1
21,histology,measured,4,824.3645629882812,0,A1
22,histology,measured,5,831.5587158203125,0,A1
23,histology,measured,6,692.14501953125,1,A1
24,histology,measured,7,796.6491088867188,2,A1
25,histology,measured,8,773.0360107421875,0,A1
26,histology,measured,9,703.6593017578125,0,A1
31,method,measured,0,698.6082763671875,0,A1
32,method,measured,1,714.1805419921875,0,A1
33,method,measured,2,678.3970336914062,2,A1
34,method,measured,3,764.945556640625,2,A1
35,method,measured,4,701.2451171875,0,A1
36,method,measured,5,853.07763671875,1,A1
37,method,measured,6,692.2554321289062,3,A1
38,method,measured,7,693.2041015625,2,A1
39,method,measured,8,674.3277587890625,1,A1
40,method,measured,9,679.18798828125,1,A1
3,coins,measured,0,670.7562866210938,2,A2
4,coins,measured,1,703.8798828125,1,A2
5,coins,measured,2,701.6277465820312,1,A2
6,coins,measured,3,817.351806640625,0,A2
7,coins,measured,4,669.38525390625,1,A2
8,coins,measured,5,668.1503295898438,1,A2
9,coins,measured,6,664.2621459960938,2,A2
10,coins,measured,7,707.9472045898438,2,A2
11,coins,measured,8,675.0285034179688,1,A2
12,coins,measured,9,674.52734375,2,A2
17,histology,measured,0,762.2686767578125,2,A2
18,histology,measured,1,677.5128173828125,3,A2
19,histology,measured,2,657.6066284179688,2,A2
20,histology,measured,3,674.44873046875,1,A2
21,histology,measured,4,760.346435546875,3,A2
22,histology,measured,5,680.572998046875,2,A2
23,histology,measured,6,670.182373046875,2,A2
24,histology,measured,7,670.9907836914062,1,A2
25,histology,measured,8,671.8344116210938,2,A2
26,histology,measured,9,674.6774291992188,2,A2
31,method,measured,0,691.890380859375,0,A2
32,method,measured,1,689.65625,2,A2
33,method,measured,2,686.139404296875,2,A2
34,method,measured,3,684.0305786132812,2,A2
35,method,measured,4,699.2198486328125,2,A2
36,method,measured,5,708.9823608398438,2,A2
37,method,measured,6,670.8033447265625,3,A2
38,method,measured,7,686.656982421875,2,A2
39,method,measured,8,696.2705078125,2,A2
40,method,measured,9,690.841064453125,2,A2
3,coins,measured,0,729.2557983398438,2,C
4,coins,measured,1,699.7328491210938,0,C
5,coins,measured,2,683.121826171875,2,C
6,coins,measured,3,800.6707763671875,0,C
7,coins,measured,4,699.0222778320312,3,C
8,coins,measured,5,668.97265625,2,C
9,coins,measured,6,662.4774780273438,3,C
10,coins,measured,7,430.1745300292969,1,C
11,coins,measured,8,691.7012939453125,0,C
12,coins,measured,9,675.895263671875,0,C
17,histology,measured,0,787.1923217773438,0,C
18,histology,measured,1,701.7188720703125,0,C
19,histology,measured,2,696.6153564453125,3,C
20,histology,measured,3,707.9131469726562,3,C
21,histology,measured,4,701.8460693359375,1,C
22,histology,measured,5,766.4989013671875,2,C
23,histology,measured,6,585.16845703125,2,C
24,histology,measured,7,705.0117797851562,2,C
25,histology,measured,8,702.5514526367188,1,C
26,histology,measured,9,692.7747802734375,1,C
31,method,measured,0,697.4736938476562,2,C
32,method,measured,1,716.361572265625,2,C
33,method,measured,2,724.4078369140625,0,C
34,method,measured,3,716.8551025390625,3,C
35,method,measured,4,723.1845703125,0,C
36,method,measured,5,719.4343872070312,0,C
37,method,measured,6,725.0805053710938,0,C
38,method,measured,7,745.33984375,0,C
39,method,measured,8,724.833740234375,3,C
40,method,measured,9,706.858154296875,2,C
