wave,layer,request_id,budget,strategy,base_assignments,removed_assignments,actual_removed_fraction,base_critical_rank,new_critical_rank,critical_rank_load_reduction,max_rank_load_reduction,predicted_expert_latency_reduction,pair_cosine_median,selected_critical_pair_fraction,quality_error_proxy_1_minus_cosine
6,0,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,2,2,0.036231884057971064,0.036231884057971064,0.036231884057971064,,,
6,0,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,0,single_astronaut,0.05,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,0,single_astronaut,0.1,RANDOM,1744,175,0.1003440366972477,2,2,0.06521739130434778,0.06521739130434778,0.06521739130434778,,,
6,0,single_astronaut,0.1,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,0,single_astronaut,0.1,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,0,single_astronaut,0.2,RANDOM,1744,349,0.20011467889908258,2,2,0.18840579710144922,0.18840579710144922,0.18840579710144922,,,
6,0,single_astronaut,0.2,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,0,single_astronaut,0.2,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,0,single_astronaut,0.3,RANDOM,1744,524,0.30045871559633025,2,2,0.28623188405797106,0.28623188405797106,0.28623188405797106,,,
6,0,single_astronaut,0.3,REDUNDANCY_ONLY,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,0,single_astronaut,0.3,CRITICAL_RANK_AWARE,1744,0,0.0,2,2,0.0,0.0,0.0,,,
6,1,single_astronaut,0.05,RANDOM,1744,88,0.05045871559633028,6,6,0.04451038575667654,0.04451038575667654,0.04451038575667654,,,
6,1,single_astronaut,0.05,REDUNDANCY_ONLY,1744,0,0.0,6,6,0.0,0.0,0.0,,,
