wave,layer,expert_id,token_a,token_b,dest_rank_a,dest_rank_b,cosine,critical_pair
6,16,22,81,92,1,1,0.9007489681243896,0
6,16,77,81,92,4,4,0.9007489681243896,0
6,16,79,81,92,4,4,0.9007489681243896,0
6,16,93,81,92,5,5,0.9007489681243896,0
6,16,108,81,92,6,6,0.9007489681243896,1
6,16,110,81,92,6,6,0.9007489681243896,1
6,16,117,81,92,7,7,0.9007489681243896,0
6,40,5,169,196,0,0,0.9061341881752014,1
6,40,6,86,113,0,0,0.911583423614502,1
6,40,13,169,196,0,0,0.9061341881752014,1
6,40,14,87,197,0,0,0.9045541286468506,1
6,40,14,67,145,0,0,0.9017221927642822,1
6,40,21,169,196,1,1,0.9061341881752014,0
6,40,23,86,113,1,1,0.9115833044052124,0
6,40,30,87,197,1,1,0.9045541286468506,0
6,40,30,67,145,1,1,0.9017221927642822,0
6,40,31,169,196,1,1,0.9061341881752014,0
6,40,39,87,197,2,2,0.9045541286468506,0
6,40,48,87,197,3,3,0.9045540690422058,0
6,40,48,67,145,3,3,0.9017221331596375,0
6,40,50,87,197,3,3,0.9045540690422058,0
6,40,51,169,196,3,3,0.9061342477798462,0
6,40,75,87,197,4,4,0.9045541286468506,0
6,40,75,67,145,4,4,0.9017221927642822,0
6,40,80,86,113,5,5,0.9115833044052124,0
6,40,85,86,113,5,5,0.9115833044052124,0
6,40,94,86,113,5,5,0.9115833044052124,0
6,40,98,169,196,6,6,0.9061342477798462,0
6,40,100,169,196,6,6,0.9061341881752014,0
6,40,105,87,197,6,6,0.9045540690422058,0
6,40,105,67,145,6,6,0.9017221331596375,0
6,40,109,86,113,6,6,0.9115833044052124,0
7,16,22,81,92,1,1,0.9007489681243896,1
7,16,77,81,92,4,4,0.9007489681243896,0
7,16,79,81,92,4,4,0.9007489681243896,0
7,16,93,81,92,5,5,0.9007489681243896,0
7,16,108,81,92,6,6,0.9007489681243896,0
7,16,110,81,92,6,6,0.9007489681243896,0
7,16,117,81,92,7,7,0.9007489681243896,0
7,40,6,86,113,0,0,0.9115833044052124,1
7,40,23,86,113,1,1,0.9115833044052124,0
7,40,80,86,113,5,5,0.9115833044052124,0
7,40,85,86,113,5,5,0.9115833044052124,0
7,40,94,86,113,5,5,0.9115833044052124,0
7,40,109,86,113,6,6,0.9115833044052124,0
8,16,3,662,663,0,0,0.9313796162605286,0
