run,start_unix,end_unix,wall_seconds,physical_gpus,four_gpu_hours,instrumented,output_tokens,ignore_eos,successful,meaningful_measurement,notes
profile32_observer_r0,1788966289.073052,1788966384.0006855,94.92763352394104,4;5;6;7,0.10547514835993449,True,1,True,True,True,
pool128_b128_balanced_clean_r1,1788967312.5793047,1788967418.2683191,105.68901443481445,4;5;6;7,0.11743223826090494,False,1,True,True,True,
pool128_b128_balanced_clean_r2,1788967432.674951,1788967536.431383,103.75643181800842,4;5;6;7,0.11528492424223158,False,1,True,True,True,
pool128_b128_fixed16_clean_r0,1788968689.3770597,1788968857.0101016,167.6330418586731,4;5;6;7,0.18625893539852567,False,16,True,True,True,
pool128_b128_natural32_clean_r0,1788968924.2553935,1788969067.5003932,143.2449996471405,4;5;6;7,0.159161110719045,False,32,False,True,True,
pool128_b128_warm_clean_r0,1788967642.7116928,1788967782.1743956,139.46270275115967,4;5;6;7,0.15495855861239963,False,1,True,True,True,
pool128_b128_warm_observer_r0,1788967816.3432646,1788967930.0908816,113.74761700630188,4;5;6;7,0.1263862411181132,True,1,True,True,True,
pool128_b128_warm_observer_r1,1788968377.9975169,1788968489.4272318,111.4297149181366,4;5;6;7,0.1238107943534851,True,1,True,True,True,
pool128_b128_warm_observer_r2,1788968524.3141296,1788968633.1709456,108.8568160533905,4;5;6;7,0.12095201783710056,True,1,True,True,True,
pool128_balanced_clean_r0,1788967097.133719,1788967258.16541,161.03169107437134,4;5;6;7,0.17892410119374594,False,1,True,True,True,
pool128_clean_r0,1788966787.6089866,1788966950.2788374,162.66985082626343,4;5;6;7,0.18074427869584825,False,1,True,True,True,
smoke_clean_r0,1788965530.300187,1788965579.7801619,49.4799747467041,4;5;6;7,0.054977749718560114,False,1,True,False,False,wrong interpreter; target runtime not reached
smoke_clean_r1,1788965656.8760936,1788965756.3186939,99.44260025024414,4;5;6;7,0.11049177805582683,False,1,True,True,True,
smoke_clean_r2,1788965895.2869978,1788965995.9547193,100.66772150993347,4;5;6;7,0.11185302389992607,False,1,True,True,True,
smoke_clean_r3,1788966034.3892336,1788966133.7743807,99.38514709472656,4;5;6;7,0.11042794121636285,False,1,True,True,True,
smoke_clean_r4,1788966146.748204,1788966243.1531253,96.40492129325867,4;5;6;7,0.10711657921473185,False,1,True,True,True,
smoke_observer_r0,1788966640.0733619,1788966734.3329062,94.2595443725586,4;5;6;7,0.10473282708062066,True,1,True,True,True,
