case_id,request_id,category,modality,layer,M,rank,token_count_x,wall_ms,wall_p25_ms,wall_p95_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,warmups,iterations,output_shape,route_identity,token_partition_identity,token_count_y,total_assignments,tokens,assignments,active_experts,effective_experts,expert_entropy,expert_hhi,top4_assignment_fraction,top8_assignment_fraction,mean_active_expert_m,p50_active_expert_m,p95_active_expert_m,max_expert_m,tiny_expert_le1_fraction,tiny_expert_le2_fraction,tiny_expert_le4_fraction,rank_max_mean,rank_cv,rank_max,rank_min,unique_ranks_per_token,p_u4,p_u_ge3
model_card_vision_l24_m32,model_card,chart_document,vision,24,32,0,32,0.8797279894351959,0.8300800025463104,1.261004799604416,0.02380800060927868,0.17491199728101492,0.38782399892807007,0.11838400363922119,3,20,"[32, 2048]",True,True,32,256,32,256,63,46.5431716591236,3.840380304652308,0.0277099609375,0.21484375,0.359375,4.063492063492063,3.0,10.0,18,0.2063492063492063,0.4603174603174603,0.7142857142857143,1.6875,0.4188257860525066,108,40,3.40625,0.46875,0.9375
model_card_vision_l24_m64,model_card,chart_document,vision,24,64,0,64,0.8664799928665161,0.8402080088853836,0.9909520059823992,0.024351999163627625,0.18236800003796816,0.39049601554870605,0.09921601414680481,3,20,"[64, 2048]",True,True,64,512,64,512,84,61.63329695117144,4.12120225942471,0.019927978515625,0.16015625,0.26953125,6.095238095238095,5.0,15.699999999999989,25,0.2023809523809523,0.2976190476190476,0.4523809523809524,1.3203125,0.2080238586827242,169,99,3.390625,0.4375,0.953125
model_card_vision_l24_m128,model_card,chart_document,vision,24,128,0,128,0.878352016210556,0.8580959886312485,1.268395233154297,0.02521600015461445,0.1906080017797649,0.4161279797554016,0.11049601435661316,3,20,"[128, 2048]",True,True,128,1024,128,1024,115,79.35243594780293,4.3738991452763045,0.0156726837158203,0.123046875,0.2216796875,8.904347826086957,7.0,25.3,36,0.1304347826086956,0.2608695652173913,0.391304347826087,1.21875,0.1777451061320852,312,188,3.4375,0.484375,0.953125
model_card_vision_l24_m256,model_card,chart_document,vision,24,256,0,256,0.863968014717102,0.8586080074310303,1.2632016360759735,0.023903999477624893,0.19489600136876106,0.45878398418426514,0.09694403409957886,3,20,"[256, 2048]",True,True,256,2048,256,2048,123,89.85309825345652,4.498176095144315,0.0136528015136718,0.11376953125,0.2001953125,16.650406504065042,12.0,42.89999999999999,63,0.024390243902439,0.048780487804878,0.1869918699186991,1.224609375,0.1553379140896096,627,408,3.54296875,0.57421875,0.96875
model_card_vision_l24_m512,model_card,chart_document,vision,24,512,0,512,1.3570079803466797,1.22639200091362,2.7491903185844424,0.026528000831604004,0.44982399651780725,0.5199840068817139,0.2810400128364563,3,20,"[512, 2048]",True,True,512,4096,512,4096,126,95.09388810418076,4.554864699391223,0.0129280090332031,0.118408203125,0.20068359375,32.507936507936506,26.5,83.25,133,0.0158730158730158,0.0238095238095238,0.0317460317460317,1.14453125,0.097159380509281,1172,923,3.595703125,0.626953125,0.96875
model_card_text_l24_m32,model_card,chart_document,text,24,32,0,32,0.8544480204582214,0.834632009267807,1.0330880284309392,0.03311999887228012,0.18566400231793523,0.3959359973669052,0.10295999050140381,3,20,"[32, 2048]",True,True,32,256,32,256,67,37.969895186422704,3.636793613808579,0.038787841796875,0.28125,0.48046875,3.82089552238806,2.0,14.399999999999991,21,0.4626865671641791,0.6417910447761194,0.8059701492537313,1.484375,0.3685976910026702,95,34,3.625,0.6875,0.9375
model_card_text_l24_m64,model_card,chart_document,text,24,64,0,64,0.8662720024585724,0.842736005783081,0.9453407824039459,0.024992000311613083,0.18643200676888227,0.3946239948272705,0.10259199142456055,3,20,"[64, 2048]",True,True,64,512,64,512,78,40.92994696884495,3.711861994848572,0.0363922119140625,0.27734375,0.462890625,6.564102564102564,3.0,31.299999999999983,39,0.3076923076923077,0.4358974358974359,0.6538461538461539,1.546875,0.3904687187374937,198,74,3.625,0.65625,0.96875
model_card_text_l24_m128,model_card,chart_document,text,24,128,0,128,0.8631040155887604,0.8504000008106232,0.9008111745119095,0.02457600086927414,0.18985600303858519,0.4113599956035614,0.107200026512146,3,20,"[128, 2048]",True,True,128,1024,128,1024,93,50.74427651965685,3.926798833624191,0.0287361145019531,0.228515625,0.3984375,11.010752688172044,6.0,52.0,72,0.2150537634408602,0.3118279569892473,0.3978494623655914,1.47265625,0.3583651742908778,377,152,3.6171875,0.640625,0.9765625
model_card_text_l24_m256,model_card,chart_document,text,24,256,0,256,0.8689440190792084,0.8485839813947678,0.922748801112175,0.024512000381946564,0.1930720037780702,0.4423520117998123,0.09915199875831604,3,20,"[256, 2048]",True,True,256,2048,256,2048,102,57.77179141882952,4.056500618812641,0.0241332054138183,0.20751953125,0.34765625,20.07843137254902,12.0,82.19999999999982,128,0.1470588235294117,0.2156862745098039,0.2941176470588235,1.359375,0.2831559766787667,696,336,3.58203125,0.609375,0.97265625
model_card_text_l24_m512,model_card,chart_document,text,24,512,0,512,1.369167983531952,1.3495919704437256,1.4152960121631624,0.02521600015461445,0.2342240009456873,0.5083040148019791,0.5172479748725891,3,20,"[512, 2048]",True,True,512,4096,512,4096,108,61.55040411465081,4.1198564182409285,0.0210775136947631,0.17333984375,0.291259765625,37.92592592592592,22.5,124.19999999999992,208,0.1203703703703703,0.1666666666666666,0.2592592592592592,1.2822265625,0.1884955362049442,1313,843,3.61328125,0.6328125,0.98046875
deep_field_vision_l24_m32,deep_field,natural,vision,24,32,0,32,0.8649599850177765,0.8429360240697861,1.1345856130123138,0.02723200060427189,0.18694399995729327,0.3959040194749832,0.09060800075531006,3,20,"[32, 2048]",True,True,32,256,32,256,46,29.71107777885374,3.3915199654524737,0.043701171875,0.2890625,0.5,5.565217391304348,3.0,15.75,23,0.3260869565217391,0.3695652173913043,0.6086956521739131,1.21875,0.1494619255446015,78,51,3.84375,0.84375,1.0
deep_field_vision_l24_m64,deep_field,natural,vision,24,64,0,64,0.8556800186634064,0.8441279977560043,0.9685360193252565,0.023264000192284584,0.18084800522774458,0.39716798067092896,0.09519997239112854,3,20,"[64, 2048]",True,True,64,512,64,512,81,51.10581619446337,3.933898310585183,0.02593994140625,0.1953125,0.34375,6.320987654320987,4.0,20.0,29,0.2839506172839506,0.3950617283950617,0.5308641975308642,1.2890625,0.199103827146479,165,101,3.609375,0.65625,0.953125
deep_field_vision_l24_m128,deep_field,natural,vision,24,128,0,128,0.8756960034370422,0.8516480028629303,1.1319807589054107,0.02239999920129776,0.19131199782714248,0.405487984418869,0.10672000050544739,3,20,"[128, 2048]",True,True,128,1024,128,1024,104,67.43653561712374,4.211186942521273,0.019561767578125,0.166015625,0.2802734375,9.846153846153848,6.5,29.69999999999999,53,0.125,0.2596153846153846,0.4230769230769231,1.2265625,0.1942745859501282,314,199,3.546875,0.59375,0.953125
deep_field_vision_l24_m256,deep_field,natural,vision,24,256,0,256,0.8656480014324188,0.8581359833478928,0.9291312098503114,0.02348800003528595,0.20335999922826886,0.45044802129268646,0.0929279625415802,3,20,"[256, 2048]",True,True,256,2048,256,2048,115,76.12950679357436,4.332435926820509,0.0172085762023925,0.1474609375,0.2451171875,17.808695652173913,11.0,49.6,103,0.0434782608695652,0.0956521739130434,0.2260869565217391,1.22265625,0.2091577114098055,626,386,3.53515625,0.578125,0.95703125
deep_field_vision_l24_m512,deep_field,natural,vision,24,512,0,512,0.9485760033130646,0.9354079961776733,1.01359840631485,0.024800000712275505,0.23143999930471182,0.4893440157175064,0.1282079815864563,3,20,"[512, 2048]",True,True,512,4096,512,4096,122,83.48812882034309,4.424704451933473,0.0157917737960815,0.14697265625,0.239013671875,33.57377049180328,24.0,91.89999999999998,194,0.0245901639344262,0.040983606557377,0.0983606557377049,1.1904296875,0.1841046954300583,1219,757,3.51953125,0.55859375,0.9609375
