modality,M,cases,total_ms_per_token_median,total_ms_per_token_p25,total_ms_per_token_p75,dispatch_ms_per_token_median,expert_ms_per_token_median,combine_ms_per_token_median,active_experts_median,effective_experts_median,p50_local_expert_m_median,rank_cv_median
text,32,9,0.02666300069540739,0.026626499369740486,0.026769500225782394,0.0056429999094689265,0.012603999115526676,0.002840000204741955,67.0,43.04796355696299,2.0,0.1649899381401787
text,64,9,0.013371000066399574,0.013333000242710114,0.013530249707400799,0.0029057499050395563,0.006342749809846282,0.0014892499893903732,82.0,50.12075938874497,4.0,0.1545809291985107
text,128,9,0.006768374936655164,0.006726500112563372,0.0067928750067949295,0.001488125002651941,0.003249499946832657,0.0008182500023394823,92.0,54.92759228464052,6.0,0.1609877424608974
text,256,9,0.0034061874030157924,0.0033882498973980546,0.0034268125891685486,0.0008051875011005905,0.0017910624737851322,0.0003923125332221389,102.0,56.82638715427598,12.0,0.1843505843208887
text,512,9,0.0026552187046036124,0.0018535624840296805,0.002678093733265996,0.0004502812507780618,0.0012302186514716595,0.0010034687584266067,109.0,56.93401085029581,19.0,0.1733460331201332
vision,32,9,0.026648500002920628,0.026517000049352646,0.02694699913263321,0.005622500117169693,0.012614999432116747,0.0029825009405612946,47.0,30.18901894194327,3.0,0.2176310668310018
vision,64,9,0.01344724977388978,0.013381250202655792,0.013521249871701002,0.0028689999744528905,0.006365249631926417,0.0015464997850358486,77.0,44.68397476079947,4.0,0.199103827146479
vision,128,9,0.006749999942258,0.006718124961480498,0.006820749957114458,0.001499874982982874,0.003271999885328114,0.0007993748877197504,97.0,59.910266317414106,6.5,0.1777451061320852
vision,256,9,0.0033758749486878514,0.0033636250300332904,0.003584937541745603,0.0007856875126890372,0.0018194375443272293,0.00039206258952617645,110.0,70.6194944810531,12.0,0.1553379140896096
vision,512,9,0.002620406332425773,0.0018366562435403466,0.0027009062469005585,0.0004548124998109415,0.0012064687325619161,0.0007542186649516225,118.0,78.4980231291169,24.0,0.148788839446702
