topology,workload,modality,iteration,wall_ms,prompt_tokens,output_token_ids
tp_only,text_heavy,text,0,343.457252,2980,[2132]
tp_only,vision_heavy,vision,0,792.597285,3163,[785]
tp_only,mixed,mixed,0,507.848252,3022,[40]
tp_only,text_heavy,text,1,347.896423,2980,[2132]
tp_only,vision_heavy,vision,1,811.588201,3163,[785]
tp_only,mixed,mixed,1,569.189288,3022,[40]
tp_only,text_heavy,text,2,353.374384,2980,[2132]
tp_only,vision_heavy,vision,2,798.576422,3163,[785]
tp_only,mixed,mixed,2,565.800706,3022,[40]
tp_only,text_heavy,text,3,357.490978,2980,[2132]
tp_only,vision_heavy,vision,3,895.566067,3163,[785]
tp_only,mixed,mixed,3,712.772776,3022,[40]
tp_only,text_heavy,text,4,690.548869,2980,[2132]
tp_only,vision_heavy,vision,4,1111.134314,3163,[785]
tp_only,mixed,mixed,4,827.774896,3022,[40]
tp_only,text_heavy,text,5,588.102867,2980,[2132]
tp_only,vision_heavy,vision,5,1060.572528,3163,[785]
tp_only,mixed,mixed,5,847.94403,3022,[40]
tp_only,text_heavy,text,6,563.88433,2980,[2132]
tp_only,vision_heavy,vision,6,1069.489311,3163,[785]
tp_only,mixed,mixed,6,840.327655,3022,[40]
tp_only,text_heavy,text,7,579.850676,2980,[2132]
tp_only,vision_heavy,vision,7,1098.936081,3163,[785]
tp_only,mixed,mixed,7,781.113888,3022,[40]
