vision_request,text_request,layer,rank,vision_total_assignments,text_total_assignments,vision_active_experts,text_active_experts,vision_gini,text_gini,vision_top1_share,text_top1_share,vision_top4_share,text_top4_share,vision_max_expert_load,text_max_expert_load,vision_padding_amplification,text_padding_amplification,vision_effective_tiles,text_effective_tiles,vision_expert_median_ms,text_expert_median_ms,relative_assignment_error
coins,text_02_cat,0,0,1016.0,1032.0,25.0,27.0,0.6375492125984252,0.40867248062015504,0.15748031496062992,0.10077519379844961,0.468503937007874,0.29457364341085274,160.0,104.0,2.015748031496063,3.3488372093023258,32.0,27.0,0.9512640237808228,0.4327680170536041,0.015748031496062992
coins,text_00_coins,1,0,1084.0,996.0,29.0,31.0,0.5953643911439115,0.3881777108433735,0.12546125461254612,0.0963855421686747,0.4575645756457564,0.3172690763052209,136.0,96.0,2.125461254612546,2.1847389558232932,36.0,34.0,0.8793919682502747,0.4307839870452881,0.08118081180811808
coins,text_04_color_wheel,2,0,1324.0,1416.0,22.0,27.0,0.6013028700906344,0.657662429378531,0.10876132930513595,0.1807909604519774,0.39274924471299094,0.5649717514124294,144.0,256.0,1.595166163141994,2.711864406779661,33.0,30.0,0.416159987449646,0.4358079731464386,0.06948640483383686
coins,text_01_clock_motion,3,0,828.0,1284.0,25.0,29.0,0.6828200483091788,0.49970794392523366,0.20772946859903382,0.1308411214953271,0.5700483091787439,0.367601246105919,172.0,168.0,2.318840579710145,1.8940809968847352,30.0,38.0,0.4168640077114105,0.4323200285434723,0.5507246376811594
coins,text_00_coins,4,0,1244.0,1068.0,25.0,21.0,0.6315313504823151,0.6658473782771536,0.15755627009646303,0.20973782771535582,0.527331189710611,0.5093632958801498,196.0,224.0,1.8006430868167203,1.6779026217228465,35.0,28.0,0.42025601863861084,0.40880000591278076,0.1414790996784566
coins,text_00_coins,5,0,864.0,988.0,25.0,21.0,0.6501736111111112,0.711411943319838,0.18981481481481483,0.29959514170040485,0.5324074074074074,0.5708502024291499,164.0,296.0,2.2962962962962963,1.7489878542510122,31.0,27.0,0.4152320325374603,0.40275201201438904,0.14351851851851852
coins,text_04_color_wheel,6,0,1204.0,1232.0,27.0,20.0,0.6336171096345515,0.7597402597402597,0.16943521594684385,0.2012987012987013,0.5448504983388704,0.6298701298701299,204.0,248.0,1.9667774086378738,2.5974025974025974,37.0,25.0,0.5453760027885437,0.4312319755554199,0.023255813953488372
coins,text_00_coins,7,0,544.0,1056.0,18.0,23.0,0.7541360294117647,0.6306818181818182,0.20588235294117646,0.23484848484848486,0.6102941176470589,0.4886363636363637,112.0,248.0,2.4705882352941178,1.696969696969697,21.0,28.0,0.4156480133533478,0.4105599820613861,0.9411764705882353
coins,text_02_cat,8,0,1012.0,1104.0,28.0,21.0,0.6456274703557312,0.6834239130434783,0.2134387351778656,0.2536231884057971,0.5810276679841897,0.5108695652173914,216.0,280.0,2.2134387351778657,2.6666666666666665,35.0,23.0,0.4374399781227112,0.5099200010299683,0.09090909090909091
coins,text_03_phantom,9,0,1212.0,1172.0,28.0,18.0,0.6030321782178217,0.7515998293515358,0.12871287128712872,0.28668941979522183,0.44554455445544555,0.6382252559726963,156.0,336.0,1.953795379537954,2.2935153583617747,37.0,21.0,0.42688000202178955,0.4108159840106964,0.033003300330033
