scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,0,P0,all,all,fixed_linear,31859,254872,3.615116607552026,4.0,4.0,0.6367117611977777,0.9784048463542484,65693,63718.0,0.022432939425392096,1.0309959509086914,1,83315.0
layer,0,P0,all,vision,fixed_linear,15929,127432,3.597526523950028,4.0,4.0,0.6223240630296942,0.975202460920334,34194,31858.0,0.07562433703212258,1.073325381379873,1,41376.0
layer,0,P0,all,text,fixed_linear,15930,127440,3.6327055869428753,4.0,4.0,0.6510985561833019,0.9816070307595731,33835,31860.0,0.0384912592983483,1.0619899560577526,2,41939.0
layer,0,P_load,all,all,greedy_load+swap,31859,254872,3.668476725572052,4.0,4.0,0.682224803038388,0.9862833108383816,63725,63718.0,0.00011371493727195955,1.0001098590665118,3,85015.0
layer,0,P_load,all,vision,greedy_load+swap,15929,127432,3.658986753719631,4.0,4.0,0.6741791700671731,0.9848703622324063,33481,31858.0,0.0527150066738756,1.0509448176282252,1,42355.0
layer,0,P_load,all,text,greedy_load+swap,15930,127440,3.6779661016949152,4.0,4.0,0.690269930947897,0.9876961707470182,34627,31860.0,0.052493947719384815,1.0868487131198996,2,42660.0
layer,0,P_sat,all,all,coactivation_surrogate+swap,31859,254872,3.4012680875105934,3.0,4.0,0.4788599767726545,0.9239461376691045,87995,63718.0,0.26020684650503567,1.3810069368153426,0,76502.0
layer,0,P_sat,all,vision,coactivation_surrogate+swap,15929,127432,3.4690187707954045,4.0,4.0,0.5189905204344277,0.9509699290602046,40605,31858.0,0.20756168054816976,1.274562119404859,0,39329.0
layer,0,P_sat,all,text,coactivation_surrogate+swap,15930,127440,3.3335216572504707,3.0,4.0,0.4387319522912743,0.8969240426867545,47390,31860.0,0.31668087681752716,1.487445072190835,0,37173.0
layer,0,P_joint_0,all,all,joint_surrogate_lambda_0,31859,254872,3.4012680875105934,3.0,4.0,0.4788599767726545,0.9239461376691045,87995,63718.0,0.26020684650503567,1.3810069368153426,0,76502.0
layer,0,P_joint_0,all,vision,joint_surrogate_lambda_0,15929,127432,3.4690187707954045,4.0,4.0,0.5189905204344277,0.9509699290602046,40605,31858.0,0.20756168054816976,1.274562119404859,0,39329.0
layer,0,P_joint_0,all,text,joint_surrogate_lambda_0,15930,127440,3.3335216572504707,3.0,4.0,0.4387319522912743,0.8969240426867545,47390,31860.0,0.31668087681752716,1.487445072190835,0,37173.0
layer,0,P_joint_0.25,all,all,joint_surrogate_lambda_0.25,31859,254872,3.43783546250667,4.0,4.0,0.5012712263410654,0.9378197683543111,85861,63718.0,0.2508202823616609,1.347515615681597,0,77667.0
layer,0,P_joint_0.25,all,vision,joint_surrogate_lambda_0.25,15929,127432,3.5141565697783914,4.0,4.0,0.5523259463870928,0.9624584091907841,40393,31858.0,0.20602608739510136,1.2679075899303158,0,40048.0
layer,0,P_joint_0.25,all,text,joint_surrogate_lambda_0.25,15930,127440,3.361519146264909,3.0,4.0,0.4502197112366604,0.9131826741996234,45468,31860.0,0.29793283728727765,1.4271186440677965,0,37619.0
layer,0,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,31859,254872,3.589943187168461,4.0,4.0,0.6155560438180734,0.9744185316551053,63881,63718.0,0.003933788675076417,1.0025581468344895,0,82513.0
layer,0,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15929,127432,3.618180676753092,4.0,4.0,0.6393998367756921,0.9787808399773997,32399,31858.0,0.02477866852561881,1.016981605876075,1,41705.0
layer,0,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,15930,127440,3.5617074701820464,4.0,4.0,0.5917137476459511,0.9700564971751412,33379,31860.0,0.02895720511892848,1.0476773383553044,2,40808.0
layer,0,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,31859,254872,3.61103612793873,4.0,4.0,0.6318151856618224,0.9792837188863429,63730,63718.0,0.00012003718369046701,1.000188329828306,2,83185.0
