M,best_ms,best_sms,config_medians,n,phase,static_sms20_ms,static_to_oracle_pct
1,0.9108480215072632,8,"{""8"": 0.9108480215072632, ""12"": 0.9483199715614319, ""20"": 0.9131199717521667}",1437984,decode,0.9131199717521667,0.24881180076934237
8,0.8666879832744598,20,"{""8"": 0.891871988773346, ""12"": 0.8730879724025726, ""20"": 0.8666879832744598}",528,prefill,0.8666879832744598,0.0
114,0.9210879802703857,20,"{""8"": 0.9307039976119995, ""12"": 0.9687199890613556, ""20"": 0.9210879802703857}",11712,prefill,0.9210879802703857,0.0
137,0.9255519807338715,8,"{""8"": 0.9255519807338715, ""12"": 0.9648320078849792, ""20"": 0.9275519847869873}",12672,prefill,0.9275519847869873,0.21562177494267237
193,0.9293439984321594,8,"{""8"": 0.9293439984321594, ""12"": 0.9938880205154419, ""20"": 0.933791995048523}",11616,prefill,0.933791995048523,0.47633698296242405
284,0.9402239918708801,20,"{""8"": 0.9468960165977478, ""12"": 0.9885599911212921, ""20"": 0.9402239918708801}",21168,prefill,0.9402239918708801,0.0
411,0.9922080039978027,8,"{""8"": 0.9922080039978027, ""12"": 1.093712031841278, ""20"": 1.0135040283203125}",8832,prefill,1.0135040283203125,2.1012273979594145
444,1.0206239819526672,8,"{""8"": 1.0206239819526672, ""12"": 1.0754719972610474, ""20"": 1.0247520208358765}",9456,prefill,1.0247520208358765,0.4028329585374239
535,1.0815840363502502,8,"{""8"": 1.0815840363502502, ""12"": 1.1842080354690552, ""20"": 1.099951982498169}",9456,prefill,1.099951982498169,1.6698861805026637
959,1.1841599941253662,20,"{""20"": 1.1841599941253662}",816,prefill,1.1841599941253662,0.0
2048,2.433743953704834,20,"{""20"": 2.433743953704834}",48,prefill,2.433743953704834,0.0
