case_id,rank,M,active_experts_per_rank,wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,iterations,warmups,correctness
balanced_rank_A1_M512,0,512,1,2.1791999340057373,0.02953599952161312,0.28079999703913927,0.9888639450073242,0.1110079288482666,5,2,True
balanced_rank_A2_M512,0,512,2,2.103872060775757,0.026335999369621277,0.2281600022688508,0.9947840571403503,0.13622403144836426,5,2,True
balanced_rank_A4_M512,0,512,4,2.0729598999023438,0.027744000777602196,0.22044800408184528,0.9501440525054932,0.10518407821655273,5,2,True
balanced_rank_A8_M512,0,512,8,2.0851199626922607,0.02723200060427189,0.2160639986395836,1.0331519842147827,0.11574399471282959,5,2,True
balanced_rank_A16_M512,0,512,16,0.8913919925689697,0.026048000901937485,0.22124800644814968,0.48896002769470215,0.09248000383377075,5,2,True
balanced_rank_A1_M512,1,512,1,2.15116810798645,0.026815999299287796,0.22665600571781397,0.9827519655227661,0.18543994426727295,5,2,True
balanced_rank_A2_M512,1,512,2,2.0920960903167725,0.026623999699950218,0.21846399456262589,0.8740159869194031,0.2560321092605591,5,2,True
balanced_rank_A4_M512,1,512,4,2.0603840351104736,0.0289280004799366,0.21843199897557497,0.9001920223236084,0.20396792888641357,5,2,True
balanced_rank_A8_M512,1,512,8,2.085024118423462,0.027168000116944313,0.23180800024420023,0.9237440228462219,0.19548797607421875,5,2,True
balanced_rank_A16_M512,1,512,16,0.8923519849777222,0.026176000013947487,0.21919999457895756,0.4926080107688904,0.08921599388122559,5,2,True
balanced_rank_A1_M512,2,512,1,2.109312057495117,0.02796800062060356,0.2072000028565526,0.9113279581069946,0.21206402778625488,5,2,True
balanced_rank_A2_M512,2,512,2,2.089087963104248,0.026559999212622643,0.20550399273633957,0.96396803855896,0.14998412132263184,5,2,True
balanced_rank_A4_M512,2,512,4,2.0548479557037354,0.028351999819278717,0.20275199506431818,0.9715839624404907,0.17459213733673096,5,2,True
balanced_rank_A8_M512,2,512,8,2.0800321102142334,0.025919999927282333,0.20012799836695194,0.9366719722747803,0.1525120735168457,5,2,True
balanced_rank_A16_M512,2,512,16,0.8791679739952087,0.026208000257611275,0.19769599474966526,0.4964480400085449,0.08105599880218506,5,2,True
balanced_rank_A1_M512,3,512,1,2.1495039463043213,0.03049599938094616,0.23936000559478998,0.9736320376396179,0.16115188598632812,5,2,True
balanced_rank_A2_M512,3,512,2,2.1057279109954834,0.027103999629616737,0.2239359999075532,0.8827840089797974,0.18419206142425537,5,2,True
balanced_rank_A4_M512,3,512,4,2.072160005569458,0.027936000376939774,0.22899200208485126,0.9773760437965393,0.14185595512390137,5,2,True
balanced_rank_A8_M512,3,512,8,2.0959999561309814,0.027488000690937042,0.23158400505781174,0.9211200475692749,0.19363188743591309,5,2,True
balanced_rank_A16_M512,3,512,16,0.9057279825210571,0.02473600022494793,0.22620799578726292,0.48841598629951477,0.08147197961807251,5,2,True
