case_id,rank,M,active_experts_per_rank,wall_ms,layout_ms,dispatch_ms,expert_ms,combine_ms,iterations,warmups,correctness
balanced_rank_A1_M1024,0,1024,1,2.113152027130127,0.03673600032925606,0.2601919937878847,0.9293439984321594,0.21296000480651855,5,2,True
balanced_rank_A2_M1024,0,1024,2,2.088128089904785,0.028896000236272812,0.25692800991237164,0.9477439522743225,0.18835210800170898,5,2,True
balanced_rank_A4_M1024,0,1024,4,2.0469119548797607,0.02627200074493885,0.254016000777483,0.9070720076560974,0.2226560115814209,5,2,True
balanced_rank_A8_M1024,0,1024,8,2.0439999103546143,0.025567999109625816,0.2567360131070018,1.0075839757919312,0.17353594303131104,5,2,True
balanced_rank_A16_M1024,0,1024,16,1.1582080125808716,0.0272000003606081,0.25919999834150076,0.6392959952354431,0.1590721607208252,5,2,True
balanced_rank_A1_M1024,1,1024,1,2.1446080207824707,0.027648000046610832,0.3112320061773062,0.9788479804992676,0.19820809364318848,5,2,True
balanced_rank_A2_M1024,1,1024,2,2.1326398849487305,0.02643200010061264,0.29628799110651016,0.9604480266571045,0.22739195823669434,5,2,True
balanced_rank_A4_M1024,1,1024,4,2.1288959980010986,0.025312000885605812,0.3117760010063648,0.9351360201835632,0.2118079662322998,5,2,True
balanced_rank_A8_M1024,1,1024,8,2.1187520027160645,0.026784000918269157,0.31897601298987865,0.9391360282897949,0.2132800817489624,5,2,True
balanced_rank_A16_M1024,1,1024,16,1.1802879571914673,0.027103999629616737,0.30016001034528017,0.6355520188808441,0.1268479824066162,5,2,True
balanced_rank_A1_M1024,2,1024,1,2.1090240478515625,0.06988800317049026,0.27551999781280756,1.0158720016479492,0.18928003311157227,5,2,True
balanced_rank_A2_M1024,2,1024,2,2.1147520542144775,0.02659199945628643,0.28726400434970856,0.9006720185279846,0.2322239875793457,5,2,True
balanced_rank_A4_M1024,2,1024,4,2.121119976043701,0.026079999282956123,0.3201280012726784,0.9410560131072998,0.19196808338165283,5,2,True
balanced_rank_A8_M1024,2,1024,8,2.089344024658203,0.025855999439954758,0.3030720092356205,0.9293760657310486,0.18342411518096924,5,2,True
balanced_rank_A16_M1024,2,1024,16,1.1434240341186523,0.029791999608278275,0.29529599100351334,0.6347840130329132,0.2055680751800537,5,2,True
balanced_rank_A1_M1024,3,1024,1,2.109855890274048,0.03280000016093254,0.2636799914762378,0.9660799503326416,0.17302393913269043,5,2,True
balanced_rank_A2_M1024,3,1024,2,2.1158719062805176,0.02937600016593933,0.29952000360935926,0.9622400403022766,0.20524811744689941,5,2,True
balanced_rank_A4_M1024,3,1024,4,2.0900800228118896,0.02703999914228916,0.2859520148485899,0.9468480348587036,0.1681920289993286,5,2,True
balanced_rank_A8_M1024,3,1024,8,2.076416015625,0.029952000826597214,0.286047987639904,0.8569280505180359,0.23123204708099365,5,2,True
balanced_rank_A16_M1024,3,1024,16,1.1597440242767334,0.029664000496268272,0.2927679903805256,0.639104038476944,0.19353604316711426,5,2,True
