case_id,M,token_count,total_assignments,active_experts,active_experts_per_rank,rank_assignments,route_sha256
balanced_rank_A1_M64,64,64,512,4,1,"[128, 128, 128, 128]",331a7fafad6ad42fac09c7f91e21dbec95194e9e108316cdab202afbdec5c3c2
balanced_rank_A2_M64,64,64,512,8,2,"[128, 128, 128, 128]",939597ec87fa70120018f4731b9ed5002f1d1423a995d9979f33be61062a205a
balanced_rank_A4_M64,64,64,512,16,4,"[128, 128, 128, 128]",fd6f17edc6cfd66c4dddc2ee3803195fb337acb7687df8d02af08532ed31d7c8
balanced_rank_A8_M64,64,64,512,32,8,"[128, 128, 128, 128]",f68429feff301c47c784d648ec74bdf3ecbbe575dd6ccf99f4f849d801b93bf1
balanced_rank_A16_M64,64,64,512,64,16,"[128, 128, 128, 128]",2ca6517f60560403d1e1eac0ab61fc0f64d02a92cfe862dbcf59ba4e06029a18
balanced_rank_A1_M128,128,128,1024,4,1,"[256, 256, 256, 256]",315a5aeeb2b2e4419d2e7f6abb4a51e902466a4f27dc881eeaa450feb52fa61b
balanced_rank_A2_M128,128,128,1024,8,2,"[256, 256, 256, 256]",4191dc22bbae2684f6a441892391a84142c0610651875ad1ced30ef6c56abc10
balanced_rank_A4_M128,128,128,1024,16,4,"[256, 256, 256, 256]",9b5d8beab2c23b0879c0c98d6c7f2ea0f1ba1e48962957bf1e2e0da0d35c3820
balanced_rank_A8_M128,128,128,1024,32,8,"[256, 256, 256, 256]",f07fa0e05c7c0a92488c972c7ea9f25a4ec88bfccb477609160150fea14ca6f1
balanced_rank_A16_M128,128,128,1024,64,16,"[256, 256, 256, 256]",71a1340b6b6a7ec00a91cb748de53991da02cecba9b8aece62a00f2eb7a7bd2e
balanced_rank_A1_M256,256,256,2048,4,1,"[512, 512, 512, 512]",976c1adf91328fa72ca1944667f0614b4517007405b84743527d5a7fd2e86ddc
