case_id,request_id,category,modality,layer,M,actual_ms,predicted_ms,residual_pct
deep_field_text_l24_m256,deep_field,natural,text,24,256,0.8627039790153503,0.9589162958927935,-10.033442677899766
deep_field_text_l24_m512,deep_field,natural,text,24,512,0.9446879923343658,1.1865809516521109,-20.385710640386606
deep_field_text_l44_m512,deep_field,natural,text,44,512,0.946735978126526,1.1020149884149273,-14.090462645317137
deep_field_text_l4_m256,deep_field,natural,text,4,256,0.8798080086708069,1.0233289465650528,-14.024907472420681
deep_field_text_l4_m32,deep_field,natural,text,4,32,0.8665440082550049,0.9648319203572661,-10.187050203093023
deep_field_vision_l24_m256,deep_field,natural,vision,24,256,0.8656480014324188,1.0372315384007906,-16.542452732677244
deep_field_vision_l24_m512,deep_field,natural,vision,24,512,0.9485760033130646,1.3308389538844365,-28.72345669290995
deep_field_vision_l44_m512,deep_field,natural,vision,44,512,0.93886399269104,1.2001467527719898,-21.77090089003387
deep_field_vision_l4_m256,deep_field,natural,vision,4,256,0.8662879765033722,1.0081252776909344,-14.069412237379284
model_card_text_l24_m512,model_card,chart_document,text,24,512,1.369167983531952,1.172970221382881,16.72657656370528
model_card_text_l44_m512,model_card,chart_document,text,44,512,0.9470400214195251,1.1557003584342427,-18.054882088763318
model_card_text_l44_m64,model_card,chart_document,text,44,64,0.9718720018863678,0.844982612172444,15.016804829591957
model_card_text_l4_m128,model_card,chart_document,text,4,128,0.8532959818840027,0.9518178098821156,-10.350912430427735
model_card_text_l4_m256,model_card,chart_document,text,4,256,0.8756159842014313,1.020724295424253,-14.21621018264379
model_card_text_l4_m32,model_card,chart_document,text,4,32,0.8646079897880554,0.9830379684135829,-12.047345314306492
model_card_text_l4_m512,model_card,chart_document,text,4,512,1.5672320127487185,1.217011056547813,28.777138409436166
model_card_text_l4_m64,model_card,chart_document,text,4,64,0.8504800200462341,0.9518313928154053,-10.648038458721741
model_card_vision_l24_m256,model_card,chart_document,vision,24,256,0.863968014717102,1.0584565971165212,-18.374733827466397
model_card_vision_l24_m32,model_card,chart_document,vision,24,32,0.8797279894351959,0.9833930960510296,-10.541573561184975
model_card_vision_l24_m64,model_card,chart_document,vision,24,64,0.8664799928665161,0.981149183685793,-11.687232963748656
model_card_vision_l44_m512,model_card,chart_document,vision,44,512,0.94555202126503,1.2600970398880265,-24.961967901372677
model_card_vision_l4_m128,model_card,chart_document,vision,4,128,1.7874239683151243,0.9106691908084817,96.27588001832692
model_card_vision_l4_m256,model_card,chart_document,vision,4,256,1.7970880270004272,1.0474305012953327,71.57109944554897
model_card_vision_l4_m32,model_card,chart_document,vision,4,32,1.5886560082435608,0.9285433341194976,71.09120811793053
model_card_vision_l4_m512,model_card,chart_document,vision,4,512,1.810751974582672,1.3573338250271272,33.40505785645494
model_card_vision_l4_m64,model_card,chart_document,vision,4,64,1.3629599809646606,0.9114802555086116,49.53258424716185
retina_text_l24_m256,retina,fine_grained,text,24,256,0.8767839968204498,0.9754103834932053,-10.111270942139043
retina_text_l24_m32,retina,fine_grained,text,24,32,0.8522720038890839,0.9617219204976605,-11.38061993553602
retina_text_l24_m512,retina,fine_grained,text,24,512,1.3625119924545288,1.23404260710597,10.410449737212907
retina_text_l44_m32,retina,fine_grained,text,44,32,1.0576159954071045,0.9339965612754687,13.235534182569225
retina_text_l44_m512,retina,fine_grained,text,44,512,1.359328031539917,1.1333725926093465,19.936553998571352
retina_text_l4_m512,retina,fine_grained,text,4,512,1.5792160034179688,1.1276601511326079,40.043611706224056
retina_vision_l24_m256,retina,fine_grained,vision,24,256,0.8690719902515411,0.9689705888758227,-10.309765824799861
retina_vision_l24_m512,retina,fine_grained,vision,24,512,0.937936007976532,1.23049533458367,-23.775736354670823
retina_vision_l44_m32,retina,fine_grained,vision,44,32,0.8526400029659271,0.768640075912266,10.928382436209196
retina_vision_l4_m256,retina,fine_grained,vision,4,256,0.8732959926128387,1.0023762432681145,-12.877425170655155
retina_vision_l4_m512,retina,fine_grained,vision,4,512,1.3670560121536257,1.2357906989281189,10.621969670055108
