case_id,request_id,category,modality,layer,M,actual_ms,predicted_ms,residual_pct
model_card_vision_l4_m128,model_card,chart_document,vision,4,128,1.7874239683151243,0.9106691908084817,96.27588001832692
model_card_vision_l4_m256,model_card,chart_document,vision,4,256,1.7970880270004272,1.0474305012953327,71.57109944554897
model_card_vision_l4_m32,model_card,chart_document,vision,4,32,1.5886560082435608,0.9285433341194976,71.09120811793053
model_card_vision_l4_m64,model_card,chart_document,vision,4,64,1.3629599809646606,0.9114802555086116,49.53258424716185
retina_text_l4_m512,retina,fine_grained,text,4,512,1.5792160034179688,1.1276601511326079,40.043611706224056
model_card_vision_l4_m512,model_card,chart_document,vision,4,512,1.810751974582672,1.3573338250271272,33.40505785645494
model_card_text_l4_m512,model_card,chart_document,text,4,512,1.5672320127487185,1.217011056547813,28.777138409436166
retina_text_l44_m512,retina,fine_grained,text,44,512,1.359328031539917,1.1333725926093465,19.936553998571352
model_card_text_l24_m512,model_card,chart_document,text,24,512,1.369167983531952,1.172970221382881,16.72657656370528
model_card_text_l44_m64,model_card,chart_document,text,44,64,0.9718720018863678,0.844982612172444,15.016804829591957
retina_text_l44_m32,retina,fine_grained,text,44,32,1.0576159954071045,0.9339965612754687,13.235534182569225
retina_vision_l44_m32,retina,fine_grained,vision,44,32,0.8526400029659271,0.768640075912266,10.928382436209196
retina_vision_l4_m512,retina,fine_grained,vision,4,512,1.3670560121536257,1.2357906989281189,10.621969670055108
retina_text_l24_m512,retina,fine_grained,text,24,512,1.3625119924545288,1.23404260710597,10.410449737212907
retina_vision_l44_m512,retina,fine_grained,vision,44,512,1.3577920198440552,1.2457374556180763,8.99503853886955
deep_field_text_l4_m512,deep_field,natural,text,4,512,1.371343970298767,1.2685895274646177,8.099896823168066
deep_field_vision_l4_m512,deep_field,natural,vision,4,512,1.3536800146102903,1.2655231912625957,6.966037758639705
model_card_vision_l44_m64,model_card,chart_document,vision,44,64,0.8520480096340179,0.797438002137097,6.8481822223882745
deep_field_vision_l44_m32,deep_field,natural,vision,44,32,0.843423992395401,0.81421372208649,3.5875433582791083
model_card_vision_l44_m32,model_card,chart_document,vision,44,32,0.8711040019989014,0.8416429842418032,3.500417434553708
retina_vision_l44_m64,retina,fine_grained,vision,44,64,0.8531999886035919,0.8254013044403659,3.367899228372794
retina_vision_l4_m64,retina,fine_grained,vision,4,64,0.8530719876289368,0.8283172274110504,2.9885603484619874
model_card_vision_l44_m128,model_card,chart_document,vision,44,128,0.8627040088176727,0.8397696264333951,2.7310326144662707
deep_field_vision_l44_m64,deep_field,natural,vision,44,64,0.848143994808197,0.8350960651987467,1.562446543960787
model_card_text_l44_m128,model_card,chart_document,text,44,128,0.8615040183067322,0.8500458835118325,1.3479430954435248
model_card_vision_l24_m512,model_card,chart_document,vision,24,512,1.3570079803466797,1.3420851264050553,1.1119156041612022
model_card_text_l24_m64,model_card,chart_document,text,24,64,0.8662720024585724,0.8578110604386707,0.9863409799793061
deep_field_text_l44_m128,deep_field,natural,text,44,128,0.8557440042495728,0.8497496250489569,0.7054288726835856
deep_field_vision_l24_m32,deep_field,natural,vision,24,32,0.8649599850177765,0.8596051793612338,0.6229378073922016
retina_vision_l4_m128,retina,fine_grained,vision,4,128,0.8857600092887878,0.8817126076058551,0.4590386536405288
model_card_text_l24_m128,model_card,chart_document,text,24,128,0.8631040155887604,0.8651563452531185,-0.23722066833569122
retina_text_l44_m128,retina,fine_grained,text,44,128,0.8832480013370514,0.8899054168183226,-0.7481037147827952
deep_field_text_l24_m128,deep_field,natural,text,24,128,0.8755519986152649,0.8856623226046406,-1.1415551651381437
retina_vision_l44_m128,retina,fine_grained,vision,44,128,0.8606240153312683,0.8714864514422545,-1.2464262746723718
deep_field_text_l24_m64,deep_field,natural,text,24,64,0.8563680052757263,0.8715802047378215,-1.7453585314814637
retina_text_l4_m32,retina,fine_grained,text,4,32,0.8737599849700928,0.8905426636722693,-1.8845451640655777
deep_field_text_l44_m64,deep_field,natural,text,44,64,0.8527040183544159,0.8699983837503578,-1.9878617844541207
retina_text_l4_m128,retina,fine_grained,text,4,128,0.8543519973754883,0.8731232380823708,-2.1498959010768686
retina_vision_l24_m64,retina,fine_grained,vision,24,64,0.8555839955806732,0.8795791444206283,-2.728026123875474
deep_field_vision_l44_m128,deep_field,natural,vision,44,128,0.8646400272846222,0.8892892840361077,-2.7717928455870964
retina_text_l44_m64,retina,fine_grained,text,44,64,0.8686560094356537,0.8935988949450365,-2.7912842831925198
retina_vision_l4_m32,retina,fine_grained,vision,4,32,0.8725759983062744,0.8985480942147984,-2.8904513932801645
retina_vision_l24_m32,retina,fine_grained,vision,24,32,0.8507840037345886,0.8841902053154624,-3.778169151846136
retina_text_l24_m64,retina,fine_grained,text,24,64,0.8524160087108612,0.8901361767647765,-4.237572748813587
deep_field_text_l44_m256,deep_field,natural,text,44,256,0.8692959845066071,0.910107546379924,-4.484257056833605
model_card_text_l44_m256,model_card,chart_document,text,44,256,0.8670879900455475,0.907818252629004,-4.48660978841341
deep_field_vision_l24_m64,deep_field,natural,vision,24,64,0.8556800186634064,0.8962073329130006,-4.522091346638023
deep_field_vision_l4_m128,deep_field,natural,vision,4,128,0.8778400123119354,0.9204768385655887,-4.632036838655901
model_card_text_l24_m32,model_card,chart_document,text,24,32,0.8544480204582214,0.8970090621554062,-4.744772766834222
retina_vision_l24_m128,retina,fine_grained,vision,24,128,0.8396960198879242,0.8829366408898373,-4.897363978273061
retina_text_l4_m256,retina,fine_grained,text,4,256,0.8760479986667633,0.9245441683443825,-5.24541404706096
deep_field_text_l44_m32,deep_field,natural,text,44,32,0.8416639864444733,0.8895597728303912,-5.384212264176885
retina_text_l4_m64,retina,fine_grained,text,4,64,0.8435840010643005,0.8917013049178071,-5.396123521198814
deep_field_vision_l24_m128,deep_field,natural,vision,24,128,0.8756960034370422,0.9263857997307617,-5.471780364989579
retina_text_l24_m128,retina,fine_grained,text,24,128,0.8457280099391937,0.8986318943399255,-5.887158550008001
deep_field_text_l4_m64,deep_field,natural,text,4,64,0.8575679957866669,0.9124797114738493,-6.0178560681078945
deep_field_text_l4_m128,deep_field,natural,text,4,128,0.8679679930210114,0.9333518879394979,-7.005278048221493
deep_field_vision_l4_m64,deep_field,natural,vision,4,64,0.8521279990673065,0.9249423647599898,-7.872313829151683
deep_field_vision_l44_m256,deep_field,natural,vision,44,256,0.8680159747600555,0.9476023578871107,-8.39871096400716
deep_field_text_l24_m32,deep_field,natural,text,24,32,0.8489600121974945,0.9297724167678217,-8.691632824649316
deep_field_vision_l4_m32,deep_field,natural,vision,4,32,0.8648159801959991,0.947529993472996,-8.729434830218299
model_card_text_l44_m32,model_card,chart_document,text,44,32,0.8404319882392883,0.9213209785379298,-8.779675290473305
model_card_vision_l44_m256,model_card,chart_document,vision,44,256,0.8909440040588379,0.977877546380353,-8.890023361647124
model_card_vision_l24_m128,model_card,chart_document,vision,24,128,0.878352016210556,0.9683719962942766,-9.296012320493062
retina_text_l44_m256,retina,fine_grained,text,44,256,0.8712159991264343,0.9609041952898263,-9.333729273222744
retina_vision_l44_m256,retina,fine_grained,vision,44,256,0.8739520013332367,0.9701653946688357,-9.917215545339179
model_card_text_l24_m256,model_card,chart_document,text,24,256,0.8689440190792084,0.965341645655929,-9.985855993110134
deep_field_text_l24_m256,deep_field,natural,text,24,256,0.8627039790153503,0.9589162958927935,-10.033442677899766
retina_text_l24_m256,retina,fine_grained,text,24,256,0.8767839968204498,0.9754103834932053,-10.111270942139043
deep_field_text_l4_m32,deep_field,natural,text,4,32,0.8665440082550049,0.9648319203572661,-10.187050203093023
retina_vision_l24_m256,retina,fine_grained,vision,24,256,0.8690719902515411,0.9689705888758227,-10.309765824799861
model_card_text_l4_m128,model_card,chart_document,text,4,128,0.8532959818840027,0.9518178098821156,-10.350912430427735
model_card_vision_l24_m32,model_card,chart_document,vision,24,32,0.8797279894351959,0.9833930960510296,-10.541573561184975
model_card_text_l4_m64,model_card,chart_document,text,4,64,0.8504800200462341,0.9518313928154053,-10.648038458721741
retina_text_l24_m32,retina,fine_grained,text,24,32,0.8522720038890839,0.9617219204976605,-11.38061993553602
model_card_vision_l24_m64,model_card,chart_document,vision,24,64,0.8664799928665161,0.981149183685793,-11.687232963748656
model_card_text_l4_m32,model_card,chart_document,text,4,32,0.8646079897880554,0.9830379684135829,-12.047345314306492
retina_vision_l4_m256,retina,fine_grained,vision,4,256,0.8732959926128387,1.0023762432681145,-12.877425170655155
deep_field_text_l4_m256,deep_field,natural,text,4,256,0.8798080086708069,1.0233289465650528,-14.024907472420681
deep_field_vision_l4_m256,deep_field,natural,vision,4,256,0.8662879765033722,1.0081252776909344,-14.069412237379284
deep_field_text_l44_m512,deep_field,natural,text,44,512,0.946735978126526,1.1020149884149273,-14.090462645317137
model_card_text_l4_m256,model_card,chart_document,text,4,256,0.8756159842014313,1.020724295424253,-14.21621018264379
deep_field_vision_l24_m256,deep_field,natural,vision,24,256,0.8656480014324188,1.0372315384007906,-16.542452732677244
model_card_text_l44_m512,model_card,chart_document,text,44,512,0.9470400214195251,1.1557003584342427,-18.054882088763318
model_card_vision_l24_m256,model_card,chart_document,vision,24,256,0.863968014717102,1.0584565971165212,-18.374733827466397
deep_field_text_l24_m512,deep_field,natural,text,24,512,0.9446879923343658,1.1865809516521109,-20.385710640386606
deep_field_vision_l44_m512,deep_field,natural,vision,44,512,0.93886399269104,1.2001467527719898,-21.77090089003387
retina_vision_l24_m512,retina,fine_grained,vision,24,512,0.937936007976532,1.23049533458367,-23.775736354670823
