Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
48.3,30774532,4,7693633.0,2426920.5,575678,25345013,11816303.4,ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
26.9,17133837,23,744949.4,129984.0,70175,14360405,2968433.1,"void deep_ep::intranode::notify_dispatch<(int)4>(const int *, int *, const int *, int *, int, int, int, const bool *, int *, int *, int, int, void **, int **, int)"
14.7,9339140,48,194565.4,57472.0,27552,4887217,710349.5,ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
3.9,2459832,23,106949.2,101823.0,96928,205599,21729.4,"void deep_ep::intranode::dispatch<(int)4, (int)768, (int)8192>(int4 *, float *, int *, long *, float *, int *, int *, const int4 *, const float *, const long *, const float *, const bool *, const int *, int, int, int, int, int, int, int, int, void **, int, int, int)"
2.9,1829051,23,79524.0,76448.0,72544,156415,16892.8,"void deep_ep::intranode::combine<__nv_bfloat16, (int)4, (int)768, (int)4096>(T1 *, float *, const T1 *, const float *, const T1 *, const T1 *, const int *, const int *, const int *, int *, int, int, int, int, void **, int, int, int)"
1.6,1045787,23,45469.0,41632.0,16832,169056,32128.5,"void deep_ep::intranode::cached_notify_combine<(int)4>(void **, int *, int, int, int, int **, int)"
1.3,820541,1,820541.0,820541.0,820541,820541,0.0,"void deep_ep::intranode::barrier<(int)4>(int **, int)"
0.3,214655,23,9332.8,9248.0,9088,10592,297.7,"void deep_ep::layout::get_dispatch_layout<(int)256, (int)4, (int)8>(const long *, int *, int *, int *, bool *, int, int, int, int)"
0.1,67968,48,1416.0,1360.0,1152,1792,183.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,6304,4,1576.0,1488.0,1376,1952,264.4,"void at::native::unrolled_elementwise_kernel<at::native::<unnamed>::CompareFunctor<long>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,3584,2,1792.0,1792.0,1568,2016,316.8,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::<unnamed>::CompareFunctor<long>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,2912,2,1456.0,1456.0,1376,1536,113.1,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<long>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
