action,wave,rep,condition,dp_rank,wall_ms,output_tokens
KEEP,6,1,balanced_2k,0,3463.072399,[[324]]
KEEP,7,1,hetero_512_1k_2k_4k,0,3491.508976,[[16]]
KEEP,8,1,vision_proxy_long,0,3295.956849,[[271]]
KEEP,9,1,long_balanced,0,3430.686869,[[271]]
KEEP,10,1,short_mixed,0,3398.26872,[[271]]
KEEP,11,1,long_math,0,3401.127193,[[271]]
KEEP,6,1,balanced_2k,1,3462.929514,[[11]]
KEEP,7,1,hetero_512_1k_2k_4k,1,3491.420852,[[271]]
KEEP,8,1,vision_proxy_long,1,3295.838175,[[271]]
KEEP,9,1,long_balanced,1,3430.575626,[[271]]
KEEP,10,1,short_mixed,1,3398.134442,[[3405]]
KEEP,11,1,long_math,1,3401.010411,[[271]]
KEEP,6,1,balanced_2k,2,3462.902652,[[271]]
KEEP,7,1,hetero_512_1k_2k_4k,2,3491.540575,[[271]]
KEEP,8,1,vision_proxy_long,2,3295.941694,[[279]]
KEEP,9,1,long_balanced,2,3430.590561,[[271]]
KEEP,10,1,short_mixed,2,3398.145954,[[271]]
KEEP,11,1,long_math,2,3401.249975,[[16688]]
KEEP,6,1,balanced_2k,3,3463.200602,[[6591]]
KEEP,7,1,hetero_512_1k_2k_4k,3,3491.387424,[[577]]
KEEP,8,1,vision_proxy_long,3,3295.996216,[[16688]]
KEEP,9,1,long_balanced,3,3430.788795,[[271]]
KEEP,10,1,short_mixed,3,3398.126333,[[3405]]
KEEP,11,1,long_math,3,3401.020351,[[16688]]
TEMP_BALANCE,6,1,balanced_2k,0,3553.898784,[[324]]
TEMP_BALANCE,7,1,hetero_512_1k_2k_4k,0,3531.170782,[[19777]]
TEMP_BALANCE,8,1,vision_proxy_long,0,3573.512763,[[271]]
TEMP_BALANCE,9,1,long_balanced,0,3599.62938,[[398]]
TEMP_BALANCE,10,1,short_mixed,0,3582.119511,[[4226]]
TEMP_BALANCE,11,1,long_math,0,3602.299908,[[11]]
TEMP_BALANCE,6,1,balanced_2k,1,3553.844745,[[11]]
TEMP_BALANCE,7,1,hetero_512_1k_2k_4k,1,3531.094337,[[271]]
TEMP_BALANCE,8,1,vision_proxy_long,1,3573.423598,[[64]]
TEMP_BALANCE,9,1,long_balanced,1,3599.552458,[[398]]
TEMP_BALANCE,10,1,short_mixed,1,3582.10979,[[59901]]
TEMP_BALANCE,11,1,long_math,1,3602.239298,[[11]]
TEMP_BALANCE,6,1,balanced_2k,2,3553.839517,[[64]]
TEMP_BALANCE,7,1,hetero_512_1k_2k_4k,2,3531.34219,[[64]]
TEMP_BALANCE,8,1,vision_proxy_long,2,3573.589488,[[279]]
TEMP_BALANCE,9,1,long_balanced,2,3599.643724,[[11]]
TEMP_BALANCE,10,1,short_mixed,2,3582.229993,[[4226]]
TEMP_BALANCE,11,1,long_math,2,3602.325524,[[16688]]
TEMP_BALANCE,6,1,balanced_2k,3,3554.043032,[[396]]
TEMP_BALANCE,7,1,hetero_512_1k_2k_4k,3,3531.098831,[[577]]
TEMP_BALANCE,8,1,vision_proxy_long,3,3573.380095,[[16688]]
TEMP_BALANCE,9,1,long_balanced,3,3599.67829,[[11]]
TEMP_BALANCE,10,1,short_mixed,3,3582.08233,[[59901]]
TEMP_BALANCE,11,1,long_math,3,3602.201247,[[16688]]
