layer,invocations,expert_ratio_median,expert_ratio_p90,expert_ratio_max,rank_ratio_median,critical_moe_ms_median
1,12,1.036248033687607,1.1808582681092026,1.408336477907307,1.15126312092042,1.3110079914331436
2,12,1.1102936199695321,1.343510178793429,1.4002725741283768,1.1572812332946008,1.3440160155296326
3,12,1.0434279441546903,1.1663626747507414,1.219768499144312,1.2767765862188099,1.3507679998874664
4,12,1.0311728351484488,1.086208888976742,1.1797410032437348,1.124488954157715,1.2281919717788696
5,12,1.0266976013195381,1.0630761005025382,1.1921014311099685,1.253148184840279,1.2511039972305298
6,12,1.0284181345069903,1.1087482352129374,1.174618795033232,1.2286803610333021,1.3031680136919022
7,12,1.028261182006469,1.0448739805515557,1.185821504709294,1.2549495997106268,1.268320009112358
8,12,1.0242204255186758,1.0591677883027537,1.1710440471208,1.3233867236310943,1.2306880205869675
9,12,1.0169478789943076,1.0430157634982884,1.176365240664795,1.1460505813256625,1.2531840056180954
10,12,1.034538998845942,1.0601821154044706,1.2656404923533426,1.2151398495392405,1.3028799891471863
11,12,1.0280733493479262,1.0546014102881294,1.1866072356032706,1.179758958599621,1.2224959805607796
12,12,1.0347544709452305,1.090246150414675,1.1854767062092215,1.1164056222971264,1.24966399371624
13,12,1.0261817103794268,1.0990943861371396,1.1818036903637974,1.1859114015976762,1.2528799772262573
14,12,1.0289080226713416,1.0765717450700203,1.1919297812623617,1.2076132862350262,1.3046239763498306
15,12,1.0205486188452015,1.0431374050425235,1.1829357354801255,1.15168010274777,1.2432000190019608
16,12,1.0322813595341669,1.1282830294619428,1.1922672943375243,1.210951047085501,1.2230720221996307
17,12,1.0175000892702804,1.0433474622708228,1.182860112569622,1.1139616323995916,1.2076799795031548
18,12,1.0286864194660348,1.0415835602577541,1.1867442819129663,1.2562249429940127,1.243951991200447
19,12,1.0236157231159124,1.1693672808652393,1.2414118735155908,1.2329612359285949,1.227983996272087
20,12,1.0234254645232985,1.182791248648393,1.2344709272515415,1.188075230092037,1.2177119925618172
21,12,1.1136687049835274,1.310863430979255,1.5828986773178824,1.1400560224089635,1.4261439740657806
22,12,1.0223123412708683,1.2435712354795392,1.3572561132966976,1.1600510754463598,1.432864010334015
23,12,1.0231186617742922,1.1752629451629828,1.1964536900646323,1.144552319309601,1.270336039364338
24,12,1.0283465566350414,1.1774333742984684,1.202351631885788,1.1355204433445438,1.2416000068187714
25,12,1.021950601130728,1.188595446214639,1.2439440153571162,1.2173678532901837,1.209647998213768
26,12,1.0289108488926235,1.2375999124360304,1.2873111492090417,1.149709186008918,1.2462879866361618
