layer,invocations,expert_ratio_median,expert_ratio_p90,expert_ratio_max,rank_ratio_median,dispatch_ratio_median,combine_ratio_median,critical_path_ratio_median
0,12,1.2688451221475237,1.3209200739647937,1.3274326612611635,1.7451950325984653,1.2805199579533932,1.3587474726639632,1.079711541680656
1,12,1.1849936622767583,1.2335876386719071,1.2395899609215202,1.4552199246699153,1.1506273232847284,1.3675757473930705,1.0496887594629531
2,12,1.2963520201403105,1.393987717885462,1.4306146192191211,1.9576860091595365,1.1614877914242707,1.48760738665321,1.0399626702378235
3,12,1.1645291652314673,1.3081996178782158,1.3180697625449815,1.5469258404077832,1.1420176982067143,1.2816634835844578,1.0414536053875123
4,12,1.1330816912714354,1.2033685956433788,1.237193395242442,1.4811726401894307,1.1313273159740866,1.312529808629557,1.0421803756387062
5,12,1.2526890633706578,1.3521964128666584,1.362269065802428,1.7575989704965798,1.138637007451938,1.665396977727536,1.0568444679715163
6,12,1.3246134462173886,1.4823506254042356,1.5246646143440268,2.0068788141184233,1.1700434297945117,1.5494572356419594,1.0572006890956
7,12,1.2965965851792114,1.4415481003112613,1.473342902437126,1.895737938793188,1.1461479360052644,1.3402205118393937,1.0515451204803905
8,12,1.1681437296978412,1.268064880433411,1.271598059218256,1.5122999797214465,1.1673088392245505,1.2829327403218334,1.0497085640133716
9,12,1.470790848428835,1.5517874958304327,1.5688855106341395,2.6430210250499435,1.108761807348757,1.450025029098196,1.0381217145001331
10,12,1.4380751303835397,1.5701315350572733,1.6066695522184842,2.4675445285896576,1.1901857772981428,1.494419570555312,1.0640063629477337
11,12,1.269812782266603,1.3818957560993588,1.387199383271147,1.771351429924149,1.1541465223378533,1.5407249177498472,1.0530917479058788
12,12,1.2345810385910871,1.3253496705396037,1.348620338051798,1.723594482275128,1.1450415058489603,1.5639131833382947,1.041489934699086
13,12,1.298555798209745,1.3864248823611451,1.444038619358594,1.8358543134957979,1.1524659068236494,1.5174758921535059,1.0574547555810836
