block,policy,workload,requests,e2e_mean_reduction_pct,paired_request_reduction_median_pct,paired_request_reduction_p10_pct,paired_request_reduction_p90_pct,output_text_exact_fraction,output_prefix_32char_exact_fraction
0,alp,short_high_concurrency,512,-14.307589109060203,-18.733126838989445,-23.55565904678416,-1.8595540684117844,0.384765625,0.9375
0,alp,heterogeneous_steady,48,20.62985096041371,23.299044259954837,2.3349347960467983,31.368514000097026,0.2708333333333333,0.8541666666666666
0,alp,fastpp_official_azure_conv_192,192,11.834499314820967,9.14025966689917,-13.477249912623218,24.638698027303498,0.8489583333333334,0.890625
0,alp,heterogeneous_bursty,48,-14.108762860380164,-10.31139729384295,-32.63949004381566,-6.419015689551163,0.3333333333333333,0.9166666666666666
1,alp,heterogeneous_steady,48,7.602546428870694,8.305888245247779,-17.606233907451603,28.795642351479767,0.375,0.8541666666666666
1,alp,short_high_concurrency,512,-15.22550036101995,-17.810078790222008,-21.318249697751636,-7.34393795428911,0.37109375,0.955078125
1,alp,heterogeneous_bursty,48,-30.116029969890846,-28.286035163386902,-36.3846188434261,-23.30292321147365,0.3333333333333333,0.8958333333333334
1,alp,fastpp_official_azure_conv_192,192,-49.09563463744875,-53.01834540181039,-91.96046989990833,-27.529539686877307,0.84375,0.890625
2,alp,short_high_concurrency,512,-35.27588513591602,-38.08888619832818,-51.25553640789962,-19.878537619136033,0.34375,0.9375
2,alp,heterogeneous_steady,48,21.848999799605174,23.85958044452005,6.44342102137803,31.31107931772002,0.375,0.8958333333333334
2,alp,fastpp_official_azure_conv_192,192,11.770893031282236,8.955401248567124,-6.828341176450102,24.144139713114377,0.875,0.9114583333333334
2,alp,heterogeneous_bursty,48,-10.09975717244851,-9.467602761992023,-15.25206323337752,-6.373543174758544,0.3541666666666667,0.9166666666666666
