block,workload,variant,requests,token_exact_requests,token_exact_fraction,mean_common_prefix_tokens,e2e_reduction_pct,ttft_reduction_pct,tpot_reduction_pct,status
0,b64_c128,plan1_graph,64,53,0.828125,87.9375,7.388241159540964,-0.18204688877159203,7.864584508395012,EXCLUDE_PENDING_CORRECTNESS
0,b4_c128,plan2_graph,4,3,0.75,75.75,-159.17118554217598,-48.498982309363,-162.34550283631955,EXCLUDE_PENDING_CORRECTNESS
0,b64_c128,plan2_graph,64,46,0.71875,80.328125,-119.9183916945175,0.3556631186615422,-127.4863660812696,EXCLUDE_PENDING_CORRECTNESS
0,b4_c128,plan1_graph,4,3,0.75,75.75,8.714942777159285,-8.037328409645795,9.19543401697489,EXCLUDE_PENDING_CORRECTNESS
1,b64_c128,plan1_graph,64,53,0.828125,83.71875,4.047336940928481,0.6400359098327479,4.264227456535597,EXCLUDE_PENDING_CORRECTNESS
1,b4_c128,plan1_graph,4,2,0.5,74.5,10.748320839494763,31.75816464136072,9.899881758929741,EXCLUDE_PENDING_CORRECTNESS
1,b4_c128,plan2_graph,4,2,0.5,74.5,-144.4696054597081,23.58876803571749,-151.25629522448628,EXCLUDE_PENDING_CORRECTNESS
1,b64_c128,plan2_graph,64,49,0.765625,81.03125,-131.79732228099672,0.5116424036117229,-140.21940160653926,EXCLUDE_PENDING_CORRECTNESS
2,b64_c128,plan2_graph,64,49,0.765625,81.046875,-117.1872345751146,-3.477158166424088,-124.48819442128061,EXCLUDE_PENDING_CORRECTNESS
2,b64_c128,plan1_graph,64,52,0.8125,83.5,2.96683894737213,-0.331639599814193,3.178623691407434,EXCLUDE_PENDING_CORRECTNESS
2,b4_c128,plan2_graph,4,3,0.75,73,-156.00685952002803,8.070494597000778,-161.41143724027458,EXCLUDE_PENDING_CORRECTNESS
2,b4_c128,plan1_graph,4,4,1,96,7.74964207406974,-24.83003011687501,8.822790598457352,TOKEN_EXACT_DESCRIPTIVE_ONLY
