step,device_id,request_step_ms_profiled,kernel_union_ms,compute_union_ms,nccl_union_ms,compute_nccl_overlap_ms,nccl_overlap_fraction,uncovered_by_kernels_ms,reported_graph_node_stream_count,kernel_count,graph_kernel_count
2,0,11.125793,6.735947,5.395751,1.340196,0.0,0.0,4.389846,1,702,700
2,1,11.125793,5.98003,5.386494,0.593536,0.0,0.0,5.145763,1,702,700
2,2,11.125793,7.192595,5.538702,1.653893,0.0,0.0,3.933198,1,702,700
2,3,11.125793,7.198843,5.511324,1.687519,0.0,0.0,3.92695,1,702,700
3,0,9.060074,6.085003,5.339531,0.745472,0.0,0.0,2.975071,1,702,700
3,1,9.060074,6.015233,5.382272,0.632961,0.0,0.0,3.044841,1,702,700
3,2,9.060074,6.014316,5.483051,0.531265,0.0,0.0,3.045758,1,702,700
3,3,9.060074,5.91363,5.454718,0.458912,0.0,0.0,3.146444,1,702,700
4,0,9.424692,6.362989,5.474602,0.888387,0.0,0.0,3.061703,1,702,700
4,1,9.424692,6.197376,5.559295,0.638081,0.0,0.0,3.227316,1,702,700
4,2,9.424692,6.20635,5.50206,0.70429,0.0,0.0,3.218342,1,702,700
4,3,9.424692,5.988828,5.449052,0.539776,0.0,0.0,3.435864,1,702,700
5,0,9.579175,6.278762,5.331526,0.947236,0.0,0.0,3.300413,1,702,700
5,1,9.579175,6.459551,5.367326,1.092225,0.0,0.0,3.119624,1,702,700
5,2,9.579175,6.389807,5.491052,0.898755,0.0,0.0,3.189368,1,702,700
5,3,9.579175,5.911804,5.387708,0.524096,0.0,0.0,3.667371,1,702,700
6,0,9.429451,6.349674,5.425513,0.924161,0.0,0.0,3.079777,1,702,700
6,1,9.429451,6.466876,5.357628,1.109248,0.0,0.0,2.962575,1,702,700
6,2,9.429451,6.107121,5.324652,0.782469,0.0,0.0,3.32233,1,702,700
6,3,9.429451,5.970204,5.517116,0.453088,0.0,0.0,3.459247,1,702,700
7,0,9.094322,6.098091,5.473929,0.624162,0.0,0.0,2.996231,1,702,700
7,1,9.094322,5.879905,5.342528,0.537377,0.0,0.0,3.214417,1,702,700
7,2,9.094322,6.182956,5.40865,0.774306,0.0,0.0,2.911366,1,702,700
7,3,9.094322,6.02502,5.376444,0.648576,0.0,0.0,3.069302,1,702,700
8,0,9.188667,5.974121,5.457254,0.516867,0.0,0.0,3.214546,1,702,700
8,1,9.188667,6.022783,5.308095,0.714688,0.0,0.0,3.165884,1,702,700
