block,workload,variant,requests,mean_e2e_s,mean_ttft_s,mean_tpot_s,steady_itl_mean_s,tokens_s,scope
0,b4_c2048,plan2,4,0.09783076401799917,0.09783076401799917,,,40.8753751997817,fixed_cohort_not_continuous_batching
0,b4_c2048,plain,4,0.0966922021470964,0.0966922021470964,,,41.36272102403282,fixed_cohort_not_continuous_batching
0,b4_c1024,plain,4,0.050737869925796986,0.050737869925796986,,,78.79290652239254,fixed_cohort_not_continuous_batching
0,b4_c1024,plan4,4,0.09439353179186583,0.09439353179186583,,,42.36285590198871,fixed_cohort_not_continuous_batching
0,b4_c2048,plan4,4,0.10825934214517474,0.10825934214517474,,,36.93250004953034,fixed_cohort_not_continuous_batching
0,b4_c1024,plan2,4,0.058916350826621056,0.058916350826621056,,,67.87998057938178,fixed_cohort_not_continuous_batching
1,b4_c2048,plan2,4,0.09689792664721608,0.09689792664721608,,,41.269927482756245,fixed_cohort_not_continuous_batching
1,b4_c1024,plain,4,0.05027848621830344,0.05027848621830344,,,79.51023425763127,fixed_cohort_not_continuous_batching
1,b4_c1024,plan2,4,0.06063583632931113,0.06063583632931113,,,65.94791687139595,fixed_cohort_not_continuous_batching
1,b4_c1024,plan4,4,0.10218490986153483,0.10218490986153483,,,39.14011827969532,fixed_cohort_not_continuous_batching
1,b4_c2048,plain,4,0.09678353369235992,0.09678353369235992,,,41.32247966168071,fixed_cohort_not_continuous_batching
1,b4_c2048,plan4,4,0.178617050871253,0.178617050871253,,,22.390877739934446,fixed_cohort_not_continuous_batching
2,b4_c2048,plan4,4,0.10826912615448236,0.10826912615448236,,,36.93599633660925,fixed_cohort_not_continuous_batching
2,b4_c2048,plan2,4,0.09735688986256719,0.09735688986256719,,,41.08055377352485,fixed_cohort_not_continuous_batching
2,b4_c1024,plan4,4,0.09909253614023328,0.09909253614023328,,,40.355844630675534,fixed_cohort_not_continuous_batching
2,b4_c1024,plain,4,0.05197363905608654,0.05197363905608654,,,76.92935814311785,fixed_cohort_not_continuous_batching
2,b4_c2048,plain,4,0.09679532889276743,0.09679532889276743,,,41.311795760775354,fixed_cohort_not_continuous_batching
2,b4_c1024,plan2,4,0.06104875821620226,0.06104875821620226,,,65.50785209480301,fixed_cohort_not_continuous_batching
