modality,method,variant,tokens,cosine_mean,cosine_p50,cosine_p90_error,relative_l2_mean,relative_l2_p50,relative_l2_p90,pass_rate,selected_k_mean,router_mass_mean
text,mass70,plain,49,0.8960687239153923,0.9657812035250133,0.6189425525569994,0.3372768566709934,0.2765307113052528,0.9255407280610549,0.0,4.1020408163265305,0.7640398850856289
text,mass70,renormalized,49,0.8960687239160555,0.9657812035255607,0.6189425525529384,0.4243173581822191,0.3820086997092766,0.9290050892157508,0.0,4.1020408163265305,0.7640398850856289
text,mass80,plain,49,0.9099968596401009,0.984669085482963,0.6189425525569994,0.2701599628958615,0.18391434429148468,0.9255407280610549,0.0,5.0,0.844686442885362
text,mass80,renormalized,49,0.9099968596407084,0.9846690854832453,0.6189425525529384,0.3160536673646732,0.2514683351093468,0.9290050892157508,0.0,5.0,0.844686442885362
text,mass90,plain,49,0.9362979982768115,0.9948531610750533,0.4784399915452484,0.1944225000843277,0.1068408087912298,0.853519938557334,0.12244897959183673,6.204081632653061,0.9244343639099172
text,mass90,renormalized,49,0.9362979982773135,0.994853161075082,0.47843999154156713,0.20953332650589446,0.13458171727751173,0.8564592426492745,0.04081632653061224,6.204081632653061,0.9244343639099172
text,mass95,plain,49,0.9737961661166673,0.9999999999984652,0.21088996988889097,0.08761226156220503,0.0,0.6142581827883533,0.7346938775510204,7.408163265306122,0.9858285527354858
text,mass95,renormalized,49,0.9737961661169051,0.9999999999984652,0.2108899698869965,0.09059609498938266,0.0,0.6154421812974074,0.7142857142857143,7.408163265306122,0.9858285527354858
text,mass99,plain,49,0.9999999999939116,0.9999999999996564,4.434030920208443e-11,0.0,0.0,0.0,1.0,8.0,1.0
text,mass99,renormalized,49,0.9999999999939116,0.9999999999996564,4.434030920208443e-11,0.0,0.0,0.0,1.0,8.0,1.0
text,top1,plain,49,0.6554208213826513,0.6483323740716795,0.6189425525569994,0.7396326518241401,0.7830798905803695,0.9255407280610549,0.0,1.0,0.34554230045192325
text,top1,renormalized,49,0.6554208213837265,0.6483323740719067,0.6189425525529384,1.4702160324407076,1.619092369755236,2.1234038918070315,0.0,1.0,0.34554230045192325
text,top2,plain,49,0.8127200816411314,0.8561488440324972,0.4784399915452484,0.5755217738532807,0.6168482630408837,0.853519938557334,0.0,2.0,0.49685853630171306
text,top2,renormalized,49,0.8127200816420131,0.8561488440324979,0.47843999154156713,0.9209872754511622,0.9871364062325789,1.2809006995180912,0.0,2.0,0.49685853630171306
text,top4,plain,49,0.9240606306137369,0.9640422237618861,0.2726101256410911,0.3502512836346736,0.3337647302723398,0.6862778842556125,0.0,4.0,0.716471124089955
text,top4,renormalized,49,0.9240606306142733,0.9640422237619447,0.272610125638586,0.46960736806133857,0.4793581679548274,0.6882826629002688,0.0,4.0,0.716471124089955
text,top6,plain,49,0.9671925171792016,0.9873968794910598,0.1623229747721403,0.21158607915926392,0.1680273966494434,0.5461982443035425,0.08163265306122448,6.0,0.8744293397525473
text,top6,renormalized,49,0.9671925171794541,0.9873968794913918,0.16232297477088176,0.2417669485377495,0.2185939418269421,0.5470317845830079,0.0,6.0,0.8744293397525473
text,top7,plain,49,0.9843409982040017,0.9955307987887974,0.08722381930328937,0.13738046076513707,0.09582936299581707,0.4084629445736744,0.10204081632653061,7.0,0.9401904454471643
text,top7,renormalized,49,0.9843409982041252,0.9955307987889194,0.08722381930265455,0.14786092424022093,0.11314673090295811,0.4086271860235245,0.08163265306122448,7.0,0.9401904454471643
visual,mass70,plain,870,0.9401622389832225,0.9375298388438934,0.10832100151556455,0.34004130815545014,0.3596541889747771,0.4579100001857714,0.01839080459770115,5.68735632183908,0.7720487601676715
visual,mass70,renormalized,870,0.9401622389833225,0.9375298388440519,0.10832100151532058,0.38220657829827603,0.4309397495403646,0.5235624568736804,0.010344827586206896,5.68735632183908,0.7720487601676715
visual,mass80,plain,870,0.9695140484733282,0.9702873814567462,0.05662555286098314,0.23637126934412866,0.246681926340718,0.33792356558005754,0.026436781609195402,6.642528735632184,0.8750430704460931
visual,mass80,renormalized,870,0.9695140484733812,0.9702873814567996,0.05662555286084714,0.2539550373099468,0.27253150365362533,0.3682837001469619,0.017241379310344827,6.642528735632184,0.8750430704460931
visual,mass90,plain,870,0.9949663832162906,0.9999999999991455,0.02039454934917602,0.05075581996799687,0.0,0.20122756321585056,0.7229885057471265,7.6,0.9741360208423987
visual,mass90,renormalized,870,0.9949663832162992,0.9999999999991455,0.020394549349152524,0.0556389615427828,0.0,0.22094854658274649,0.7114942528735633,7.6,0.9741360208423987
visual,mass95,plain,870,0.9999901876837821,0.9999999999996894,1.145683548031684e-12,0.0005630176446200858,0.0,0.0,0.9988505747126437,7.890804597701149,0.999035142624863
visual,mass95,renormalized,870,0.9999901876837821,0.9999999999996894,1.145683548031684e-12,0.0011388159428171144,0.0,0.0,0.9919540229885058,7.890804597701149,0.999035142624863
visual,mass99,plain,870,0.9999998289953196,0.9999999999997025,1.1259881915748338e-12,6.687938560063844e-05,0.0,0.0,1.0,7.966666666666667,0.9998832422857589
visual,mass99,renormalized,870,0.9999998289953196,0.9999999999997025,1.1259881915748338e-12,0.00013712466274473731,0.0,0.0,1.0,7.966666666666667,0.9998832422857589
visual,top1,plain,870,0.5893300982288744,0.5509990804205405,0.6283803034107067,0.8249895782723792,0.8684426399425716,0.9347410175274797,0.01839080459770115,1.0,0.187075704521753
visual,top1,renormalized,870,0.5893300982292601,0.5509990804208397,0.6283803034097091,1.8895148527044758,2.1460313011587053,2.669910454894003,0.010344827586206896,1.0,0.187075704521753
visual,top2,plain,870,0.7295579639196567,0.7186557539886181,0.4517775914561855,0.7103179053618912,0.7470998451582911,0.8432237551477891,0.01839080459770115,2.0,0.32572713626365196
visual,top2,renormalized,870,0.7295579639199742,0.7186557539888836,0.4517775914552734,1.200833963911777,1.4090745621703538,1.6445688986648803,0.013793103448275862,2.0,0.32572713626365196
visual,top4,plain,870,0.8661931173954105,0.8659823420423673,0.24133278636823602,0.5139690866851162,0.5417506694738317,0.6651223682025006,0.01839080459770115,4.0,0.571701306214097
visual,top4,renormalized,870,0.8661931173956083,0.8659823420425881,0.24133278636780317,0.6525633097791614,0.7537739050744345,0.8900545868019697,0.013793103448275862,4.0,0.571701306214097
visual,top6,plain,870,0.944794565993111,0.9472772761551709,0.10649372161532748,0.32413104283424904,0.3374328114547027,0.45215914158662907,0.020689655172413793,6.0,0.7932187348107124
visual,top6,renormalized,870,0.9447945659932048,0.9472772761552906,0.10649372161509461,0.35295657259714935,0.3845054778294955,0.5059296527335191,0.017241379310344827,6.0,0.7932187348107124
visual,top7,plain,870,0.9743893140575963,0.9767715160996794,0.05190806843664575,0.21434202419043727,0.22061405742606938,0.32091174586394966,0.03218390804597701,7.0,0.8981982672554193
visual,top7,renormalized,870,0.9743893140576418,0.976771516099731,0.051908068436577276,0.2228616170881256,0.23491844000231915,0.3354902010549902,0.02528735632183908,7.0,0.8981982672554193
