sample_id,category,layer,rank,assignments,vision_assignments,nonvision_assignments,expert_ms
astronaut,natural,0,0,2088,1936,152,0.9497599899768829
astronaut,natural,1,0,2016,1832,184,0.9625919759273529
astronaut,natural,2,0,2248,2128,120,0.48124800622463226
astronaut,natural,3,0,1988,1824,164,0.4634400010108948
astronaut,natural,4,0,2372,2272,100,0.45844799280166626
astronaut,natural,5,0,2440,2244,196,0.4586400240659714
astronaut,natural,6,0,3264,3108,156,0.46139200031757355
astronaut,natural,7,0,2468,2312,156,0.4508959800004959
astronaut,natural,8,0,2064,1900,164,0.46457600593566895
astronaut,natural,9,0,2544,2420,124,0.46671999990940094
astronaut,natural,10,0,2516,2348,168,0.47017598152160645
astronaut,natural,11,0,1796,1560,236,0.45235200226306915
astronaut,natural,12,0,2364,2260,104,0.46190400421619415
astronaut,natural,13,0,2600,2404,196,0.47628800570964813
astronaut,natural,14,0,2032,1820,212,0.4667360335588455
astronaut,natural,15,0,1788,1624,164,0.45345599949359894
astronaut,natural,16,0,2740,2640,100,0.46508799493312836
astronaut,natural,17,0,1936,1756,180,0.4609439969062805
astronaut,natural,18,0,2520,2348,172,0.4508479982614517
astronaut,natural,19,0,2860,2668,192,0.44223999977111816
astronaut,natural,20,0,2564,2396,168,0.4631679803133011
astronaut,natural,21,0,2756,2628,128,0.4596319794654846
astronaut,natural,22,0,2308,2172,136,0.4575040638446808
astronaut,natural,23,0,1784,1564,220,0.46886399388313293
astronaut,natural,24,0,2200,2060,140,0.46430400013923645
astronaut,natural,25,0,1924,1744,180,0.45529597997665405
astronaut,natural,26,0,2100,1932,168,0.4680800288915634
astronaut,natural,27,0,1604,1456,148,0.4567840099334717
astronaut,natural,28,0,2600,2488,112,0.46956802904605865
astronaut,natural,29,0,1780,1600,180,0.454352006316185
astronaut,natural,30,0,2596,2412,184,0.4639839679002762
astronaut,natural,31,0,2800,2596,204,0.45819200575351715
astronaut,natural,32,0,2536,2348,188,0.46400000154972076
astronaut,natural,33,0,2716,2620,96,0.46857598423957825
astronaut,natural,34,0,2404,2256,148,0.46644800901412964
astronaut,natural,35,0,2172,1928,244,0.46614399552345276
astronaut,natural,36,0,2156,2004,152,0.45612798631191254
astronaut,natural,37,0,2444,2244,200,0.46772800385951996
astronaut,natural,38,0,2228,2052,176,0.46697600185871124
astronaut,natural,39,0,1808,1684,124,0.46696001291275024
astronaut,natural,40,0,2620,2512,108,0.46537600457668304
astronaut,natural,41,0,1920,1728,192,0.45926399528980255
astronaut,natural,42,0,1924,1780,144,0.4615199863910675
astronaut,natural,43,0,1816,1692,124,0.45607998967170715
astronaut,natural,44,0,1976,1796,180,0.4668640047311783
astronaut,natural,45,0,2760,2564,196,0.4595840275287628
astronaut,natural,46,0,2128,1996,132,0.47100797295570374
astronaut,natural,47,0,2648,2492,156,0.4710560142993927
camera,natural,0,0,2036,1892,144,0.46487998962402344
camera,natural,1,0,2004,1820,184,0.4731999784708023
camera,natural,2,0,2176,2060,116,0.47067201137542725
camera,natural,3,0,1928,1772,156,0.47140800952911377
camera,natural,4,0,2584,2480,104,0.46487997472286224
camera,natural,5,0,2012,1820,192,0.4594079852104187
camera,natural,6,0,3012,2868,144,0.4710560142993927
camera,natural,7,0,1824,1672,152,0.45179198682308197
camera,natural,8,0,2280,2120,160,0.47655998170375824
camera,natural,9,0,2592,2464,128,0.4617920070886612
camera,natural,10,0,2768,2600,168,0.46087998151779175
camera,natural,11,0,1996,1764,232,0.4684160053730011
camera,natural,12,0,2232,2132,100,0.4708479791879654
camera,natural,13,0,2360,2160,200,0.46750402450561523
camera,natural,14,0,1804,1604,200,0.46400000154972076
camera,natural,15,0,1872,1712,160,0.4556479752063751
camera,natural,16,0,2556,2464,92,0.4671519994735718
camera,natural,17,0,1864,1696,168,0.4583999812602997
camera,natural,18,0,2728,2564,164,0.4691680073738098
camera,natural,19,0,2108,1940,168,0.4562399834394455
