fold,policy,fit_source,eval_source,layer,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
A_first12,P0,all,all,0,fixed_linear,13286,106288,3.602814993225952,4.0,4.0,0.6272768327562848,0.9755381604696673,28594,26572.0,0.08434430566222864,1.0760951377389734,1,34581.0
A_first12,P0,all,vision,0,fixed_linear,13020,104160,3.6027649769585253,4.0,4.0,0.6272657450076805,0.9754992319508449,28159,26040.0,0.08844648367017488,1.0813748079877112,1,33888.0
A_first12,P0,all,text,0,fixed_linear,266,2128,3.6052631578947367,4.0,4.0,0.6278195488721805,0.9774436090225563,624,532.0,0.12759129331988875,1.1729323308270676,2,693.0
A_first12,P0,all,all,1,fixed_linear,13286,106288,3.5859551407496615,4.0,4.0,0.6110191178684329,0.9749360228812284,30034,26572.0,0.12791639080855266,1.1302875206984797,1,34357.0
A_first12,P0,all,vision,1,fixed_linear,13020,104160,3.5868663594470047,4.0,4.0,0.6123655913978494,0.9745007680491552,29734,26040.0,0.13282206329297577,1.1418586789554532,1,33681.0
A_first12,P0,all,text,1,fixed_linear,266,2128,3.5413533834586466,4.0,4.0,0.5451127819548872,0.9962406015037594,638,532.0,0.2570415697716024,1.199248120300752,3,676.0
A_first12,P0,all,all,2,fixed_linear,13286,106288,3.6587385217522206,4.0,4.0,0.6724371518892067,0.9863766370615685,30827,26572.0,0.09406566508119335,1.1601309649254854,0,35324.0
A_first12,P0,all,vision,2,fixed_linear,13020,104160,3.6593701996927805,4.0,4.0,0.6725806451612903,0.9868663594470046,30459,26040.0,0.10011752003772587,1.1697004608294932,0,34625.0
A_first12,P0,all,text,2,fixed_linear,266,2128,3.6278195488721803,4.0,4.0,0.6654135338345865,0.9624060150375939,677,532.0,0.2298427188132925,1.2725563909774436,1,699.0
A_first12,P0,all,all,3,fixed_linear,13286,106288,3.651889206683727,4.0,4.0,0.665286768026494,0.9866024386572332,31141,26572.0,0.13967994915029644,1.1719479150986,1,35233.0
A_first12,P0,all,vision,3,fixed_linear,13020,104160,3.6559139784946235,4.0,4.0,0.6685867895545314,0.9873271889400922,30824,26040.0,0.14601434837009525,1.1837173579109064,1,34580.0
A_first12,P0,all,text,3,fixed_linear,266,2128,3.454887218045113,4.0,4.0,0.5037593984962406,0.9511278195488722,637,532.0,0.2376686258506166,1.1973684210526316,2,653.0
A_first12,P0,all,all,4,fixed_linear,13286,106288,3.6262983591750717,4.0,4.0,0.6438356164383562,0.9824627427367153,30081,26572.0,0.0998468752451907,1.132056299864519,1,34893.0
A_first12,P0,all,vision,4,fixed_linear,13020,104160,3.6268817204301076,4.0,4.0,0.6447004608294931,0.9821812596006144,29521,26040.0,0.10331034510421108,1.133678955453149,1,34202.0
