layer,placement,fit_source,eval_source,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
0,P0,all,all,fixed_linear,15929,127432,3.597526523950028,4.0,4.0,0.6223240630296942,0.975202460920334,34194,31858.0,0.07562433703212258,1.073325381379873,1,41376.0
0,P0,all,vision,fixed_linear,15414,123312,3.598481899571818,4.0,4.0,0.6236538212015051,0.9748280783703127,33391,30828.0,0.08265694015534442,1.08313870507331,1,40053.0
0,P0,all,text,fixed_linear,515,4120,3.5689320388349515,4.0,4.0,0.5825242718446602,0.9864077669902913,1225,1030.0,0.15158383976187412,1.1893203883495145,2,1323.0
0,P_load,all,all,greedy_load+swap,15929,127432,3.6620629041371084,4.0,4.0,0.6741163914872246,0.9879465126498839,31874,31858.0,0.0004181967667296826,1.0005022286395882,0,42404.0
0,P_load,all,vision,greedy_load+swap,15414,123312,3.6629038536395484,4.0,4.0,0.6753600622810432,0.9875437913585052,31070,30828.0,0.004785188644630666,1.0078500064876086,3,41046.0
0,P_load,all,text,greedy_load+swap,515,4120,3.636893203883495,4.0,4.0,0.6368932038834951,1.0,1166,1030.0,0.13861242265333898,1.1320388349514563,2,1358.0
0,P_V_load,vision,all,modality_greedy_load+swap,15929,127432,3.6348797790193985,4.0,4.0,0.6541528030635947,0.9807269759558038,32373,31858.0,0.010913839908651697,1.0161654843367443,0,41971.0
0,P_V_load,vision,vision,modality_greedy_load+swap,15414,123312,3.637602179836512,4.0,4.0,0.6568703775788245,0.9807318022576879,30831,30828.0,8.270110797964163e-05,1.0000973141300116,0,40656.0
0,P_V_load,vision,text,modality_greedy_load+swap,515,4120,3.5533980582524274,4.0,4.0,0.5728155339805825,0.9805825242718447,1542,1030.0,0.33593004649086805,1.4970873786407768,0,1315.0
0,P_T_load,text,all,modality_greedy_load+swap,15929,127432,3.6428526586728607,4.0,4.0,0.6602423253186013,0.982673111934208,33760,31858.0,0.06018944029719637,1.059702429531044,1,42098.0
0,P_T_load,text,vision,modality_greedy_load+swap,15414,123312,3.640002595043467,4.0,4.0,0.6567406254054755,0.9833268457246659,32730,30828.0,0.06220044080018431,1.0616971584274038,1,40693.0
0,P_T_load,text,text,modality_greedy_load+swap,515,4120,3.7281553398058254,4.0,4.0,0.7650485436893204,0.9631067961165048,1030,1030.0,0.0,1.0,0,1405.0
0,P_V_sat,vision,all,modality_coactivation_surrogate+swap,15929,127432,3.386213823843305,3.0,4.0,0.4639964843995229,0.9237240253625463,47248,31858.0,0.34266757631514216,1.4830811727038735,0,38010.0
0,P_V_sat,vision,vision,modality_coactivation_surrogate+swap,15414,123312,3.380757752692358,3.0,4.0,0.4608148436486311,0.9214999351239134,46373,30828.0,0.3593821998516732,1.5042493836771766,0,36697.0
0,P_V_sat,vision,text,modality_coactivation_surrogate+swap,515,4120,3.549514563106796,4.0,4.0,0.5592233009708738,0.9902912621359223,1292,1030.0,0.1726395416723954,1.254368932038835,3,1313.0
0,P_T_sat,text,all,modality_coactivation_surrogate+swap,15929,127432,3.3594701487852343,3.0,4.0,0.462803691380501,0.9052043442777324,33191,31858.0,0.03785164444273619,1.0418419235356897,2,37584.0
0,P_T_sat,text,vision,modality_coactivation_surrogate+swap,15414,123312,3.4050214091086026,3.0,4.0,0.47774750227066304,0.9281172959647074,32929,30828.0,0.06317541498509424,1.0681523290515116,2,37071.0
0,P_T_sat,text,text,modality_coactivation_surrogate+swap,515,4120,1.996116504854369,2.0,3.0,0.015533980582524271,0.21941747572815534,2179,1030.0,0.784049863180668,2.115533980582524,1,513.0
0,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,15929,127432,3.610019461359784,4.0,4.0,0.630359721263105,0.979785297256576,31931,31858.0,0.002698657581407771,1.002291418168121,1,41575.0
0,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15414,123312,3.6158038147138964,4.0,4.0,0.6361100298429999,0.9798235370442455,31102,30828.0,0.005566079008837373,1.0088880238743998,3,40320.0
0,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,515,4120,3.436893203883495,3.0,4.0,0.458252427184466,0.9786407766990292,1234,1030.0,0.1697058496566124,1.1980582524271846,1,1255.0
0,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,15929,127432,3.6265930064661935,4.0,4.0,0.6466193734697722,0.9799736329964216,31903,31858.0,0.0015758861656175803,1.0014125180488418,1,41839.0
0,P_joint_0.75,all,vision,joint_surrogate_lambda_0.75,15414,123312,3.6289087842221357,4.0,4.0,0.6495393797846114,0.9793694044375243,31114,30828.0,0.005487065464209026,1.0092772803944465,3,40522.0
0,P_joint_0.75,all,text,joint_surrogate_lambda_0.75,515,4120,3.557281553398058,4.0,4.0,0.5592233009708738,0.9980582524271845,1218,1030.0,0.15912262978957742,1.1825242718446602,1,1317.0
1,P0,all,all,fixed_linear,15929,127432,3.585598593759809,4.0,4.0,0.6108355828991148,0.9747630108606943,35922,31858.0,0.1257433780564984,1.127566074455396,1,41186.0
1,P0,all,vision,fixed_linear,15414,123312,3.587128584403789,4.0,4.0,0.6131438951602439,0.9739846892435449,35350,30828.0,0.13410503259498008,1.1466848319709355,1,39878.0
1,P0,all,text,fixed_linear,515,4120,3.5398058252427185,4.0,4.0,0.541747572815534,0.9980582524271845,1233,1030.0,0.26010449838501576,1.1970873786407767,3,1308.0
1,P_load,all,all,greedy_load+swap,15929,127432,3.6702868981103647,4.0,4.0,0.684160964278988,0.9861259338313767,31861,31858.0,0.00010410649728028751,1.000094167869923,0,42535.0
1,P_load,all,vision,greedy_load+swap,15414,123312,3.6667964188400157,4.0,4.0,0.6809394057350461,0.9858570131049695,30974,30828.0,0.003740726691272926,1.004735954327235,2,41106.0
1,P_load,all,text,greedy_load+swap,515,4120,3.774757281553398,4.0,4.0,0.7805825242718447,0.9941747572815534,1188,1030.0,0.11498810423419346,1.1533980582524272,0,1429.0
1,P_V_load,vision,all,modality_greedy_load+swap,15929,127432,3.605185510703748,4.0,4.0,0.6280996923849582,0.9771485968987381,32241,31858.0,0.009774450511484916,1.012022098060142,1,41498.0
1,P_V_load,vision,vision,modality_greedy_load+swap,15414,123312,3.6109381082133125,4.0,4.0,0.6334501102893474,0.9775528740106397,30839,30828.0,0.00061802773074016,1.0003568184767095,0,40245.0
1,P_V_load,vision,text,modality_greedy_load+swap,515,4120,3.433009708737864,3.0,4.0,0.4679611650485437,0.9650485436893204,1402,1030.0,0.3058876496658809,1.3611650485436892,1,1253.0
1,P_T_load,text,all,modality_greedy_load+swap,15929,127432,3.623014627409128,4.0,4.0,0.6427898800929123,0.9802247473162157,33717,31858.0,0.07610465895013437,1.0583526900621507,2,41782.0
1,P_T_load,text,vision,modality_greedy_load+swap,15414,123312,3.6186583625275723,4.0,4.0,0.6390943298300247,0.9795640326975477,32687,30828.0,0.0786474057620793,1.060302322563903,2,40364.0
1,P_T_load,text,text,modality_greedy_load+swap,515,4120,3.753398058252427,4.0,4.0,0.7533980582524272,1.0,1030,1030.0,0.0,1.0,0,1418.0
1,P_V_sat,vision,all,modality_coactivation_surrogate+swap,15929,127432,3.2769163161529287,3.0,4.0,0.38828551698160585,0.892020842488543,52065,31858.0,0.4312404285749736,1.6342833825098877,0,36269.0
1,P_V_sat,vision,vision,modality_coactivation_surrogate+swap,15414,123312,3.280134942260283,3.0,4.0,0.39087842221357205,0.8927598287271312,51688,30828.0,0.45706245545434415,1.6766575840145324,0,35146.0
1,P_V_sat,vision,text,modality_coactivation_surrogate+swap,515,4120,3.180582524271845,3.0,4.0,0.3106796116504854,0.8699029126213592,1348,1030.0,0.3709913146773504,1.30873786407767,3,1123.0
1,P_T_sat,text,all,modality_coactivation_surrogate+swap,15929,127432,3.4651892774185447,4.0,4.0,0.5289095360662942,0.9416159206478749,34448,31858.0,0.11040816533989889,1.0812982610333355,3,39268.0
1,P_T_sat,text,vision,modality_coactivation_surrogate+swap,15414,123312,3.51005579343454,4.0,4.0,0.5458673932788374,0.9641884001557026,33664,30828.0,0.1461365299984624,1.0919942909043727,3,38690.0
1,P_T_sat,text,text,modality_coactivation_surrogate+swap,515,4120,2.122330097087379,2.0,3.0,0.021359223300970873,0.26601941747572816,2768,1030.0,0.99579306431577,2.687378640776699,0,578.0
1,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,15929,127432,3.6194362483520623,4.0,4.0,0.6411576370142508,0.9782786113378116,31865,31858.0,0.00022416436777396103,1.00021972502982,0,41725.0
1,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15414,123312,3.614311664720384,4.0,4.0,0.6364992863630465,0.9778123783573375,30974,30828.0,0.004126585765503601,1.004735954327235,2,40297.0
1,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,515,4120,3.7728155339805824,4.0,4.0,0.7805825242718447,0.9922330097087378,1188,1030.0,0.12402318873178181,1.1533980582524272,0,1428.0
1,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,15929,127432,3.6194362483520623,4.0,4.0,0.6411576370142508,0.9782786113378116,31865,31858.0,0.00022416436777396103,1.00021972502982,0,41725.0
1,P_joint_0.75,all,vision,joint_surrogate_lambda_0.75,15414,123312,3.614311664720384,4.0,4.0,0.6364992863630465,0.9778123783573375,30974,30828.0,0.004126585765503601,1.004735954327235,2,40297.0
1,P_joint_0.75,all,text,joint_surrogate_lambda_0.75,515,4120,3.7728155339805824,4.0,4.0,0.7805825242718447,0.9922330097087378,1188,1030.0,0.12402318873178181,1.1533980582524272,0,1428.0
2,P0,all,all,fixed_linear,15929,127432,3.659112310879528,4.0,4.0,0.6732374913679453,0.9859375980915311,36268,31858.0,0.07997471506828265,1.13842676878649,0,42357.0
2,P0,all,vision,fixed_linear,15414,123312,3.6590112884390815,4.0,4.0,0.6728298949007396,0.9862462696250163,35508,30828.0,0.08794463855770347,1.1518100428182172,0,40986.0
2,P0,all,text,fixed_linear,515,4120,3.662135922330097,4.0,4.0,0.6854368932038835,0.9766990291262136,1289,1030.0,0.2157339665222741,1.2514563106796117,1,1371.0
2,P_load,all,all,greedy_load+swap,15929,127432,3.6429782158327577,4.0,4.0,0.6591123108795279,0.9839286835331785,31886,31858.0,0.0010521266722389585,1.0008789001192793,2,42100.0
2,P_load,all,vision,greedy_load+swap,15414,123312,3.6483067341377966,4.0,4.0,0.6648501362397821,0.9835214739846893,31069,30828.0,0.0072953873416193955,1.0078175684442714,0,40821.0
2,P_load,all,text,greedy_load+swap,515,4120,3.483495145631068,3.0,4.0,0.487378640776699,0.996116504854369,1274,1030.0,0.1988289308099408,1.2368932038834952,3,1279.0
2,P_V_load,vision,all,modality_greedy_load+swap,15929,127432,3.6584217465000943,4.0,4.0,0.6729235984682026,0.9854981480318915,32207,31858.0,0.007089325170086744,1.010954862201017,2,42346.0
2,P_V_load,vision,vision,modality_greedy_load+swap,15414,123312,3.6574542623588946,4.0,4.0,0.6724406383806929,0.9850136239782016,30833,30828.0,0.0001051112738161389,1.0001621902166862,2,40962.0
2,P_V_load,vision,text,modality_greedy_load+swap,515,4120,3.687378640776699,4.0,4.0,0.6873786407766991,1.0,1374,1030.0,0.21676265725568325,1.3339805825242719,2,1384.0
2,P_T_load,text,all,modality_greedy_load+swap,15929,127432,3.6265302278862452,4.0,4.0,0.6480005022286396,0.9785297256576057,34614,31858.0,0.06938366645872451,1.0865088831690628,2,41838.0
2,P_T_load,text,vision,modality_greedy_load+swap,15414,123312,3.621772414687946,4.0,4.0,0.6435707798105619,0.9782016348773842,33584,30828.0,0.07170185694959275,1.0893992474373946,2,40412.0
