rank,case,rep,policy,device_id,global_pid,profiled_host_span_ms,gpu_activity_union_ms,no_observed_gpu_activity_ms,largest_activity_gap_ms,expert_kernel_union_ms,memcpy_union_ms,nccl_kernel_union_ms,copy_expert_overlap_ms,nccl_expert_overlap_ms,unattributed_activity_count,activity_count
0,0,0,libra,0,320747587239936,296.241051,179.691379,116.54967200000002,2.418858,61.577904,24.156764,71.504209,4.293586,6.21391,49,4328
1,0,0,libra,1,320747604017152,296.31835,171.930676,124.387674,3.158149,61.514652,25.978281,65.143247,4.454436,5.29374,47,4442
2,0,0,libra,2,320747620794368,296.428456,178.786731,117.64172499999998,1.376711,61.993834,23.706769,70.60372,4.497531,5.321753,47,4308
3,0,0,libra,3,320747654348800,296.303672,143.507119,152.79655300000002,2.607681,61.518942,24.335219,41.843163,4.642885,1.415264,47,4330
0,0,0,vanilla,0,320747587239936,115.572215,106.236481,9.335734000000002,1.594342,51.234666,1.202662,33.971265,0.0,0.0,49,1738
1,0,0,vanilla,1,320747604017152,115.572317,106.332993,9.239323999999996,1.489922,53.112721,1.191713,32.122426,0.0,0.0,47,1736
3,0,0,vanilla,3,320747654348800,115.744403,88.021669,27.722734000000003,1.790561,52.346523,1.167873,14.77172,0.0,0.0,47,1736
2,0,0,vanilla,2,320747620794368,115.536562,105.952974,9.583588000000006,1.502119,52.889502,1.182052,31.950997,0.0,0.0,47,1736
0,0,1,vanilla,0,320747587239936,115.773399,106.620823,9.152575999999996,1.339237,51.326602,1.200645,34.28759,0.0,0.0,49,1738
2,0,1,vanilla,2,320747620794368,115.775879,105.750863,10.025016000000008,1.493415,52.791676,1.179849,31.828689,0.0,0.0,47,1736
1,0,1,vanilla,1,320747604017152,115.771964,106.102468,9.669495999999995,1.436642,53.045716,1.182144,31.935668,0.0,0.0,47,1736
3,0,1,vanilla,3,320747654348800,116.068836,89.141321,26.927515,1.312929,52.426622,1.180576,15.760487,0.0,0.0,47,1736
1,0,1,libra,1,320747604017152,273.622209,160.293987,113.32822200000001,1.412323,61.474118,26.262758,54.532121,4.589512,6.243624,47,4442
0,0,1,libra,0,320747587239936,273.577668,171.41422,102.16344800000002,1.348902,61.740395,24.193405,65.135897,4.4364,8.266944,49,4328
2,0,1,libra,2,320747620794368,273.639618,159.188413,114.45120499999999,1.387526,61.942252,24.075509,54.633864,4.740181,6.230111,47,4308
3,0,1,libra,3,320747654348800,273.766463,119.572982,154.193481,1.434689,61.484828,24.253129,23.273517,4.881794,0.042208,47,4330
0,0,2,vanilla,0,320747587239936,114.695467,105.178151,9.517315999999994,1.548966,51.281068,1.19693,32.882526,0.0,0.0,49,1738
1,0,2,vanilla,1,320747604017152,114.695221,103.902076,10.79314500000001,1.616579,53.039059,1.179874,29.752814,0.0,0.0,47,1736
2,0,2,vanilla,2,320747620794368,114.698245,104.029645,10.668599999999998,1.617703,52.806944,1.168133,30.122123,0.0,0.0,47,1736
3,0,2,vanilla,3,320747654348800,114.835675,88.483145,26.35253,1.509729,52.450013,1.172704,15.119142,0.0,0.0,47,1736
1,0,2,libra,1,320747604017152,275.111946,163.119626,111.99231999999998,1.64701,61.54609,26.075873,56.375319,4.325834,6.167749,47,4442
2,0,2,libra,2,320747620794368,275.169735,163.985958,111.18377699999999,1.735848,61.910846,23.889397,58.834716,4.716154,6.85776,47,4308
0,0,2,libra,0,320747587239936,275.095583,172.891087,102.20449599999998,1.670727,61.692093,24.069471,67.015749,4.338317,7.84832,49,4328
3,0,2,libra,3,320747654348800,275.232601,122.428517,152.804084,1.748193,61.52455,24.126407,24.284396,4.227779,0.058528,47,4330
