policy,rank_observations,paired_execution_units,independent_engine_runs,scope,prefill_ms_p50,prefill_ms_p90,prefill_ms_mean,prefill_ms_cv,paired_reduction_vs_vanilla_median_percent,paired_unit_bootstrap95ci_percent,greedy_first_equal_fraction,min_logit_cosine_vs_vanilla,max_relative_l2_vs_vanilla,max_logit_abs_vs_vanilla,full_request_e2e_gain,run,tokens_per_source,context,oracle_paired_prefill_gain_vs_libra_percent,oracle_realized_topk_recall_mean,oracle_realized_topk_recall_min,rank_critical_prefill_ms_p50,rank_critical_paired_reduction_vs_vanilla_percent,rank_critical_reduction_95ci_percent,kl_vs_vanilla_p50,kl_vs_vanilla_max,hf_reference_greedy_equal_fraction,hf_reference_min_cosine,hf_reference_max_relative_l2,hf_reference_kl_p50,hf_reference_kl_max,oracle_comparison_policy,controlled_replay_not_model_correctness,oracle_rank_critical_gain_percent,oracle_rank_critical_gain_95ci_percent
libra,60,15,1,['NATIVE_SUPPLEMENT_PREFILL_HARNESS'],173.62708039581776,183.9377726893872,175.0690053915605,0.022965228846694948,-114.03654782062931,"[-116.22516981899037, -110.68674402563721]",1.0,0.9997559785842896,0.023184167221188545,0.53125,,libra_native_text48_m128,128,TEXT_PREFILL,,,,,,,,,,,,,,,,,
vanilla,60,15,1,['NATIVE_SUPPLEMENT_PREFILL_HARNESS'],80.77908982522786,92.74337156675756,82.91585720144212,0.05489730893905997,0.0,"[0.0, 0.0]",1.0,0.9999998807907104,0.0,0.0,,libra_native_text48_m128,128,TEXT_PREFILL,,,,,,,,,,,,,,,,,
libra,80,20,1,['NATIVE_SUPPLEMENT_PREFILL_HARNESS'],301.8832535017282,314.4564520101994,305.68235041573644,0.020140491522100443,-137.08415959471648,"[-142.02705714263578, -133.84954824982464]",1.0,0.9995571374893188,0.03281676024198532,0.5,,libra_native_text48_m2048_oracle,2048,TEXT_PREFILL,,,,,,,,,,,,,,,,,
libra_oracle,80,20,1,['NATIVE_SUPPLEMENT_PREFILL_HARNESS'],303.3484041225165,319.2613644525409,308.158545155311,0.023911219128259636,-138.34453951874346,"[-143.4864070142753, -136.36835767269065]",1.0,0.9995700120925903,0.029387686401605606,0.46875,,libra_native_text48_m2048_oracle,2048,TEXT_PREFILL,-0.7446483540125559,0.9879878362019856,0.979736328125,,,,,,,,,,,,,,
vanilla,80,20,1,['NATIVE_SUPPLEMENT_PREFILL_HARNESS'],127.68643931485713,139.96996143832803,129.71298901829869,0.03852043267141558,0.0,"[0.0, 0.0]",1.0,0.9999998807907104,0.0,0.0,,libra_native_text48_m2048_oracle,2048,TEXT_PREFILL,,,,,,,,,,,,,,,,,
libra,80,20,1,['NATIVE_SUPPLEMENT_PREFILL_HARNESS'],398.1207439210266,406.8334490526469,402.09904388175346,0.02609574421625201,-5.399996763129645,"[-6.07399339603687, -5.212302261796875]",1.0,0.999525785446167,0.03117069974541664,0.6875,,libra_native_text48_m8192_nohooks_20260908,8192,TEXT_PREFILL,,,,398.13432679511607,-5.400943200150388,"[-6.044754948462872, -5.21369198864472]",0.0012288036232348531,0.025338273495435715,,,,,,,,,
vanilla,80,20,1,['NATIVE_SUPPLEMENT_PREFILL_HARNESS'],377.62593384832144,378.2443140167743,377.7193700312637,0.0019140156653012785,0.0,"[0.0, 0.0]",1.0,0.9999999403953552,0.0,0.0,,libra_native_text48_m8192_nohooks_20260908,8192,TEXT_PREFILL,,,,377.64479289762676,0.0,"[0.0, 0.0]",0.0,0.0,,,,,,,,,
libra,40,10,1,['VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E'],186.40210619196296,195.77853665687144,188.05473109241575,0.022713459088625588,-114.5658947639148,"[-118.67716839870948, -111.68983265686268]",1.0,0.988952100276947,0.14826099574565887,1.578125,,libra_native_vl48_chartqa_0_frozen_control_20260908,465,VL_POST_VISION_PREFILL,,,,186.47747370414436,-114.22393837364766,"[-118.72307363423826, -111.36380518905108]",1.6861076346685877e-05,0.00020141679851803929,1.0,0.9904251098632812,0.1381007879972458,7.96771905697824e-06,5.2024799515493214e-05,,,,
libra_frozen,40,10,1,['VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E'],191.7331030126661,204.88939974457028,194.68438528710976,0.04816016016051216,-119.76093756558251,"[-127.64561690105837, -115.02068685840109]",1.0,0.9998779296875,0.01860944926738739,0.25,,libra_native_vl48_chartqa_0_frozen_control_20260908,465,VL_POST_VISION_PREFILL,,,,191.80711405351758,-119.45758821148686,"[-127.31902466068206, -114.68307590482249]",9.191829022370257e-07,3.7936422359052813e-06,1.0,0.9967309832572937,0.0833626538515091,1.0965163255605148e-05,0.00010688202746678144,,,,
libra_frozen_oracle,40,10,1,['VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E'],186.72470189630985,189.6864561829716,187.59791265474632,0.020153790005128177,-114.0855253631992,"[-114.97035419083718, -113.37416714739288]",1.0,0.999900221824646,0.014177663251757622,0.296875,,libra_native_vl48_chartqa_0_frozen_control_20260908,465,VL_POST_VISION_PREFILL,1.322359533080697,1.0,1.0,186.84826930984855,-113.81277923592856,"[-114.57398800902045, -112.8331799712607]",6.25569271051063e-07,2.061136365227867e-05,1.0,0.9966936111450195,0.08193526417016983,1.0914376616710797e-05,0.00018848264880944043,libra_frozen,True,1.4075907427037904,"[0.6224420412465737, 5.84471684417055]"
