run,base,fix,baseline_quality_delta_pp,fix_quality_delta_pp,observed_quality_recovery_pp,fraction_of_observed_quality_loss_recovered,e2e_reduction_vs_original_policy_median_percent,e2e_paired_cohort_ci95_percent,quality_loss_recovery_scope,timing_scope
ep_clean_renderer_chartqa_b16_run0_20260908,sere_s2_r05_official,sere_s4_r05_official,0.78125,0.26041666666666663,-0.5208333333333334,,-2.714110934717595,"[-5.393471947017873, -1.0089602819693289]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_chartqa_b16_run0_20260908,sere_s2_r05_official,sere_s2_r07_official,0.78125,1.0416666666666665,0.2604166666666665,,-6.300450626152521,"[-10.507145680161354, 0.1471726362104353]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_chartqa_b1_run0_20260908,sere_s2_r05_official,sere_s4_r05_official,-19.53125,0.0,19.53125,1.0,1.3093630496167297,"[0.8714909807278182, 1.7792704170512261]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_chartqa_b1_run0_20260908,sere_s2_r05_official,sere_s2_r07_official,-19.53125,-2.34375,17.1875,0.88,2.9177971094030752,"[2.1610918919055147, 3.4156383798790046]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_chartqa_b4_run0_20260908,sere_s2_r05_official,sere_s4_r05_official,-0.78125,1.5625,2.34375,3.0,-0.8112900993482608,"[-1.771351449394798, -0.06407042806436669]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_chartqa_b4_run0_20260908,sere_s2_r05_official,sere_s2_r07_official,-0.78125,2.34375,3.125,4.0,-0.3908703635229327,"[-1.2555366174845872, 0.5833442277598809]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_gqa_b16_run0_20260908,sere_s2_r05_official,sere_s4_r05_official,2.083333333333333,2.34375,0.26041666666666696,,-12.609468102474242,"[-17.96945058088707, 7.536863563804811]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_gqa_b16_run0_20260908,sere_s2_r05_official,sere_s2_r07_official,2.083333333333333,2.604166666666667,0.5208333333333339,,-4.044472342328131,"[-8.329821377382174, -2.653138710914238]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_gqa_b1_run0_20260908,sere_s2_r05_official,sere_s4_r05_official,-7.03125,-0.78125,6.25,0.8888888888888888,0.21316308412142604,"[-0.16757447812756343, 1.0334347619561521]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_gqa_b1_run0_20260908,sere_s2_r05_official,sere_s2_r07_official,-7.03125,-1.5625,5.46875,0.7777777777777778,0.7617338445002009,"[0.39986749311887726, 1.1141533036424955]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_gqa_b4_run0_20260908,sere_s2_r05_official,sere_s4_r05_official,4.6875,2.34375,-2.34375,,0.2922343983471132,"[-0.5692703391441567, 1.29806371815121]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
ep_clean_renderer_gqa_b4_run0_20260908,sere_s2_r05_official,sere_s2_r07_official,4.6875,1.5625,-3.125,,-0.40795779385083275,"[-1.3470031692739193, 0.9563255703357698]",Observed finite sample; not per-request perfect oracle,One engine per dataset/cohort cap; randomized within-cohort policies
