layer,region,modality,tokens,functional_k,pairwise_cosine,normalized_dispersion,participation_rank,router_effective_k,router_mass95_k
4,early,text,65,8.0,0.03362159848063262,0.9470411731252971,6.266995819734982,6.902436792041269,7.723076923076923
4,early,visual,1128,8.0,0.013650190283787726,0.9371162100470797,7.414027965349218,7.752706271246293,7.99113475177305
8,early,text,55,8.0,0.03431932186250462,0.9506130425469934,6.29786960785305,7.255299652136638,7.927272727272728
8,early,visual,1212,8.0,0.012158171098239573,0.9497812982490601,6.733577331373062,7.6910914863646385,7.9983498349834985
12,early,text,63,8.0,0.02142256837893298,0.9462442032358139,6.628579789655251,7.273293792879802,8.0
12,early,visual,1160,8.0,0.008965555735609407,0.9505090024449442,6.816247260480853,7.7401389215287,8.0
20,middle,text,63,8.0,0.0300163508326397,0.9384641053202254,6.847100722221699,7.196594757473234,8.0
20,middle,visual,1129,7.99822852081488,0.015136107569365806,0.9656142093491985,6.222763263552551,7.480345490249978,7.962798937112489
24,middle,text,67,8.0,0.022444410854597918,0.9534374842785158,6.214018676721994,6.987897743897134,7.835820895522388
24,middle,visual,1166,7.853344768439108,0.013407247974885109,0.9612631814762642,6.251771100061532,7.530818263354195,7.841337907375643
28,middle,text,55,8.0,0.013977479892073567,0.9493897510289147,6.733816570484784,7.2949982119961385,7.963636363636364
28,middle,visual,1153,8.0,0.010360846038700728,0.9667518156684939,6.117004331826911,7.591473436691516,7.986990459670425
36,late,text,61,8.0,0.023215087616358862,0.9658516677972542,5.798809076791312,7.234853278423526,7.868852459016393
36,late,visual,1207,8.0,0.011348929061942086,0.9674365310018326,6.035155736321849,7.58876215505762,7.980115990057995
40,late,text,50,8.0,0.019761592270128515,0.9650990484943773,5.8696114054516135,7.313680685570392,7.88
40,late,visual,1183,8.0,0.01357325065598141,0.9712151129072015,5.960765265103514,7.812252225978585,7.996618765849535
44,late,text,62,8.0,0.027743059723087694,0.9721774804132658,5.503017797136609,7.175210328464769,7.741935483870968
44,late,visual,1154,8.0,0.01581804589873854,0.9708238503654137,5.966607185437287,7.801872554750407,7.996533795493934
47,late,text,54,8.0,0.5266014886477484,0.7218015571793616,2.137988705357595,7.2823803163873,7.981481481481482
47,late,visual,1150,8.0,0.35508908018481466,0.8253516066803371,2.5529956305239887,7.911889099181222,7.997391304347826
