active_id,call_id,cuda_device,duration_ms,grid_thw,input_shape,output_dtype,output_path,output_shape,pid
warmup_0,0,0,137.9872283935547,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0000_warmup_0_pid1836931.pt,"[196, 8192]",1836931
independent_1,1,0,34.36073684692383,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0001_independent_1_pid1836931.pt,"[196, 8192]",1836931
independent_2,2,0,44.231422424316406,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0002_independent_2_pid1836931.pt,"[196, 8192]",1836931
independent_3,3,0,21.83011245727539,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0003_independent_3_pid1836931.pt,"[196, 8192]",1836931
independent_4,4,0,21.421663284301758,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0004_independent_4_pid1836931.pt,"[196, 8192]",1836931
single_control,5,0,20.168415069580078,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0005_single_control_pid1836931.pt,"[196, 8192]",1836931
multi_2,6,0,58.887550354003906,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0006_multi_2_pid1836931.pt,"[392, 8192]",1836931
multi_4,7,0,50.11423873901367,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0007_multi_4_pid1836931.pt,"[784, 8192]",1836931
prefix_1,8,0,29.6278076171875,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0008_prefix_1_pid1836931.pt,"[196, 8192]",1836931
prefix_2,9,0,26.504192352294922,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0009_prefix_2_pid1836931.pt,"[392, 8192]",1836931
prefix_3,10,0,43.73107147216797,"[[1, 28, 28], [1, 28, 28], [1, 28, 28]]","[2352, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0010_prefix_3_pid1836931.pt,"[588, 8192]",1836931
prefix_4,11,0,40.90991973876953,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0011_prefix_4_pid1836931.pt,"[784, 8192]",1836931
independent_1,12,0,28.003231048583984,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0012_independent_1_pid1836931.pt,"[196, 8192]",1836931
independent_2,13,0,21.292255401611328,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0013_independent_2_pid1836931.pt,"[196, 8192]",1836931
independent_3,14,0,33.987998962402344,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0014_independent_3_pid1836931.pt,"[196, 8192]",1836931
independent_4,15,0,27.654399871826172,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0015_independent_4_pid1836931.pt,"[196, 8192]",1836931
single_control,16,0,20.327392578125,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0016_single_control_pid1836931.pt,"[196, 8192]",1836931
multi_2,17,0,24.925983428955078,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0017_multi_2_pid1836931.pt,"[392, 8192]",1836931
multi_4,18,0,38.38246536254883,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836931.pt,"[784, 8192]",1836931
prefix_1,19,0,20.326112747192383,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0019_prefix_1_pid1836931.pt,"[196, 8192]",1836931
prefix_2,20,0,24.07097625732422,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0020_prefix_2_pid1836931.pt,"[392, 8192]",1836931
prefix_3,21,0,36.47110366821289,"[[1, 28, 28], [1, 28, 28], [1, 28, 28]]","[2352, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0021_prefix_3_pid1836931.pt,"[588, 8192]",1836931
prefix_4,22,0,20.201152801513672,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0022_prefix_4_pid1836931.pt,"[784, 8192]",1836931
independent_1,23,0,19.306175231933594,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0023_independent_1_pid1836931.pt,"[196, 8192]",1836931
independent_2,24,0,24.642976760864258,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0024_independent_2_pid1836931.pt,"[196, 8192]",1836931
independent_3,25,0,21.255359649658203,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0025_independent_3_pid1836931.pt,"[196, 8192]",1836931
independent_4,26,0,28.74630355834961,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0026_independent_4_pid1836931.pt,"[196, 8192]",1836931
single_control,27,0,19.53718376159668,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0027_single_control_pid1836931.pt,"[196, 8192]",1836931
multi_2,28,0,19.34227180480957,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0028_multi_2_pid1836931.pt,"[392, 8192]",1836931
multi_4,29,0,20.51763153076172,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836931.pt,"[784, 8192]",1836931
prefix_1,30,0,19.707807540893555,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0030_prefix_1_pid1836931.pt,"[196, 8192]",1836931
