scope,layer,samples,critical_rank_mode,t_layer_ms_median,t_layer_ms_p90,t_layer_ms_mean,t_layer_ms_stdev,t_attention_ms_median,t_attention_ms_p90,t_attention_ms_mean,t_attention_ms_stdev,t_norm_router_ms_median,t_norm_router_ms_p90,t_norm_router_ms_mean,t_norm_router_ms_stdev,t_dispatch_ms_median,t_dispatch_ms_p90,t_dispatch_ms_mean,t_dispatch_ms_stdev,t_expert_max_ms_median,t_expert_max_ms_p90,t_expert_max_ms_mean,t_expert_max_ms_stdev,t_combine_ms_median,t_combine_ms_p90,t_combine_ms_mean,t_combine_ms_stdev,t_moe_max_ms_median,t_moe_max_ms_p90,t_moe_max_ms_mean,t_moe_max_ms_stdev,expert_fraction_median,expert_fraction_p90,expert_fraction_mean,expert_fraction_stdev,exposed_nonexpert_fraction_median,exposed_nonexpert_fraction_p90,exposed_nonexpert_fraction_mean,exposed_nonexpert_fraction_stdev,t_optimistic_ms_median,t_optimistic_ms_p90,t_optimistic_ms_mean,t_optimistic_ms_stdev,oracle_speedup_median,oracle_speedup_p90,oracle_speedup_mean,oracle_speedup_stdev
layer,0,20,0,2.4443360567092896,3.0476671218872076,2.534561586380005,0.40350682351828815,1.3061280250549316,1.4336544156074527,1.2559440046548844,0.2665662542431898,0.24908799678087234,0.27067519947886476,0.2578495987690985,0.033857978451559106,0.0,0.0,0.0,0.0,0.4551040083169937,0.5812383770942687,0.5238544046878815,0.22189470572001918,0.7901760041713715,1.0650783538818365,0.7387936003506184,0.43131030469535475,1.0947840213775635,1.4375007510185245,1.1961456000804902,0.2680531224679383,0.1857734711789374,0.22646924645053595,0.20414683002562417,0.05405980676488606,0.6345547452477857,0.6492116397328263,0.5972970444312248,0.06527207167704074,2.366928042843938,2.8269727740436803,2.2525872037746013,0.6672632512969882,1.043764765062431,1.5886941904096956,1.1910371799965351,0.27806033961263005
layer,1,20,2,2.0271999835968018,2.1578911066055304,2.0944543838500977,0.25844678072485844,0.9359680116176605,1.024687969684601,0.9643248051404953,0.13397365616107346,0.2111679995432496,0.2361824056133628,0.21996960090473294,0.0312795948886295,0.0,0.0,0.0,0.0,0.44492800533771515,0.4650336027145386,0.4507424011826515,0.03606104572501166,0.786543995141983,0.8637728095054628,0.6847408019006253,0.299231612499262,1.0562880039215088,1.1036511778831484,1.086841595172882,0.13247577124474413,0.2177844898804522,0.22630630003497154,0.2161170194176044,0.010217779029836775,0.5669267061177004,0.5791336817161915,0.564821669117928,0.014518957675507477,1.9130400205031037,2.1046847786754372,1.8690352079458534,0.4293784708865927,1.0407255151946382,1.5118969912706324,1.1559648383234042,0.206542186828453
layer,2,20,1,1.9925280213356018,2.3473855495452893,2.1206831991672517,0.35154716370343997,0.9228799939155579,1.001465630531311,0.9473264038562774,0.12366943811100178,0.2071519996970892,0.23644479792565115,0.2189840001054108,0.032371001988749405,0.0,0.0,0.0,0.0,0.44648000597953796,0.4764415979385378,0.49768479615449907,0.21808280323000717,0.7897759974002838,0.864175993204117,0.7043824009597301,0.27791468884377174,1.0366560220718384,1.2646304368972785,1.137579208612442,0.2733470887388006,0.22216838650564436,0.2341367671989425,0.23016105807967618,0.05373908912613378,0.5638225954344904,0.5712073671352905,0.5540376755415858,0.0424007982279357,1.9030880080536008,2.074035190790892,1.8821200020611286,0.3950432061303901,1.0362285838550462,1.4785617864526586,1.1518797545612154,0.21325305930821475
layer,3,20,3,2.0036799907684326,2.4968671083450324,2.147999995946884,0.3541132993604911,0.9102720022201538,1.1410112380981448,0.9667248010635376,0.1483740665798114,0.2125120023265481,0.24755840301513682,0.22482240181416274,0.037380222152351594,0.0,0.0,0.0,0.0,0.4397120028734207,0.614307224750519,0.4867184028029442,0.10705698015169968,0.7793760001659393,0.9442399859428413,0.7577312007546425,0.32086260464973254,1.0366079807281494,1.4014399647712712,1.145659190416336,0.2298558492269267,0.21881997568853012,0.23503746747255713,0.22612697533277215,0.027813806279624365,0.5618614717321395,0.5779147996397587,0.5565911543445938,0.03133876452284921,1.8972000107169151,2.4523328268900517,1.9492784036323427,0.4668425230847826,1.0410718966553953,1.3631765566931628,1.1242797033491592,0.1511455180020956
layer,4,20,1,1.972432017326355,2.4635168075561538,2.1277935981750487,0.3548460456993473,0.9035199880599976,1.2540319561958313,0.9722431987524033,0.1726847193716702,0.21511999983340502,0.2700063981115819,0.2271599995903671,0.040430195366462814,0.0,0.0,0.0,0.0,0.45153599977493286,0.531177580356598,0.46657440066337585,0.049347485553116,0.7912960052490234,1.15049284696579,0.7850848034024238,0.28160958770801386,1.0402079820632935,1.3868128061294558,1.1226527899503709,0.1927929415455584,0.22436466045167697,0.2350278017285315,0.22104309636264366,0.013285399764587228,0.561436664265726,0.5764623112034172,0.5633116692835345,0.016195347525020748,1.8827040325850248,2.464937690645457,1.9844880017451942,0.46341054008562527,1.0345796746756926,1.2815662278243138,1.0896126271169413,0.11675188883067969
layer,5,20,3,1.9830079674720764,2.4786464929580694,2.136398380994797,0.3494677094866702,0.9014559984207153,1.1846560359001164,0.9700096040964127,0.17572353967229898,0.21385600324720144,0.253734407760203,0.2279760013334453,0.04008640292641054,0.0,0.0,0.0,0.0,0.4429599940776825,0.5559935927391053,0.47187039703130723,0.054242405962465615,0.7849120199680328,1.0125983893871313,0.8042272001504898,0.25328903185173074,1.0522080063819885,1.2616768002510077,1.1334783911705018,0.17914470291117937,0.22289572800350632,0.23119395334867024,0.22234964066823987,0.013725119165112862,0.5595705090930824,0.5768470879883583,0.5599160484003367,0.01642221450777646,1.8988160258159041,2.441657630726696,2.002212805580348,0.44657908990580336,1.0388985607420151,1.215701239477865,1.081151389491349,0.0985269681148665
layer,6,20,2,1.9875680208206177,2.641152095794678,2.173534393310547,0.3650105642085268,0.8986240029335022,1.4238111853599549,0.9967792004346847,0.19984686499928817,0.21087999921292067,0.2832223998382688,0.22612479934468865,0.03995087625607564,0.0,0.0,0.0,0.0,0.45923198759555817,0.5911680221557617,0.47901119887828825,0.06417478162461966,0.8028320074081421,1.1783168315887453,0.8343632034957409,0.26536153997636386,1.060479998588562,1.4250335574150088,1.1440496116876602,0.189550283874686,0.22680504655744788,0.24000354453845735,0.22197921434729967,0.01899413983348843,0.5598116328172984,0.571933684099438,0.5614503071146167,0.025053808799869296,1.8978400006890297,2.6442527996376164,2.0572672032751145,0.42517280624233117,1.0383627661026928,1.1626668026456397,1.0653945852338098,0.08725893778595806
layer,7,20,2,1.9911839962005615,2.2158144235610977,2.1002496123313903,0.33224590538124515,0.9048959910869598,0.9887839794158942,0.9482687920331955,0.15199725467876815,0.20796799939125776,0.24589759819209592,0.22495040018111467,0.04338884924446127,0.0,0.0,0.0,0.0,0.45841600000858307,0.5223583817481996,0.4713135987520218,0.04586451938246555,0.7842560112476349,0.9386304318904883,0.8167504042387008,0.2311260984274816,1.048687994480133,1.194784045219422,1.1194256067276,0.18291429158736508,0.22627519991295156,0.23990841718778752,0.22609130272126912,0.014369248723539167,0.5628021712734617,0.5679328083334673,0.5582606812221437,0.010168647770178252,1.897631986066699,2.172073610126974,1.989969596453011,0.4104152467943756,1.042290963697201,1.1291592013035674,1.0664907804361705,0.09817142034012497
layer,8,20,1,1.9920479655265808,2.1883072376251236,2.101075178384781,0.355724597977772,0.8908319771289825,0.991273611783982,0.9450832098722458,0.16412652716115966,0.20454399846494198,0.24051519744098204,0.22111999988555908,0.045086346097861156,0.0,0.0,0.0,0.0,0.4469760060310364,0.5741824030876159,0.4669440001249313,0.05819255450878437,0.8114239871501923,0.9947520196437842,0.850227202475071,0.23122202229253602,1.0600640177726746,1.2362464070320136,1.1230895936489105,0.19588662311363228,0.2228164469338329,0.23987554437464248,0.22379151830564062,0.017367784004986103,0.5573017436962857,0.5707633831231596,0.5546692398677691,0.01649693620520315,1.8987840050831437,2.1296576471999304,2.016430412232876,0.42406915792441047,1.0398019875277198,1.0503000370868985,1.0505288295855995,0.07744670160539927
layer,9,20,2,2.0077120065689087,3.0500383377075195,2.2028816103935243,0.3937727703182216,0.9045119881629944,1.3711456418037415,0.9821423977613449,0.18012971349463366,0.21182399988174438,0.33820159658789634,0.23605599906295538,0.05246586489833189,0.0,0.0,0.0,0.0,0.45612800121307373,0.5840576112270356,0.48956960141658784,0.0673387973282843,0.8233279883861542,1.4080127835273741,0.9160895988345146,0.24580602672359278,1.0697280168533325,1.645792043209076,1.1882432103157043,0.21976241724325288,0.21896785833160695,0.262841143318152,0.22431995723888187,0.02330828925189185,0.5597022878020514,0.5676384940764662,0.5525924372686726,0.018816003786470456,1.9255999904125929,3.1295679405331613,2.134287995658815,0.4662703561014815,1.0356858586828612,1.0616976573618127,1.0401567418579178,0.06014263731837534
layer,10,20,3,1.9898239970207214,3.101936101913452,2.2041375994682313,0.4249157827536583,0.9085280001163483,1.4085472345352172,0.9918288052082062,0.19414911603547663,0.21161599922925234,0.3374495904892683,0.23358719917014242,0.053725345291333645,0.0,0.0,0.0,0.0,0.4459199905395508,0.6005280196666718,0.4798624023795128,0.06616247489823382,0.8233279883861542,1.4215743899345399,0.9248512029647827,0.25315661182279103,1.0708640217781067,1.6563968420028687,1.179585614800453,0.23672685605568572,0.21986298963341783,0.2413625579611412,0.2197258664970932,0.015866788591590436,0.5617006687435284,0.5718243361837724,0.5556346224581583,0.02012750341107097,1.9225760325789452,3.1740063801407814,2.1502672073431315,0.49052620396940777,1.0324528547290992,1.0419274950081248,1.031814053045594,0.043933855720656896
layer,11,20,2,1.993183970451355,3.0869024991989136,2.1718591868877413,0.40925562772152363,0.9148319959640503,1.3850399613380433,0.9842895984649658,0.1847114774501914,0.2117119962349534,0.33746879920363426,0.23507839851081372,0.05072805507192738,0.0,0.0,0.0,0.0,0.4424480050802231,0.6039487838745118,0.4675344005227089,0.062003511966019165,0.8161280155181885,1.4277536511421203,0.9049696058034897,0.23580428131319495,1.0581440329551697,1.667846405506134,1.1552864074707032,0.22713588423930367,0.21889891765612732,0.2294910073665649,0.2170541444014253,0.012472732987921972,0.5623287555419016,0.5729351284576427,0.5612298550347021,0.01133518676574704,1.9291199743747711,3.1684096045792103,2.1243376027792693,0.4661526923098603,1.0326073655327153,1.040738749775005,1.0277839603064358,0.03482650868347656
