run_id,candidate,research_question,start_utc,end_utc,physical_gpus,elapsed_seconds,gpu_hours,kind,valid,artifact
fastpp_pp4_noib_smoke,FASTPP,Does official PP4 produce HF-consistent short-answer output?,2026-09-08T07:52:25.285730+00:00,2026-09-08T07:52:31.147968+00:00,"4,5,6,7",5.86223840713501,0.006513598230150011,correctness_diagnostic,PERFORMANCE_EXCLUDED_CORRECTNESS_PENDING,raw/fastpp_pp4_noib_smoke_requests.jsonl
fastpp_eos_fixed_smoke,FASTPP,Does one-line EOS endpoint correction restore greedy HF short answers?,2026-09-08T08:26:55.771261+00:00,2026-09-08T08:27:01.228259+00:00,"4,5,6,7",5.456997871398926,0.006063330968221029,correctness_diagnostic,SHORT_ANSWER_PASS_PERFORMANCE_NOT_ACCEPTED,raw/fastpp_eos_fixed_smoke_requests.jsonl
qwen15_hf_reference,NANOFLOW,Independent same-checkpoint FP16 HF greedy reference for official native smoke,2026-09-08T08:35:39.900688+00:00,2026-09-08T08:35:41.971720+00:00,"4,5,6,7",2.0710320472717285,0.0023011467191908093,correctness_diagnostic,REFERENCE_ONLY,raw/qwen15_hf_reference.jsonl
qwen3_hf_reference,COMMON_QWEN3,Independent BF16 HF reference for Layered/FastPP Qwen3 MoE native transfer,2026-09-08T08:39:50.717767+00:00,2026-09-08T08:40:05.017314+00:00,"4,5,6,7",14.299546718597412,0.015888385242886015,correctness_diagnostic,REFERENCE_ONLY,raw/qwen3_hf_reference.jsonl
dense_screen_v1:b0_alp:measure0_short_high_concurrency,FASTPP,Official PP/DC/ALP/BR independent-restart request-level comparison,2026-09-08T09:08:44.723211+00:00,2026-09-08T09:08:57.259031+00:00,"4,5,6,7",12.535820007324219,0.01392868889702691,measurement,CROSS_CONFIG_CORRECTNESS_PENDING,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_screen_v1/b0_alp/measure0_short_high_concurrency.jsonl
dense_screen_v1:b0_alp:measure1_fastpp_official_azure_conv_192,FASTPP,Official PP/DC/ALP/BR independent-restart request-level comparison,2026-09-08T09:08:57.954437+00:00,2026-09-08T09:10:21.352483+00:00,"4,5,6,7",83.39804601669312,0.09266449557410346,measurement,CROSS_CONFIG_CORRECTNESS_PENDING,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_screen_v1/b0_alp/measure1_fastpp_official_azure_conv_192.jsonl
dense_screen_v1:b0_alp:measure2_heterogeneous_steady,FASTPP,Official PP/DC/ALP/BR independent-restart request-level comparison,2026-09-08T09:10:22.069960+00:00,2026-09-08T09:10:55.277328+00:00,"4,5,6,7",33.20736813545227,0.03689707570605808,measurement,CROSS_CONFIG_CORRECTNESS_PENDING,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_screen_v1/b0_alp/measure2_heterogeneous_steady.jsonl
dense_screen_v1:b0_alp:measure3_heterogeneous_bursty,FASTPP,Official PP/DC/ALP/BR independent-restart request-level comparison,2026-09-08T09:10:55.907837+00:00,2026-09-08T09:11:27.772611+00:00,"4,5,6,7",31.864774703979492,0.03540530522664388,measurement,CROSS_CONFIG_CORRECTNESS_PENDING,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_screen_v1/b0_alp/measure3_heterogeneous_bursty.jsonl
dense_screen_v1:b0_alp_rebalance:measure0_short_high_concurrency,FASTPP,Official PP/DC/ALP/BR independent-restart request-level comparison,2026-09-08T09:12:35.270440+00:00,2026-09-08T09:12:47.818919+00:00,"4,5,6,7",12.548478841781616,0.01394275426864624,measurement,CROSS_CONFIG_CORRECTNESS_PENDING,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_screen_v1/b0_alp_rebalance/measure0_short_high_concurrency.jsonl
dense_screen_v1:b0_alp_rebalance:measure1_fastpp_official_azure_conv_192,FASTPP,Official PP/DC/ALP/BR independent-restart request-level comparison,2026-09-08T09:12:48.517336+00:00,2026-09-08T09:14:11.881767+00:00,"4,5,6,7",83.36443090438843,0.09262714544932048,measurement,CROSS_CONFIG_CORRECTNESS_PENDING,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/scheduling_overlap_successor_mining_20260908_161510/fastpp_runs/dense_screen_v1/b0_alp_rebalance/measure1_fastpp_official_azure_conv_192.jsonl
