experiment,start_utc,end_utc,physical_devices,resident_experiment_seconds,unadjusted_process_gpu_hours,clock_source,kind,status
online/ep_clean_renderer_chartqa_b16_run0_20260908,2026-09-08T04:23:40.798944+00:00,2026-09-08T04:29:10.017007+00:00,4;5;6;7,329.21809833683074,0.36579788704092303,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_chartqa_b16_run1_modes_cached_20260908,2026-09-08T05:45:46.891720+00:00,2026-09-08T05:48:23.251705+00:00,4;5;6;7,156.36002201819792,0.1737333577979977,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_chartqa_b1_run0_20260908,2026-09-08T03:34:47.911034+00:00,2026-09-08T03:55:40.871751+00:00,4;5;6;7,1252.9607392936014,1.3921785992151126,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_chartqa_b1_run1_modes_cached_20260908,2026-09-08T05:57:52.484694+00:00,2026-09-08T06:08:42.568294+00:00,4;5;6;7,650.0836383118294,0.7223151536798105,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_chartqa_b4_run0_20260908,2026-09-08T04:29:41.358983+00:00,2026-09-08T04:38:35.413607+00:00,4;5;6;7,534.0546587160788,0.5933940652400876,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_chartqa_b4_run1_modes_cached_20260908,2026-09-08T05:40:42.248663+00:00,2026-09-08T05:45:27.573044+00:00,4;5;6;7,285.32441491493955,0.3170271276832662,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b16_run0_20260908,2026-09-08T04:20:28.967325+00:00,2026-09-08T04:23:10.658326+00:00,4;5;6;7,161.69103313004598,0.17965670347782886,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b16_run1_modes_cached_20260908,2026-09-08T05:55:39.764134+00:00,2026-09-08T05:57:32.937733+00:00,4;5;6;7,113.17363312328234,0.1257484812480915,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b16_run2_modes_cached_20260908,2026-09-08T06:15:02.501260+00:00,2026-09-08T06:17:34.395195+00:00,4;5;6;7,151.89396571693942,0.16877107301882158,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b16_run3_modes_cached_20260908,2026-09-08T06:17:54.734850+00:00,2026-09-08T06:20:22.788894+00:00,4;5;6;7,148.0540836341679,0.16450453737129767,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b1_run0_20260908,2026-09-08T04:01:29.837752+00:00,2026-09-08T04:19:58.148572+00:00,4;5;6;7,1108.3108553430066,1.231456505936674,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b1_run1_modes_cached_20260908,2026-09-08T05:48:42.432837+00:00,2026-09-08T05:55:20.205777+00:00,4;5;6;7,397.7729742201045,0.4419699713556717,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b4_run0_20260908,2026-09-08T03:56:13.010060+00:00,2026-09-08T04:00:59.158307+00:00,4;5;6;7,286.14828098518774,0.31794253442798637,recorded_UTC,EP_serving,COMPLETE
online/ep_clean_renderer_gqa_b4_run1_modes_cached_20260908,2026-09-08T06:09:02.265357+00:00,2026-09-08T06:11:52.761145+00:00,4;5;6;7,170.49582212604582,0.18943980236227315,recorded_UTC,EP_serving,COMPLETE
online/ep_port_control_decision_20260908,2026-09-08T05:18:44.675999+00:00,2026-09-08T05:22:08.339938+00:00,4;5;6;7,203.6639701765962,0.226293300196218,recorded_UTC,EP_serving,COMPLETE
online/ep_port_control_fixed16_20260908,2026-09-08T05:06:22.845110+00:00,2026-09-08T05:09:35.199051+00:00,4;5;6;7,192.3539751651697,0.21372663907241077,recorded_UTC,EP_serving,COMPLETE
online/ep_port_control_fixed1_20260908,2026-09-08T04:54:24.003066+00:00,2026-09-08T05:05:56.352527+00:00,4;5;6;7,692.3494966016151,0.769277218446239,recorded_UTC,EP_serving,COMPLETE
online/ep_port_control_metadata_20260908,2026-09-08T04:40:04.227384+00:00,2026-09-08T04:51:53.922849+00:00,4;5;6;7,709.6954996068962,0.7885505551187736,recorded_UTC,EP_serving,COMPLETE
online/ep_port_control_phase_20260908,2026-09-08T05:10:03.191254+00:00,2026-09-08T05:18:16.836595+00:00,4;5;6;7,493.64538482995704,0.5484948720332856,recorded_UTC,EP_serving,COMPLETE
online/ep_port_control_scheduler1_20260908,2026-09-08T05:22:35.443027+00:00,2026-09-08T05:24:11.809733+00:00,4;5;6;7,96.36674036225304,0.10707415595805893,recorded_UTC,EP_serving,COMPLETE
online/ep_port_control_scheduler_20260908,2026-09-08T04:52:39.147560+00:00,2026-09-08T04:54:01.539135+00:00,4;5;6;7,82.39160597324371,0.09154622885915968,recorded_UTC,EP_serving,COMPLETE
online/ep_sanity,2026-09-07T06:22:02.170874+00:00,2026-09-07T06:23:27.976284+00:00,1;2;3;4,85.80544520076364,0.09533938355640405,recorded_UTC,EP_serving,PORT_FAILURE
online/ep_sanity_renderer_20260908,2026-09-08T03:32:28.397950+00:00,2026-09-08T03:33:40.266220+00:00,4;5;6;7,71.86830233223736,0.07985366925804152,recorded_UTC,EP_serving,COMPLETE
online/ep_sanity_resume_20260908,2026-09-08T03:25:34.026541+00:00,2026-09-08T03:26:46.042273+00:00,4;5;6;7,72.0157465855591,0.08001749620617678,recorded_UTC,EP_serving,COMPLETE
online/ep_sanity_v4,2026-09-07T06:30:23.515595+00:00,2026-09-07T06:33:38.765776+00:00,1;2;3;4,195.25021663680673,0.21694468515200746,recorded_UTC,EP_serving,PORT_FAILURE
online/ep_sanity_v5,2026-09-07T06:39:38.139903+00:00,2026-09-07T06:41:19.490684+00:00,1;2;3;4,101.35081095667556,0.11261201217408395,recorded_UTC,EP_serving,COMPLETE
online/ep_vanilla_v3,2026-09-07T06:27:55.546769+00:00,2026-09-07T06:29:28.192800+00:00,1;2;3;4,92.64603821793571,0.10294004246437301,recorded_UTC,EP_serving,COMPLETE
online/libra_native_dummy_sanity_v3,2026-09-07T07:16:50.184995+00:00,2026-09-07T07:17:05.933274+00:00,1,15.748279,0.004374521944444445,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_dummy_sanity_v3,2026-09-07T07:16:50.075151+00:00,2026-09-07T07:17:05.933861+00:00,2,15.85871,0.004405197222222222,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_dummy_sanity_v3,2026-09-07T07:16:47.776857+00:00,2026-09-07T07:17:05.938822+00:00,3,18.161965,0.005044990277777777,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_dummy_sanity_v3,2026-09-07T07:16:46.786745+00:00,2026-09-07T07:17:05.938858+00:00,4,19.152113,0.005320031388888889,recorded_UTC,native_supplement_functional,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.927193+00:00,2026-09-08T06:14:23.068092+00:00,4,18.140899,0.005039138611111112,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.546678+00:00,2026-09-08T06:14:23.068092+00:00,5,18.521414,0.005144837222222223,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.943878+00:00,2026-09-08T06:14:23.068221+00:00,6,18.124343,0.005034539722222222,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_profile_m2048_20260908,2026-09-08T06:14:04.982475+00:00,2026-09-08T06:14:23.068304+00:00,7,18.085829,0.005023841388888889,recorded_UTC,native_supplement_prefill,COMPLETE
