topology,submitted_batch,microbatch,phase,stage,observer_heavy_critical_sum_ms,share_percent
ep4,16,8,all,prepare_attn,590.1642883569002,8.21992398528216
ep4,16,8,all,attention,1964.1582072377205,27.3571808343618
ep4,16,8,all,prepare_mlp,803.1085758060217,11.18585379578488
ep4,16,8,all,mlp,3809.5964803397655,53.0608071358834
ep4,16,8,all,postprocess,12.653056177543476,0.17623424868773
ep4,16,8,all,block_critical_sum_ms,7179.680607917951,100.0
ep4,16,8,early,prepare_attn,112.2809282541275,7.977889807126309
ep4,16,8,early,attention,429.81017476320267,30.539275597024478
ep4,16,8,early,prepare_mlp,154.36838373541832,10.96832716200923
ep4,16,8,early,mlp,708.073951780796,50.31073442693953
ep4,16,8,early,postprocess,2.867904034908861,0.20377300690043
ep4,16,8,early,block_critical_sum_ms,1407.4013425684534,100.0
ep4,16,8,middle,prepare_attn,245.55584010481837,8.27174473850922
ep4,16,8,middle,attention,790.7490227818489,26.63701285167978
ep4,16,8,middle,prepare_mlp,340.42886382341385,11.467618371308049
ep4,16,8,middle,mlp,1586.514784574509,53.443018566650615
ep4,16,8,middle,postprocess,5.361472067888826,0.18060547185232
ep4,16,8,middle,block_critical_sum_ms,2968.6099833524786,100.0
ep4,16,8,late,prepare_attn,232.3275199979544,8.28655225100124
ep4,16,8,late,attention,743.5990096926689,26.52235106570816
ep4,16,8,late,prepare_mlp,308.3113282471895,10.996708143393539
ep4,16,8,late,mlp,1515.0077439844608,54.03660673220841
ep4,16,8,late,postprocess,4.423680074745789,0.15778180768863
ep4,16,8,late,block_critical_sum_ms,2803.6692819970194,100.0
