topology,submitted_batch,model_forward_microbatch,physical_m_decode,restarts,wall_seconds_median,mean_ms_per_forward_median,tokens_per_second_median
ep4,16,1,32,1,83.60814094543457,106.50718591775104,19.676254251150755
ep4,16,2,64,1,26.60393738746643,69.10113607134137,61.843984609666805
ep4,16,4,128,3,13.115255355834961,67.25771977351262,125.4693045438217
ep4,16,8,256,3,6.904222726821899,70.45125231450918,238.41473208366676
ep4,16,16,512,3,8.040002822875977,99.25929410957995,204.7251823576063
tp4,16,1,32,1,48.18386101722717,60.079627203525156,34.14358463814594
tp4,16,2,64,1,21.96307396888733,56.1715446774612,74.91396543820684
tp4,16,4,128,3,12.232791185379028,61.781773663530444,134.525917144516
tp4,16,8,256,3,7.6100921630859375,73.88438993287318,216.28644908107344
tp4,16,16,512,3,5.640796422958374,69.63946201183178,291.85706764704315
