task,topology,repeat,correct,total,accuracy,nfe,wall_seconds,ms_per_forward,tokens_per_second,source_log
gsm8k,ep4,1,5,32,0.15625,504,34.028486013412476,67.51683732819936,112.16787682520332,logs/quality_gsm8k_ep4_r1.log
gsm8k,tp4,1,5,32,0.15625,519,48.276779890060425,93.01884371880621,79.06361705427018,logs/quality_gsm8k_tp4_r1.log
gsm8k,ep4,2,5,32,0.15625,504,38.39609885215759,76.18273581777301,99.40560935334386,logs/quality_gsm8k_ep4_r2.log
gsm8k,tp4,2,5,32,0.15625,519,30.13356065750122,58.06081051541661,126.67128587824529,logs/quality_gsm8k_tp4_r2.log
gsm8k,ep4,3,5,32,0.15625,504,42.42845320701599,84.18343890280951,89.96139053378658,logs/quality_gsm8k_ep4_r3.log
gsm8k,tp4,3,5,32,0.15625,519,31.710939407348633,61.10007592938079,120.36840480923601,logs/quality_gsm8k_tp4_r3.log
gsm8k,ep4,4,5,32,0.15625,504,36.124215841293335,71.67503143113757,105.65898784317851,logs/quality_gsm8k_ep4_r4.log
gsm8k,tp4,4,5,32,0.15625,519,39.272910594940186,75.67034796712946,97.19202535500946,logs/quality_gsm8k_tp4_r4.log
gsm8k,ep4,5,5,32,0.15625,504,53.12371468544006,105.40419580444457,71.843038272094,logs/quality_gsm8k_ep4_r5.log
gsm8k,tp4,5,5,32,0.15625,519,34.395528078079224,66.27269379206017,110.97075681900209,logs/quality_gsm8k_tp4_r5.log
humaneval,ep4,1,4,32,0.125,410,28.667466640472412,69.92065034261564,133.25457357255596,logs/quality_humaneval_ep4_r1.log
humaneval,tp4,1,4,32,0.125,421,39.8165922164917,94.57622854273563,95.93545911504812,logs/quality_humaneval_tp4_r1.log
