request_id,iteration,selected_sequences,block_starts,physical_rows,live_positions_before,accepted_positions,live_to_physical_ratio,accepted_per_forward,phase
measured_0,0,16,"[32,32,32,32,32,32,32,64,64,64,64,64,64,64,64,64]",512,293,31,0.572265625,31,middle
measured_0,1,16,"[32,32,32,32,32,32,32,64,64,64,64,64,64,64,64,64]",512,262,40,0.51171875,40,middle
measured_0,2,16,"[32,32,32,32,32,64,64,64,64,64,64,64,64,64,64,64]",512,286,40,0.55859375,40,middle
measured_0,3,16,"[32,32,32,32,32,64,64,64,64,64,64,64,64,64,64,64]",512,246,37,0.48046875,37,middle
measured_0,4,16,"[32,32,32,64,64,64,64,64,64,64,64,64,64,64,64,64]",512,273,57,0.533203125,57,middle
measured_0,5,16,"[32,32,32,64,64,64,64,64,64,64,64,64,64,64,64,64]",512,216,35,0.421875,35,middle
measured_0,6,16,"[32,32,64,64,64,64,64,64,64,64,64,64,64,64,64,64]",512,213,41,0.416015625,41,middle
measured_0,7,16,"[32,32,64,64,64,64,64,64,64,64,64,64,64,64,64,64]",512,172,32,0.3359375,32,middle
measured_0,8,15,"[32,32,64,64,64,64,64,64,64,64,64,64,64,64,64]",480,140,35,0.2916666666666667,35,late
measured_0,9,14,"[32,64,64,64,64,64,64,64,64,64,64,64,64,64]",448,137,29,0.30580357142857145,29,late
measured_0,10,12,"[32,64,64,64,64,64,64,64,64,64,64,64]",384,108,20,0.28125,20,late
measured_0,11,10,"[64,64,64,64,64,64,64,64,64,64]",320,120,21,0.375,21,middle
measured_0,12,10,"[64,64,64,64,64,64,64,64,64,64]",320,99,16,0.309375,16,late
measured_0,13,9,"[64,64,64,64,64,64,64,64,64]",288,83,14,0.2881944444444444,14,late
measured_0,14,9,"[64,64,64,64,64,64,64,64,64]",288,69,7,0.23958333333333334,7,late
measured_0,15,6,"[64,64,64,64,64,64]",192,62,19,0.3229166666666667,19,late
measured_0,16,5,"[64,64,64,64,64]",160,43,3,0.26875,3,late
measured_0,17,3,"[64,64,64]",96,40,7,0.4166666666666667,7,middle
measured_0,18,2,"[64,64]",64,33,2,0.515625,2,middle
measured_0,19,2,"[64,64]",64,31,12,0.484375,12,middle
measured_0,20,2,"[64,64]",64,19,5,0.296875,5,late
measured_0,21,2,"[64,64]",64,14,6,0.21875,6,late
measured_0,22,2,"[64,64]",64,8,1,0.125,1,late
measured_0,23,1,[64],32,7,7,0.21875,7,late
measured_0,24,1,[64],32,0,0,0.0,0,late
measured_16,0,15,"[64,64,64,64,64,64,64,64,64,64,64,64,64,96,96]",480,200,21,0.4166666666666667,21,middle
measured_16,1,15,"[64,64,64,64,64,64,64,64,64,64,64,64,64,96,96]",480,179,46,0.3729166666666667,46,middle
measured_16,2,15,"[64,64,64,64,64,64,64,64,64,64,64,64,64,96,96]",480,133,16,0.27708333333333335,16,late
measured_16,3,15,"[64,64,64,64,64,64,64,64,64,64,64,96,64,96,96]",480,149,36,0.3104166666666667,36,late
measured_16,4,15,"[64,64,64,64,64,64,64,64,64,64,64,96,96,96,96]",480,145,20,0.3020833333333333,20,late
measured_16,5,14,"[64,64,64,64,64,64,64,64,64,64,64,96,96,96]",448,125,20,0.27901785714285715,20,late
measured_16,6,14,"[64,64,64,64,64,64,64,64,96,96,96,96,96,96]",448,201,31,0.4486607142857143,31,middle
measured_16,7,14,"[64,64,64,64,64,64,64,64,96,96,96,96,96,96]",448,170,22,0.3794642857142857,22,middle
measured_16,8,14,"[64,64,64,64,64,96,64,64,96,96,96,96,96,96]",448,180,26,0.4017857142857143,26,middle
measured_16,9,14,"[64,64,64,64,64,96,96,96,96,96,96,96,96,96]",448,218,33,0.48660714285714285,33,middle
measured_16,10,13,"[64,64,64,64,96,96,96,96,96,96,96,96,96]",416,217,27,0.5216346153846154,27,middle
measured_16,11,12,"[64,64,96,64,96,96,96,96,96,96,96,96]",384,222,36,0.578125,36,middle
measured_16,12,12,"[64,96,96,96,96,96,96,96,96,96,96,96]",384,250,18,0.6510416666666666,18,middle
measured_16,13,12,"[96,96,96,96,96,96,96,96,96,96,96,96]",384,264,35,0.6875,35,early
measured_16,14,12,"[96,96,96,96,96,96,96,96,96,96,96,96]",384,229,35,0.5963541666666666,35,middle
measured_16,15,12,"[96,96,96,96,96,96,96,96,96,96,96,96]",384,194,34,0.5052083333333334,34,middle
measured_16,16,12,"[96,96,96,96,96,96,96,96,96,96,96,96]",384,160,35,0.4166666666666667,35,middle
measured_16,17,12,"[96,96,96,96,96,96,96,96,96,96,96,96]",384,125,30,0.3255208333333333,30,late
measured_16,18,12,"[96,96,96,96,96,96,96,96,96,96,96,96]",384,95,23,0.24739583333333334,23,late
measured_16,19,12,"[96,96,96,96,96,96,96,96,96,96,96,96]",384,72,33,0.1875,33,late
measured_16,20,9,"[96,96,96,96,96,96,96,96,96]",288,39,13,0.13541666666666666,13,late
measured_16,21,7,"[96,96,96,96,96,96,96]",224,26,3,0.11607142857142858,3,late
measured_16,22,3,"[96,96,96]",96,23,4,0.23958333333333334,4,late
measured_16,23,3,"[96,96,96]",96,19,5,0.19791666666666666,5,late
measured_16,24,3,"[96,96,96]",96,14,7,0.14583333333333334,7,late
measured_16,25,2,"[96,96]",64,7,1,0.109375,1,late
measured_16,26,1,[96],32,6,3,0.1875,3,late
measured_16,27,1,[96],32,3,1,0.09375,1,late
measured_16,28,1,[96],32,2,1,0.0625,1,late
measured_16,29,1,[96],32,1,1,0.03125,1,late
measured_16,30,1,[96],32,0,0,0.0,0,late
measured_16,31,16,"[128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128]",512,512,94,1.0,94,early
