request_id,iteration,selected_sequences,block_starts,physical_rows,live_positions_before,accepted_positions,live_to_physical_ratio,accepted_per_forward,phase
measured_0,0,8,"[32,32,32,32,32,32,32,64]",256,107,19,0.41796875,19,middle
measured_0,1,8,"[32,32,32,32,32,32,32,64]",256,88,15,0.34375,15,middle
measured_0,2,8,"[32,32,32,32,32,64,64,64]",256,139,10,0.54296875,10,middle
measured_0,3,8,"[32,32,32,32,32,64,64,64]",256,129,36,0.50390625,36,middle
measured_0,4,8,"[32,32,32,32,32,64,64,64]",256,97,12,0.37890625,12,middle
measured_0,5,8,"[32,32,32,32,64,64,64,64]",256,120,21,0.46875,21,middle
measured_0,6,8,"[32,32,64,64,64,64,64,64]",256,177,29,0.69140625,29,early
measured_0,7,8,"[32,32,64,64,64,64,64,64]",256,166,19,0.6484375,19,middle
measured_0,8,8,"[32,32,64,64,64,64,64,64]",256,149,21,0.58203125,21,middle
measured_0,9,8,"[32,64,64,64,64,64,64,64]",256,169,18,0.66015625,18,middle
measured_0,10,8,"[32,64,64,64,64,64,64,64]",256,160,19,0.625,19,middle
measured_0,11,8,"[32,64,64,64,64,64,64,64]",256,147,29,0.57421875,29,middle
measured_0,12,8,"[32,64,64,64,64,64,64,64]",256,135,7,0.52734375,7,middle
measured_0,13,8,"[64,64,64,64,64,64,64,64]",256,160,27,0.625,27,middle
measured_0,14,8,"[64,64,64,64,64,64,64,64]",256,148,18,0.578125,18,middle
measured_0,15,8,"[64,64,64,64,64,64,64,64]",256,133,15,0.51953125,15,middle
measured_0,16,8,"[64,64,64,64,64,64,64,64]",256,122,13,0.4765625,13,middle
measured_0,17,8,"[64,64,64,64,64,64,64,64]",256,110,11,0.4296875,11,middle
measured_0,18,8,"[64,64,64,64,64,64,64,64]",256,105,33,0.41015625,33,middle
measured_0,19,8,"[64,64,64,64,64,64,64,64]",256,94,30,0.3671875,30,middle
measured_0,20,8,"[64,64,64,64,64,64,64,64]",256,81,11,0.31640625,11,late
measured_0,21,8,"[64,64,64,64,64,64,64,64]",256,70,30,0.2734375,30,late
measured_0,22,8,"[64,64,64,64,64,64,64,64]",256,53,21,0.20703125,21,late
measured_0,23,8,"[64,64,64,64,64,64,64,64]",256,43,21,0.16796875,21,late
measured_0,24,8,"[64,64,64,64,64,64,64,64]",256,27,12,0.10546875,12,late
measured_0,25,8,"[64,64,64,64,64,64,64,64]",256,18,9,0.0703125,9,late
measured_0,26,8,"[64,64,64,64,64,64,64,64]",256,11,10,0.04296875,10,late
measured_0,27,8,"[64,64,64,64,64,64,64,64]",256,1,1,0.00390625,1,late
measured_0,28,8,"[64,64,64,64,64,64,64,64]",256,0,0,0.0,0,late
measured_16,0,8,"[64,64,64,64,64,64,64,64]",256,130,12,0.5078125,12,middle
measured_16,1,8,"[64,64,64,64,64,64,64,64]",256,118,22,0.4609375,22,middle
measured_16,2,8,"[64,64,64,64,64,64,64,64]",256,102,14,0.3984375,14,middle
measured_16,3,8,"[64,64,64,64,64,64,64,64]",256,93,20,0.36328125,20,middle
measured_16,4,8,"[64,64,64,64,64,64,64,64]",256,77,12,0.30078125,12,late
measured_16,5,8,"[64,64,64,64,64,64,64,64]",256,69,22,0.26953125,22,late
measured_16,6,8,"[64,64,64,64,64,64,64,64]",256,60,19,0.234375,19,late
measured_16,7,8,"[64,64,64,64,64,64,64,64]",256,45,16,0.17578125,16,late
measured_16,8,8,"[64,64,64,64,64,64,64,64]",256,35,14,0.13671875,14,late
measured_16,9,8,"[64,64,64,64,64,64,64,64]",256,23,13,0.08984375,13,late
measured_16,10,8,"[64,64,64,64,64,64,64,64]",256,12,9,0.046875,9,late
measured_16,11,8,"[64,64,64,64,64,64,64,64]",256,5,5,0.01953125,5,late
measured_16,12,8,"[64,64,96,96,96,64,64,64]",256,96,6,0.375,6,middle
measured_16,13,8,"[96,96,96,96,96,64,64,64]",256,160,14,0.625,14,middle
measured_16,14,8,"[96,96,96,64,64,96,96,96]",256,189,19,0.73828125,19,early
measured_16,15,8,"[96,96,96,96,96,96,96,96]",256,242,16,0.9453125,16,early
measured_16,16,8,"[96,96,96,96,96,96,96,96]",256,232,15,0.90625,15,early
measured_16,17,8,"[96,96,96,96,96,96,96,96]",256,224,23,0.875,23,early
measured_16,18,8,"[96,96,96,96,96,96,96,96]",256,216,23,0.84375,23,early
measured_16,19,8,"[96,96,96,96,96,96,96,96]",256,202,25,0.7890625,25,early
measured_16,20,8,"[96,96,96,96,96,96,96,96]",256,189,20,0.73828125,20,early
measured_16,21,8,"[96,96,96,96,96,96,96,96]",256,180,26,0.703125,26,early
measured_16,22,8,"[96,96,96,96,96,96,96,96]",256,167,58,0.65234375,58,middle
measured_16,23,8,"[96,96,96,96,96,96,96,96]",256,130,25,0.5078125,25,middle
measured_16,24,8,"[96,96,96,96,96,96,96,96]",256,116,31,0.453125,31,middle
measured_16,25,8,"[96,96,96,96,96,96,96,96]",256,100,9,0.390625,9,middle
measured_16,26,8,"[96,96,96,96,96,96,96,96]",256,92,31,0.359375,31,middle
measured_16,27,8,"[96,96,96,96,96,96,96,96]",256,69,19,0.26953125,19,late
measured_16,28,8,"[96,96,96,96,96,96,96,96]",256,59,12,0.23046875,12,late
measured_16,29,8,"[96,96,96,96,96,96,96,96]",256,50,14,0.1953125,14,late
measured_16,30,8,"[96,96,96,96,96,96,96,96]",256,38,12,0.1484375,12,late
measured_16,31,8,"[96,96,96,96,96,96,96,96]",256,29,13,0.11328125,13,late
measured_16,32,8,"[96,96,96,96,96,96,96,96]",256,23,13,0.08984375,13,late
measured_16,33,8,"[96,96,96,96,96,96,96,96]",256,13,8,0.05078125,8,late
measured_16,34,8,"[96,96,96,96,96,96,96,96]",256,6,6,0.0234375,6,late
measured_16,35,8,"[96,96,96,96,96,96,96,96]",256,0,0,0.0,0,late
measured_16,36,5,"[96,96,96,96,96]",160,0,0,0.0,0,late
measured_16,37,8,"[128,128,128,128,128,128,128,128]",256,256,54,1.0,54,early
measured_16,38,8,"[128,128,128,128,128,128,128,128]",256,256,25,1.0,25,early
measured_16,39,8,"[128,128,128,128,128,128,128,128]",256,245,30,0.95703125,30,early
measured_16,40,8,"[128,128,128,128,128,128,128,128]",256,228,14,0.890625,14,early
measured_16,41,8,"[128,128,128,128,128,128,128,128]",256,218,16,0.8515625,16,early
measured_16,42,8,"[128,128,128,128,128,128,128,128]",256,205,11,0.80078125,11,early
