phase,stage,logical_invocations,median_critical_ms,p95_critical_ms,mean_critical_ms,sum_critical_ms
all,router,13578,0.16687999665737152,0.26550400257110596,0.1861307502854964,2527.28332737647
all,dispatch,13578,0.29446399211883545,0.744196805357933,0.39199031842358073,5322.444543555379
all,expert,13578,0.5020640194416046,0.7407776087522506,0.5615194979788962,7624.311743557453
all,combine,13578,0.09276799857616425,0.3935504004359245,0.17160459088883434,2330.0471350885928
all,shared,13578,0.20454399287700653,0.3225696101784706,0.22700270211236573,3082.242689281702
all,gather,13578,0.11134399846196175,0.42512479722499846,0.18670139339582253,2535.0315195284784
early,router,3937,0.16889600455760956,0.2674559891223907,0.1877647507476843,739.2298236936331
early,dispatch,3937,0.30291199684143066,0.7483519792556762,0.40245146648605856,1584.4514235556126
early,expert,3937,0.49638399481773376,0.7435903787612915,0.5764282897610576,2269.3981767892838
early,combine,3937,0.09427200257778168,0.39738879799842836,0.1917956288594536,755.0993908196688
early,shared,3937,0.20713600516319275,0.3267263948917389,0.22961281805829345,903.9856646955013
early,gather,3937,0.11369600147008896,0.4300032019615173,0.19409398013072507,764.1479997746646
middle,router,4216,0.16470400243997574,0.2614400088787079,0.1836341632568972,774.2016322910786
middle,dispatch,4216,0.2868320047855377,0.7324879914522171,0.3767971687860066,1588.5768636018038
middle,expert,4216,0.49747198820114136,0.7344399839639664,0.5482439999477461,2311.3967037796974
middle,combine,4216,0.09071999788284302,0.3874399960041046,0.15754925995266358,664.2276799604297
middle,shared,4216,0.20174399763345718,0.3189520090818405,0.2238073625108775,943.5718403458595
middle,gather,4216,0.10867200046777725,0.4171919971704483,0.176148941144842,742.6439358666539
late,router,5425,0.16771200299263,0.26627200841903687,0.18688513758373426,1013.8518713917583
late,dispatch,5425,0.296640008687973,0.7483519911766052,0.3962057615480115,2149.4162563979626
late,expert,5425,0.5112640261650085,0.7425152182579041,0.5610169332697644,3043.516862988472
late,combine,5425,0.0939520001411438,0.39407359361648564,0.16787466623198052,910.7200643084943
late,shared,5425,0.2051520049571991,0.32319999337196353,0.22759173903047764,1234.6851842403412
late,gather,5425,0.11155200004577637,0.426585602760315,0.18953725048611242,1028.2395838871598
