request_id,layer,iteration,q_len,batch,physical_rows,live_positions,live_ratio,phase,prepare_attn_critical_ms,attention_critical_ms,prepare_mlp_critical_ms,mlp_critical_ms,postprocess_critical_ms,block_critical_sum_ms
measured_0,0,0,32,16,512,293,0.572265625,middle,0.12720000743865967,0.6092479825019836,0.3118399977684021,0.2834239900112152,0.003456000005826354,1.335167977726087
measured_0,0,1,32,16,512,260,0.5078125,middle,0.12223999947309494,0.6422079801559448,0.44841599464416504,0.2779519855976105,0.005152000114321709,1.495967959985137
measured_0,0,2,32,16,512,292,0.5703125,middle,0.12675200402736664,0.6443520188331604,0.42928001284599304,0.317440003156662,0.005504000000655651,1.5233280388638377
measured_0,0,3,32,16,512,258,0.50390625,middle,0.14793600142002106,0.8036800026893616,0.5911679863929749,0.3450559973716736,0.008671999908983707,1.8965119877830148
measured_0,0,4,32,16,512,204,0.3984375,middle,0.16230399906635284,0.7800959944725037,0.7064639925956726,0.40646401047706604,0.014175999909639359,2.0695039965212345
measured_0,0,5,32,16,512,193,0.376953125,middle,0.14361600577831268,0.7933440208435059,0.7530239820480347,0.3500480055809021,0.01196799986064434,2.0520000141113997
measured_0,0,6,32,16,512,215,0.419921875,middle,0.12422399967908859,0.6293439865112305,0.4312320053577423,0.271232008934021,0.012896000407636166,1.4689280008897185
measured_0,0,7,32,15,480,178,0.37083333333333335,middle,0.13126400113105774,0.6100159883499146,0.4121919870376587,0.29334399104118347,0.004991999827325344,1.4518079673871398
measured_0,0,8,32,15,480,150,0.3125,late,0.14684799313545227,0.6327999830245972,0.4127039909362793,0.29180800914764404,0.0050559998489916325,1.4892159760929644
measured_0,0,9,32,13,416,153,0.36778846153846156,middle,0.1287039965391159,0.6494399905204773,0.38393598794937134,0.2685439884662628,0.00902399979531765,1.439647963270545
measured_0,0,10,32,13,416,122,0.2932692307692308,late,0.14643199741840363,0.6083199977874756,0.3606080114841461,0.3016960024833679,0.008767999708652496,1.4258240088820457
measured_0,0,11,32,12,384,87,0.2265625,late,0.14803199470043182,0.6517760157585144,0.365664005279541,0.28940799832344055,0.009375999681651592,1.4642560137435794
measured_0,0,12,32,10,320,73,0.228125,late,0.1279360055923462,4.691808223724365,0.505952000617981,3.7723519802093506,0.013151999562978745,9.111200209707022
measured_0,0,13,32,9,288,92,0.3194444444444444,late,0.17078399658203125,0.7781760096549988,2.0971519947052,0.36662399768829346,0.014112000353634357,3.426847998984158
measured_0,0,14,32,9,288,75,0.2604166666666667,late,0.13436800241470337,0.606112003326416,0.2691839933395386,0.30774399638175964,0.010688000358641148,1.3280959958210588
measured_0,0,15,32,6,192,67,0.3489583333333333,middle,0.12297599762678146,6.643680095672607,0.477728009223938,4.934112071990967,0.013151999562978745,12.191648174077272
measured_0,0,16,32,4,128,61,0.4765625,middle,0.12214399874210358,5.966464042663574,0.37113600969314575,7.047872066497803,0.012640000320971012,13.520256117917597
measured_0,0,17,32,4,128,56,0.4375,middle,0.12303999811410904,0.6533120274543762,0.3028160035610199,0.2831360101699829,0.010304000228643417,1.3726080395281315
measured_0,0,18,32,3,96,52,0.5416666666666666,middle,0.13471999764442444,9.039392471313477,0.36723199486732483,6.215775966644287,0.012799999676644802,15.769920430146158
measured_0,0,19,32,3,96,37,0.3854166666666667,middle,0.13184000551700592,0.6246079802513123,0.3081600069999695,0.30182400345802307,0.010208000428974628,1.3766399966552854
measured_0,0,20,32,2,64,29,0.453125,middle,0.12144000083208084,5.2518720626831055,0.3198400139808655,2.713376045227051,0.012896000407636166,8.419424123130739
measured_0,0,21,32,2,64,27,0.421875,middle,0.12620800733566284,0.6241599917411804,0.356224000453949,0.33535999059677124,0.01017600018531084,1.4521279903128743
measured_0,0,22,32,2,64,12,0.1875,late,0.1435520052909851,0.7180479764938354,0.4748159945011139,0.3052479922771454,0.010495999827980995,1.6521599683910608
measured_0,0,23,32,2,64,9,0.140625,late,0.15884800255298615,0.6250240206718445,0.23747199773788452,0.3067519962787628,0.010784000158309937,1.338880017399788
measured_0,0,24,32,2,64,0,0.0,late,0.1281599998474121,0.6763839721679688,0.74099200963974,0.8201280236244202,0.010816000401973724,2.3764800056815147
measured_16,0,0,32,15,480,200,0.4166666666666667,middle,0.127360001206398,0.6233919858932495,0.2543039917945862,0.29449599981307983,0.0050559998489916325,1.3046079785563052
measured_16,0,1,32,15,480,178,0.37083333333333335,middle,0.14905600249767303,0.6537280082702637,0.6138240098953247,0.3123520016670227,0.0066559999249875546,1.7356160222552717
measured_16,0,2,32,15,480,128,0.26666666666666666,late,0.13715200126171112,0.9035199880599976,0.7303360104560852,0.5248960256576538,0.019807999953627586,2.3157120253890753
measured_16,0,3,32,15,480,171,0.35625,middle,0.1361600011587143,0.6685439944267273,0.42105600237846375,0.2941119968891144,0.0055680000223219395,1.5254399948753417
