request_id,iteration,selected_sequences,block_starts,physical_rows,live_positions_before,accepted_positions,live_to_physical_ratio,accepted_per_forward,phase
measured_0,0,8,"[32,32,32,32,32,32,32,64]",256,107,19,0.41796875,19,middle
measured_0,1,8,"[32,32,32,32,32,32,32,64]",256,88,17,0.34375,17,middle
measured_0,2,8,"[32,32,32,32,32,64,64,64]",256,138,9,0.5390625,9,middle
measured_0,3,8,"[32,32,32,32,32,64,64,64]",256,129,37,0.50390625,37,middle
measured_0,4,8,"[32,32,32,32,32,64,64,64]",256,97,9,0.37890625,9,middle
measured_0,5,8,"[32,32,32,32,64,64,64,64]",256,120,24,0.46875,24,middle
measured_0,6,8,"[32,32,64,64,64,64,64,64]",256,175,16,0.68359375,16,early
measured_0,7,8,"[32,32,64,64,64,64,64,64]",256,162,19,0.6328125,19,middle
measured_0,8,8,"[32,32,64,64,64,64,64,64]",256,145,42,0.56640625,42,middle
measured_0,9,8,"[32,64,64,64,64,64,64,64]",256,162,25,0.6328125,25,middle
measured_0,10,8,"[32,64,64,64,64,64,64,64]",256,151,20,0.58984375,20,middle
measured_0,11,8,"[32,64,64,64,64,64,64,64]",256,134,10,0.5234375,10,middle
measured_0,12,8,"[64,64,64,64,64,64,64,64]",256,160,17,0.625,17,middle
measured_0,13,8,"[64,64,64,64,64,64,64,64]",256,150,25,0.5859375,25,middle
measured_0,14,8,"[64,64,64,64,64,64,64,64]",256,141,22,0.55078125,22,middle
measured_0,15,8,"[64,64,64,64,64,64,64,64]",256,124,12,0.484375,12,middle
measured_0,16,8,"[64,64,64,64,64,64,64,64]",256,115,10,0.44921875,10,middle
measured_0,17,8,"[64,64,64,64,64,64,64,64]",256,108,13,0.421875,13,middle
measured_0,18,8,"[64,64,64,64,64,64,64,64]",256,100,21,0.390625,21,middle
measured_0,19,8,"[64,64,64,64,64,64,64,64]",256,92,26,0.359375,26,middle
measured_0,20,8,"[64,64,64,64,64,64,64,64]",256,82,21,0.3203125,21,late
measured_0,21,8,"[64,64,64,64,64,64,64,64]",256,69,22,0.26953125,22,late
measured_0,22,8,"[64,64,64,64,64,64,64,64]",256,54,9,0.2109375,9,late
measured_0,23,8,"[64,64,64,64,64,64,64,64]",256,48,31,0.1875,31,late
measured_0,24,8,"[64,64,64,64,64,64,64,64]",256,35,15,0.13671875,15,late
measured_0,25,8,"[64,64,64,64,64,64,64,64]",256,22,11,0.0859375,11,late
measured_0,26,8,"[64,64,64,64,64,64,64,64]",256,14,9,0.0546875,9,late
measured_0,27,8,"[64,64,64,64,64,64,64,64]",256,6,4,0.0234375,4,late
measured_0,28,8,"[64,64,64,64,64,64,64,64]",256,2,2,0.0078125,2,late
measured_0,29,5,"[64,64,64,64,64]",160,0,0,0.0,0,late
measured_16,0,8,"[64,64,64,64,64,64,64,64]",256,130,14,0.5078125,14,middle
measured_16,1,8,"[64,64,64,64,64,64,64,64]",256,116,23,0.453125,23,middle
measured_16,2,8,"[64,64,64,64,64,64,64,64]",256,101,13,0.39453125,13,middle
measured_16,3,8,"[64,64,64,64,64,64,64,64]",256,93,20,0.36328125,20,middle
measured_16,4,8,"[64,64,64,64,64,64,64,64]",256,77,12,0.30078125,12,late
measured_16,5,8,"[64,64,64,64,64,64,64,64]",256,68,22,0.265625,22,late
measured_16,6,8,"[64,64,64,64,64,64,64,64]",256,59,19,0.23046875,19,late
measured_16,7,8,"[64,64,64,64,64,64,64,64]",256,43,12,0.16796875,12,late
measured_16,8,8,"[64,64,64,64,64,64,64,64]",256,36,14,0.140625,14,late
measured_16,9,8,"[64,64,64,64,64,64,64,64]",256,25,15,0.09765625,15,late
measured_16,10,8,"[64,64,64,64,64,64,64,64]",256,12,8,0.046875,8,late
measured_16,11,8,"[64,64,64,64,64,64,64,64]",256,6,6,0.0234375,6,late
