backend,e2e_ms,iteration,output_tokens,prompt_tokens,request_id,restart,ttft_ms,workload_id
agrs,213.27853202819824,1,1,512,dp0-r0,1,213.27853202819824,text512_c2
agrs,214.06865119934082,1,1,512,dp1-r0,1,214.06865119934082,text512_c2
agrs,204.91886138916016,2,1,512,dp0-r0,1,204.91886138916016,text512_c2
agrs,205.33013343811035,2,1,512,dp1-r0,1,205.33013343811035,text512_c2
agrs,210.61277389526367,3,1,512,dp0-r0,1,210.61277389526367,text512_c2
agrs,210.98566055297852,3,1,512,dp1-r0,1,210.98566055297852,text512_c2
agrs,218.71519088745117,1,1,2048,dp0-r0,1,218.71519088745117,text2048_c2
agrs,218.93811225891113,1,1,2048,dp1-r0,1,218.93811225891113,text2048_c2
agrs,207.383394241333,2,1,2048,dp0-r0,1,207.383394241333,text2048_c2
agrs,207.66687393188477,2,1,2048,dp1-r0,1,207.66687393188477,text2048_c2
agrs,205.84964752197266,3,1,2048,dp0-r0,1,205.84964752197266,text2048_c2
agrs,206.1772346496582,3,1,2048,dp1-r0,1,206.1772346496582,text2048_c2
agrs,236.89699172973633,1,1,8192,dp0-r0,1,236.89699172973633,text8192_c2
agrs,237.0462417602539,1,1,8192,dp1-r0,1,237.0462417602539,text8192_c2
agrs,236.8464469909668,2,1,8192,dp0-r0,1,236.8464469909668,text8192_c2
agrs,236.79637908935547,2,1,8192,dp1-r0,1,236.79637908935547,text8192_c2
agrs,235.8415126800537,3,1,8192,dp0-r0,1,235.8415126800537,text8192_c2
agrs,235.76807975769043,3,1,8192,dp1-r0,1,235.76807975769043,text8192_c2
agrs,206.90345764160156,1,1,216,dp0-r0,1,206.90345764160156,image448_c2
agrs,207.4604034423828,1,1,216,dp1-r0,1,207.4604034423828,image448_c2
agrs,208.26125144958496,2,1,216,dp0-r0,1,208.26125144958496,image448_c2
agrs,207.4873447418213,2,1,216,dp1-r0,1,207.4873447418213,image448_c2
agrs,202.1327018737793,3,1,216,dp0-r0,1,202.1327018737793,image448_c2
agrs,202.69060134887695,3,1,216,dp1-r0,1,202.69060134887695,image448_c2
agrs,210.20746231079102,1,1,1077,dp0-r0,1,210.20746231079102,image1024_c2
agrs,210.65449714660645,1,1,1077,dp1-r0,1,210.65449714660645,image1024_c2
agrs,208.9245319366455,2,1,1077,dp0-r0,1,208.9245319366455,image1024_c2
agrs,209.49983596801758,2,1,1077,dp1-r0,1,209.49983596801758,image1024_c2
agrs,206.75349235534668,3,1,1077,dp0-r0,1,206.75349235534668,image1024_c2
agrs,207.32378959655762,3,1,1077,dp1-r0,1,207.32378959655762,image1024_c2
deepep_ht,103.81531715393066,1,1,512,dp0-r0,1,103.81531715393066,text512_c2
deepep_ht,103.77883911132812,1,1,512,dp1-r0,1,103.77883911132812,text512_c2
deepep_ht,98.84977340698242,2,1,512,dp0-r0,1,98.84977340698242,text512_c2
deepep_ht,98.74534606933594,2,1,512,dp1-r0,1,98.74534606933594,text512_c2
deepep_ht,98.71363639831543,3,1,512,dp0-r0,1,98.71363639831543,text512_c2
deepep_ht,98.35624694824219,3,1,512,dp1-r0,1,98.35624694824219,text512_c2
deepep_ht,103.99699211120605,1,1,2048,dp0-r0,1,103.99699211120605,text2048_c2
deepep_ht,103.84821891784668,1,1,2048,dp1-r0,1,103.84821891784668,text2048_c2
deepep_ht,101.46141052246094,2,1,2048,dp0-r0,1,101.46141052246094,text2048_c2
deepep_ht,101.23109817504883,2,1,2048,dp1-r0,1,101.23109817504883,text2048_c2
deepep_ht,102.16951370239258,3,1,2048,dp0-r0,1,102.16951370239258,text2048_c2
deepep_ht,101.91106796264648,3,1,2048,dp1-r0,1,101.91106796264648,text2048_c2
deepep_ht,184.4308376312256,1,1,8192,dp0-r0,1,184.4308376312256,text8192_c2
deepep_ht,184.54551696777344,1,1,8192,dp1-r0,1,184.54551696777344,text8192_c2
deepep_ht,183.98213386535645,2,1,8192,dp0-r0,1,183.98213386535645,text8192_c2
deepep_ht,184.01646614074707,2,1,8192,dp1-r0,1,184.01646614074707,text8192_c2
deepep_ht,183.7172508239746,3,1,8192,dp0-r0,1,183.7172508239746,text8192_c2
deepep_ht,183.68959426879883,3,1,8192,dp1-r0,1,183.68959426879883,text8192_c2
deepep_ht,135.07676124572754,1,1,216,dp0-r0,1,135.07676124572754,image448_c2
deepep_ht,134.9339485168457,1,1,216,dp1-r0,1,134.9339485168457,image448_c2
deepep_ht,123.03924560546875,2,1,216,dp0-r0,1,123.03924560546875,image448_c2
deepep_ht,122.81441688537598,2,1,216,dp1-r0,1,122.81441688537598,image448_c2
deepep_ht,109.67087745666504,3,1,216,dp0-r0,1,109.67087745666504,image448_c2
deepep_ht,109.4062328338623,3,1,216,dp1-r0,1,109.4062328338623,image448_c2
deepep_ht,150.6500244140625,1,1,1077,dp0-r0,1,150.6500244140625,image1024_c2
deepep_ht,150.23159980773926,1,1,1077,dp1-r0,1,150.23159980773926,image1024_c2
deepep_ht,128.73172760009766,2,1,1077,dp0-r0,1,128.73172760009766,image1024_c2
deepep_ht,128.30471992492676,2,1,1077,dp1-r0,1,128.30471992492676,image1024_c2
deepep_ht,127.82859802246094,3,1,1077,dp0-r0,1,127.82859802246094,image1024_c2
deepep_ht,127.52628326416016,3,1,1077,dp1-r0,1,127.52628326416016,image1024_c2
agrs,139.28508758544922,1,1,512,dp0-r0,2,139.28508758544922,text512_c2
agrs,139.5275592803955,1,1,512,dp1-r0,2,139.5275592803955,text512_c2
agrs,142.41790771484375,2,1,512,dp0-r0,2,142.41790771484375,text512_c2
agrs,142.9147720336914,2,1,512,dp1-r0,2,142.9147720336914,text512_c2
agrs,135.56289672851562,3,1,512,dp0-r0,2,135.56289672851562,text512_c2
agrs,136.11698150634766,3,1,512,dp1-r0,2,136.11698150634766,text512_c2
agrs,148.67162704467773,1,1,2048,dp0-r0,2,148.67162704467773,text2048_c2
agrs,148.73147010803223,1,1,2048,dp1-r0,2,148.73147010803223,text2048_c2
agrs,155.6987762451172,2,1,2048,dp0-r0,2,155.6987762451172,text2048_c2
agrs,155.95316886901855,2,1,2048,dp1-r0,2,155.95316886901855,text2048_c2
agrs,145.87998390197754,3,1,2048,dp0-r0,2,145.87998390197754,text2048_c2
agrs,146.06976509094238,3,1,2048,dp1-r0,2,146.06976509094238,text2048_c2
agrs,212.37850189208984,1,1,8192,dp0-r0,2,212.37850189208984,text8192_c2
agrs,212.41426467895508,1,1,8192,dp1-r0,2,212.41426467895508,text8192_c2
agrs,194.3366527557373,2,1,8192,dp0-r0,2,194.3366527557373,text8192_c2
agrs,194.31042671203613,2,1,8192,dp1-r0,2,194.31042671203613,text8192_c2
agrs,209.7940444946289,3,1,8192,dp0-r0,2,209.7940444946289,text8192_c2
agrs,209.78140830993652,3,1,8192,dp1-r0,2,209.78140830993652,text8192_c2
agrs,148.0884552001953,1,1,216,dp0-r0,2,148.0884552001953,image448_c2
agrs,148.29564094543457,1,1,216,dp1-r0,2,148.29564094543457,image448_c2
agrs,119.78793144226074,2,1,216,dp0-r0,2,119.78793144226074,image448_c2
agrs,120.32723426818848,2,1,216,dp1-r0,2,120.32723426818848,image448_c2
agrs,137.66741752624512,3,1,216,dp0-r0,2,137.66741752624512,image448_c2
agrs,137.87388801574707,3,1,216,dp1-r0,2,137.87388801574707,image448_c2
agrs,146.8198299407959,1,1,1077,dp0-r0,2,146.8198299407959,image1024_c2
agrs,147.216796875,1,1,1077,dp1-r0,2,147.216796875,image1024_c2
agrs,116.96219444274902,2,1,1077,dp0-r0,2,116.96219444274902,image1024_c2
agrs,116.83130264282227,2,1,1077,dp1-r0,2,116.83130264282227,image1024_c2
agrs,143.28742027282715,3,1,1077,dp0-r0,2,143.28742027282715,image1024_c2
agrs,143.4013843536377,3,1,1077,dp1-r0,2,143.4013843536377,image1024_c2
deepep_ht,98.09279441833496,1,1,512,dp0-r0,2,98.09279441833496,text512_c2
deepep_ht,98.23799133300781,1,1,512,dp1-r0,2,98.23799133300781,text512_c2
deepep_ht,97.29886054992676,2,1,512,dp0-r0,2,97.29886054992676,text512_c2
deepep_ht,97.12743759155273,2,1,512,dp1-r0,2,97.12743759155273,text512_c2
deepep_ht,102.31781005859375,3,1,512,dp0-r0,2,102.31781005859375,text512_c2
deepep_ht,102.19335556030273,3,1,512,dp1-r0,2,102.19335556030273,text512_c2
deepep_ht,100.65078735351562,1,1,2048,dp0-r0,2,100.65078735351562,text2048_c2
deepep_ht,100.58999061584473,1,1,2048,dp1-r0,2,100.58999061584473,text2048_c2
deepep_ht,100.45909881591797,2,1,2048,dp0-r0,2,100.45909881591797,text2048_c2
deepep_ht,100.27384757995605,2,1,2048,dp1-r0,2,100.27384757995605,text2048_c2
deepep_ht,102.386474609375,3,1,2048,dp0-r0,2,102.386474609375,text2048_c2
deepep_ht,102.54049301147461,3,1,2048,dp1-r0,2,102.54049301147461,text2048_c2
deepep_ht,185.58335304260254,1,1,8192,dp0-r0,2,185.58335304260254,text8192_c2
deepep_ht,185.44983863830566,1,1,8192,dp1-r0,2,185.44983863830566,text8192_c2
deepep_ht,183.63523483276367,2,1,8192,dp0-r0,2,183.63523483276367,text8192_c2
deepep_ht,183.69483947753906,2,1,8192,dp1-r0,2,183.69483947753906,text8192_c2
deepep_ht,184.1437816619873,3,1,8192,dp0-r0,2,184.1437816619873,text8192_c2
deepep_ht,184.08465385437012,3,1,8192,dp1-r0,2,184.08465385437012,text8192_c2
deepep_ht,122.35045433044434,1,1,216,dp0-r0,2,122.35045433044434,image448_c2
deepep_ht,122.35760688781738,1,1,216,dp1-r0,2,122.35760688781738,image448_c2
deepep_ht,106.35566711425781,2,1,216,dp0-r0,2,106.35566711425781,image448_c2
deepep_ht,106.39286041259766,2,1,216,dp1-r0,2,106.39286041259766,image448_c2
deepep_ht,106.89616203308105,3,1,216,dp0-r0,2,106.89616203308105,image448_c2
deepep_ht,106.83178901672363,3,1,216,dp1-r0,2,106.83178901672363,image448_c2
deepep_ht,149.17540550231934,1,1,1077,dp0-r0,2,149.17540550231934,image1024_c2
deepep_ht,149.2922306060791,1,1,1077,dp1-r0,2,149.2922306060791,image1024_c2
deepep_ht,142.9760456085205,2,1,1077,dp0-r0,2,142.9760456085205,image1024_c2
deepep_ht,143.07308197021484,2,1,1077,dp1-r0,2,143.07308197021484,image1024_c2
deepep_ht,136.37304306030273,3,1,1077,dp0-r0,2,136.37304306030273,image1024_c2
deepep_ht,136.27982139587402,3,1,1077,dp1-r0,2,136.27982139587402,image1024_c2
agrs,91.74370765686035,1,1,512,dp0-r0,3,91.74370765686035,text512_c2
agrs,92.76103973388672,1,1,512,dp1-r0,3,92.76103973388672,text512_c2
agrs,89.35141563415527,2,1,512,dp0-r0,3,89.35141563415527,text512_c2
agrs,88.29689025878906,2,1,512,dp1-r0,3,88.29689025878906,text512_c2
agrs,89.89596366882324,3,1,512,dp0-r0,3,89.89596366882324,text512_c2
agrs,88.6068344116211,3,1,512,dp1-r0,3,88.6068344116211,text512_c2
agrs,92.62990951538086,1,1,2048,dp0-r0,3,92.62990951538086,text2048_c2
agrs,91.62163734436035,1,1,2048,dp1-r0,3,91.62163734436035,text2048_c2
agrs,134.19628143310547,2,1,2048,dp0-r0,3,134.19628143310547,text2048_c2
agrs,133.74042510986328,2,1,2048,dp1-r0,3,133.74042510986328,text2048_c2
agrs,92.79036521911621,3,1,2048,dp0-r0,3,92.79036521911621,text2048_c2
agrs,92.78678894042969,3,1,2048,dp1-r0,3,92.78678894042969,text2048_c2
agrs,160.90083122253418,1,1,8192,dp0-r0,3,160.90083122253418,text8192_c2
