backend,n_requests,restart,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,workload_id
agrs,6,1,208.8939348856608,209.21218395233154,210.43097972869873,image1024_c2
deepep_ht,6,1,135.5454921722412,128.5182237625122,150.44081211090088,image1024_c2
agrs,6,1,205.82262674967447,207.1819305419922,207.87429809570312,image448_c2
deepep_ht,6,1,122.49024709065755,122.92683124542236,135.00535488128662,image448_c2
agrs,6,1,210.7884089152018,207.5251340866089,218.82665157318115,text2048_c2
deepep_ht,6,1,102.43638356526692,102.04029083251953,103.92260551452637,text2048_c2
agrs,6,1,209.86576875050864,210.7992172241211,213.67359161376953,text512_c2
deepep_ht,6,1,100.37652651468913,98.79755973815918,103.7970781326294,text512_c2
agrs,6,1,236.53260866800943,236.82141304016113,236.97161674499512,text8192_c2
deepep_ht,6,1,184.06363328297934,183.99930000305176,184.4881772994995,text8192_c2
agrs,6,2,135.75315475463867,143.34440231323242,147.01831340789795,image1024_c2
deepep_ht,6,2,142.86160469055176,143.02456378936768,149.23381805419922,image1024_c2
agrs,6,2,135.34009456634521,137.7706527709961,148.19204807281494,image448_c2
deepep_ht,6,2,111.86408996582031,106.86397552490234,122.35403060913086,image448_c2
agrs,6,2,150.16746520996094,148.70154857635498,155.82597255706787,text2048_c2
deepep_ht,6,2,101.15011533101399,100.62038898468018,102.4634838104248,text2048_c2
agrs,6,2,139.30420080820718,139.40632343292236,142.66633987426758,text512_c2
deepep_ht,6,2,99.2113749186198,98.16539287567139,102.25558280944824,text512_c2
agrs,6,2,205.50254980723062,209.78772640228271,212.39638328552246,text8192_c2
deepep_ht,6,2,184.43195025126138,184.1142177581787,185.5165958404541,text8192_c2
agrs,6,3,149.58163102467856,144.81794834136963,171.25928401947021,image1024_c2
deepep_ht,6,3,145.9163029988607,148.37098121643066,152.5588035583496,image1024_c2
agrs,6,3,116.76359176635742,111.98067665100098,136.7056369781494,image448_c2
deepep_ht,6,3,115.5628760655721,111.83881759643555,128.56221199035645,image448_c2
agrs,6,3,106.2942345937093,92.78857707977295,133.96835327148438,text2048_c2
deepep_ht,6,3,103.61099243164062,103.85847091674805,104.03609275817871,text2048_c2
agrs,6,3,90.10930856068929,89.62368965148926,92.25237369537354,text512_c2
deepep_ht,6,3,127.71777311960857,127.79343128204346,129.54580783843994,text512_c2
agrs,6,3,160.57984034220377,160.62021255493164,160.83359718322754,text8192_c2
deepep_ht,6,3,184.24928188323975,184.2259168624878,184.72588062286377,text8192_c2
agrs,6,4,130.60359160105386,118.19064617156982,156.71706199645996,image1024_c2
deepep_ht,6,4,137.76787122090658,133.2617998123169,149.5000123977661,image1024_c2
agrs,6,4,146.78621292114258,148.89955520629883,150.11906623840332,image448_c2
deepep_ht,6,4,121.20028336842854,110.27753353118896,144.01376247406006,image448_c2
agrs,6,4,105.26502132415771,98.05560111999512,125.30159950256348,text2048_c2
deepep_ht,6,4,109.82175668080647,105.91006278991699,118.00527572631836,text2048_c2
agrs,6,4,133.13794136047363,133.1937313079834,135.00142097473145,text512_c2
deepep_ht,6,4,100.90537865956624,100.4558801651001,102.95283794403076,text512_c2
agrs,6,4,185.54635842641196,185.23931503295898,211.4194631576538,text8192_c2
deepep_ht,6,4,183.75261624654135,183.71140956878662,184.14747714996338,text8192_c2
agrs,6,5,187.71902720133463,187.55114078521729,189.27395343780518,image1024_c2
deepep_ht,6,5,137.6211643218994,134.32598114013672,151.99947357177734,image1024_c2
agrs,6,5,185.52585442860922,185.49346923828125,186.5633726119995,image448_c2
deepep_ht,6,5,120.27124563852946,110.54384708404541,143.83995532989502,image448_c2
agrs,6,5,187.7972682317098,187.77060508728027,188.12966346740723,text2048_c2
deepep_ht,6,5,101.77433490753174,102.30815410614014,102.378249168396,text2048_c2
agrs,6,5,185.23144721984863,185.31811237335205,185.95516681671143,text512_c2
deepep_ht,6,5,106.52375221252441,99.63047504425049,120.89681625366211,text512_c2
agrs,6,5,228.5174528757731,228.03723812103271,229.62963581085205,text8192_c2
deepep_ht,6,5,184.0218702952067,183.8170289993286,184.57067012786865,text8192_c2
