M_per_source_rank,fanout,restart_count,agrs_win_restarts,deepep_win_restarts,unanimous_winner,median_deepep_minus_agrs_ms,median_expert_deepep_minus_agrs_ms
128,1,3,2,1,mixed,0.03774401545524597,0.035376012325286865
128,2,3,1,2,mixed,-0.006751984357833862,0.017792001366615295
128,3,3,2,1,mixed,0.013024002313613892,0.05764800310134888
128,4,3,2,1,mixed,0.07455998659133911,0.059664011001586914
256,1,3,2,1,mixed,0.05243200063705444,0.02980799973011017
256,2,3,2,1,mixed,0.04588800668716431,0.0358399897813797
256,3,3,2,1,mixed,0.07928001880645752,0.04860800504684448
256,4,3,2,1,mixed,0.09150400757789612,0.06251199543476105
512,1,3,2,1,mixed,0.013407975435256958,0.00028799474239349365
512,2,3,2,1,mixed,0.0466880202293396,0.013472005724906921
512,3,3,2,1,mixed,0.07684800028800964,0.027583986520767212
512,4,3,2,1,mixed,0.10390400886535645,0.028464004397392273
1024,1,3,1,2,mixed,-0.05198398232460022,-0.06695997714996338
1024,2,3,2,1,mixed,0.013520002365112305,-0.03071996569633484
1024,3,3,2,1,mixed,0.05555197596549988,-0.02985602617263794
1024,4,3,2,1,mixed,0.12145599722862244,-0.00891202688217163
2048,1,3,1,2,mixed,-0.1700960099697113,-0.16708797216415405
2048,2,3,1,2,mixed,-0.04583996534347534,-0.1252959966659546
2048,3,3,2,1,mixed,0.06064009666442871,-0.10633599758148193
2048,4,3,2,1,mixed,0.17614400386810303,-0.06259196996688843
4096,1,3,0,3,deepep_ht,-0.4026240110397339,-0.374752014875412
4096,2,3,1,2,mixed,-0.21292805671691895,-0.33257606625556946
4096,3,3,2,1,mixed,0.08983999490737915,-0.18800002336502075
4096,4,3,3,0,agrs,0.3871040344238281,-0.03827202320098877
8192,1,3,0,3,deepep_ht,-1.0116958618164062,-0.9499840140342712
8192,2,3,0,3,deepep_ht,-0.44020819664001465,-0.634719967842102
8192,3,3,3,0,agrs,0.21121597290039062,-0.3001279830932617
8192,4,3,3,0,agrs,0.823600172996521,0.009984016418457031
