M_per_source_rank,fanout,backend,n,dispatch_p50_ms,expert_p50_ms,combine_p50_ms,moe_p50_ms,moe_p90_ms,moe_p99_ms,moe_iqr_ms,rank_max_mean,expert_max_mean,active_experts
128,1,agrs,90,0.13700800389051437,0.43516799807548523,0.2224320024251938,0.6624320149421692,1.2075712203979494,3.096815333366394,0.3896080255508423,1.0,1.0,128
128,1,deepep_ht,90,0.14008000493049622,0.45852799713611603,0.11609599739313126,0.6579200029373169,1.0153119921684266,3.6035055375099176,0.3584880232810974,1.0,1.0,128
128,2,agrs,90,0.15249600261449814,0.4368159919977188,0.21796800196170807,0.6662399768829346,1.1589440345764168,2.486006369590759,0.38765600323677063,1.0,1.0,128
128,2,deepep_ht,90,0.1329760029911995,0.46750399470329285,0.11495999991893768,0.6578559875488281,1.0113120317459108,3.408688530921935,0.35633598268032074,1.0,1.0,128
128,3,agrs,90,0.1274080015718937,0.4221760034561157,0.25328000634908676,0.706496000289917,1.41601277589798,2.8947554564476,0.38739199936389923,1.0,1.0,128
128,3,deepep_ht,90,0.13396799564361572,0.47678400576114655,0.11256000027060509,0.666672021150589,1.0152095556259155,1.148945310115814,0.36049601435661316,1.0,1.0,128
128,4,agrs,90,0.14708799868822098,0.4138080030679703,0.20630399882793427,0.6818400025367737,1.8704896330833436,3.720223681926727,0.3887920081615448,1.0,1.0,128
128,4,deepep_ht,90,0.14472000300884247,0.4856959879398346,0.10028799995779991,0.6820639967918396,1.31784645318985,2.2155965709686276,0.3826080560684204,1.0,1.0,128
256,1,agrs,90,0.11031999811530113,0.4304959923028946,0.1109439991414547,0.5927200019359589,0.961353611946106,4.561323976516723,0.37136001884937286,1.0,1.0,128
256,1,deepep_ht,90,0.12588799744844437,0.4588800072669983,0.10380800068378448,0.6456319987773895,1.0117056012153625,1.0741110515594483,0.36875997483730316,1.0,1.0,128
256,2,agrs,90,0.1109279990196228,0.43534399569034576,0.11102399975061417,0.5915359854698181,0.9427199900150299,1.0252806252241131,0.3556959927082062,1.0,1.0,128
256,2,deepep_ht,90,0.1345279961824417,0.46643200516700745,0.088383998721838,0.6489599943161011,1.0158080339431763,1.0406726276874543,0.36905598640441895,1.0,1.0,128
256,3,agrs,90,0.11955200135707855,0.4368800073862076,0.11265600100159645,0.59756800532341,0.9522431790828705,1.0681904172897334,0.35999201238155365,1.0,1.0,128
256,3,deepep_ht,90,0.14220800250768661,0.49801599979400635,0.09415999799966812,0.6857759952545166,1.0326560139656067,1.0598329532146453,0.3524080365896225,1.0,1.0,128
256,4,agrs,90,0.11179200187325478,0.4338880032300949,0.11135999858379364,0.5945760011672974,0.9479775846004486,3.8922927713394153,0.35573601722717285,1.0,1.0,128
256,4,deepep_ht,90,0.1435520052909851,0.4991679936647415,0.09113599732518196,0.6882719993591309,1.0209728360176087,1.0656243073940277,0.33797594904899597,1.0,1.0,128
512,1,agrs,90,0.12175999954342842,0.4817440062761307,0.12947200238704681,0.6556639969348907,0.9527743995189667,3.67185378551483,0.3118079751729965,1.0,1.0,128
512,1,deepep_ht,90,0.13784000277519226,0.48479999601840973,0.09256000071763992,0.669952005147934,1.0099488258361817,1.0391650688648224,0.353968009352684,1.0,1.0,128
512,2,agrs,90,0.11726399883627892,0.4772479981184006,0.13046400249004364,0.6541920006275177,0.9769664108753204,4.487283186912537,0.3162959963083267,1.0,1.0,128
512,2,deepep_ht,90,0.14921600371599197,0.49353601038455963,0.09705600142478943,0.6951999962329865,1.0218240022659302,1.0788393092155455,0.3376079946756363,1.0,1.0,128
512,3,agrs,90,0.11414399743080139,0.47915199398994446,0.11419200152158737,0.6422719955444336,0.966463977098465,1.884297602176666,0.32254399359226227,1.0,1.0,128
512,3,deepep_ht,90,0.16177599877119064,0.5043359994888306,0.10475200042128563,0.7273599803447723,1.0287936329841614,1.086947865486145,0.30932001769542694,1.0,1.0,128
512,4,agrs,90,0.11483199894428253,0.4805760085582733,0.1202240027487278,0.643231987953186,0.9650176167488098,4.4278156328201295,0.32023197412490845,1.0,1.0,128
512,4,deepep_ht,90,0.16736000031232834,0.5147520005702972,0.1138719990849495,0.7459520101547241,1.0398080110549928,1.077809590101242,0.2953839600086212,1.0,1.0,128
1024,1,agrs,90,0.20339200645685196,0.6837280094623566,0.3328640013933182,0.9808480143547058,1.025763165950775,2.9368601751327503,0.22891999781131744,1.0,1.0,128
1024,1,deepep_ht,90,0.159231998026371,0.5264480113983154,0.10542400181293488,0.7432160079479218,1.0397695541381835,1.1457814610004422,0.3001599460840225,1.0,1.0,128
1024,2,agrs,90,0.19783999770879745,0.6854079961776733,0.3381440043449402,0.9799359738826752,1.0127840161323547,1.285564771890639,0.2248239368200302,1.0,1.0,128
1024,2,deepep_ht,90,0.18196799606084824,0.5409280061721802,0.11539199948310852,0.7907840013504028,1.0462528109550477,1.2063183701038354,0.25812797248363495,1.0,1.0,128
1024,3,agrs,90,0.19539199769496918,0.688944011926651,0.32710400223731995,0.9789440035820007,1.0204863548278809,2.8910326528549186,0.22909605503082275,1.0,1.0,128
1024,3,deepep_ht,90,0.20523200184106827,0.5599039793014526,0.13446399569511414,0.8505919873714447,1.0869792461395265,1.239944367408752,0.2484159916639328,1.0,1.0,128
1024,4,agrs,90,0.20270399749279022,0.6835840046405792,0.33430400490760803,0.983104020357132,1.0387840270996094,4.455496735572814,0.22886398434638977,1.0,1.0,128
1024,4,deepep_ht,90,0.22579199820756912,0.5762239992618561,0.15622400492429733,0.9104480147361755,1.1492319583892823,1.3553190028667443,0.2500560134649277,1.0,1.0,128
2048,1,agrs,90,0.18380799889564514,0.8291999995708466,0.18992000073194504,1.111344039440155,1.350601601600647,4.780953288078308,0.23584002256393433,1.0,1.0,128
2048,1,deepep_ht,90,0.2085600048303604,0.6605120003223419,0.13835199922323227,0.9507519900798798,1.1881056427955627,1.2642543923854828,0.2510639578104019,1.0,1.0,128
2048,2,agrs,90,0.18009600043296814,0.8185760080814362,0.17688000202178955,1.1008800268173218,1.3423200249671936,3.51626172542572,0.24299204349517822,1.0,1.0,128
2048,2,deepep_ht,90,0.256863996386528,0.6971040070056915,0.17107200622558594,1.067728042602539,1.2895104050636292,1.5535734331607816,0.24260807037353516,1.0,1.0,128
2048,3,agrs,90,0.18067200481891632,0.8256160020828247,0.18108800053596497,1.1144160032272339,1.3431584477424623,2.7225613737106316,0.24636799097061157,1.0,1.0,128
2048,3,deepep_ht,90,0.30460798740386963,0.7332480251789093,0.20643199980258942,1.1943519711494446,1.404851245880127,1.809544357061386,0.24378401041030884,1.0,1.0,128
2048,4,agrs,90,0.18088000267744064,0.8278879821300507,0.1785920038819313,1.1095359921455383,1.3555808424949647,4.428269324302673,0.24174395203590393,1.0,1.0,128
2048,4,deepep_ht,90,0.3421600013971329,0.7682720124721527,0.24084799736738205,1.2837759852409363,1.5157951593399048,1.5842870831489562,0.23469606041908264,1.0,1.0,128
4096,1,agrs,90,0.2701920121908188,1.3197919726371765,0.23814400285482407,1.7678880095481873,2.0009663820266725,2.754880294799804,0.22801607847213745,1.0,1.0,128
4096,1,deepep_ht,90,0.2953120023012161,0.9487359821796417,0.19865600019693375,1.3832640051841736,1.6145919680595398,1.7968457663059234,0.24024802446365356,1.0,1.0,128
4096,2,agrs,90,0.2754400074481964,1.3173440098762512,0.23359999805688858,1.7745440006256104,2.0097344636917116,3.4398175334930414,0.22940799593925476,1.0,1.0,128
4096,2,deepep_ht,90,0.3948639929294586,0.9942880272865295,0.23446399718523026,1.5797120332717896,1.7978656053543092,1.8433180737495423,0.23731204867362976,1.0,1.0,128
4096,3,agrs,90,0.27267201244831085,1.3296000361442566,0.2375359982252121,1.7825120091438293,2.0108224630355833,2.6873864912986747,0.23676797747612,1.0,1.0,128
4096,3,deepep_ht,90,0.47780799865722656,1.1269440054893494,0.28519999980926514,1.8711679577827454,2.0495521068572997,2.1884259557724,0.1676959991455078,1.0,1.0,128
4096,4,agrs,90,0.2752479910850525,1.3397120237350464,0.24368000030517578,1.793936014175415,2.007459306716919,2.2931751441955557,0.22690394520759583,1.0,1.0,128
4096,4,deepep_ht,90,0.5632480084896088,1.2809119820594788,0.35996800661087036,2.213104009628296,2.3167808294296264,2.681791009902954,0.10384005308151245,1.0,1.0,128
8192,1,agrs,90,0.4748319983482361,2.482383966445923,0.36055999994277954,3.3051520586013794,3.410527896881104,3.539086627960205,0.0522800087928772,1.0,1.0,128
8192,1,deepep_ht,90,0.48361600935459137,1.5394240021705627,0.32017600536346436,2.3133440017700195,2.4945983409881594,2.684534947872162,0.1615760326385498,1.0,1.0,128
8192,2,agrs,90,0.48161599040031433,2.4807519912719727,0.3598719984292984,3.3065279722213745,3.340435290336609,3.5550986099243165,0.05137604475021362,1.0,1.0,128
8192,2,deepep_ht,90,0.6787520051002502,1.844319999217987,0.37244799733161926,2.883120059967041,2.944604730606079,3.1384105920791625,0.05532795190811157,1.0,1.0,128
8192,3,agrs,90,0.48052799701690674,2.479952096939087,0.3600800037384033,3.308832049369812,3.3714271783828735,4.820136542320252,0.05392801761627197,1.0,1.0,128
8192,3,deepep_ht,90,0.8443360030651093,2.1758559942245483,0.5222079753875732,3.533263921737671,3.5897440195083616,3.9712553310394285,0.0486719012260437,1.0,1.0,128
8192,4,agrs,90,0.4808319956064224,2.486928105354309,0.36051198840141296,3.310800075531006,3.3529664278030396,4.5938836145401,0.055599987506866455,1.0,1.0,128
8192,4,deepep_ht,90,0.9912480115890503,2.491935968399048,0.6836320161819458,4.150383949279785,4.214924573898315,4.379298076629639,0.05544018745422363,1.0,1.0,128
