dataset,scenario,request_ms,gain_vs_current_clean_percent,gain_vs_postcomp_normal_percent,incremental_gain_vs_o0_percent,evidence,baseline_scope
gsm8k,CURRENT_BEST_STATIC_MEASURED,5925.000000000,0.000000000,-21.344539467,-27.945525223,measured,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
gsm8k,POST_COMPACTION_NORMAL_PROJECTED,4882.790792272,17.590028822,0.000000000,-5.439870459,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
gsm8k,O0_BEST_EXISTING_PATH,4630.877078092,21.841737079,5.159215803,0.000000000,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
gsm8k,O1_CONTROL_FREE_PAYLOAD_BOUND,4427.296805938,25.277691039,9.328558312,4.396149341,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
gsm8k,O2_PHYSICAL_LOWER_BOUND,4466.356805938,24.618450533,8.528605956,3.552680613,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
gsm8k,O3_CREDIBLE_REFINEEP_TARGET,4524.946805938,23.629589773,7.328677422,2.287477520,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
humaneval,CURRENT_BEST_STATIC_MEASURED,7261.000000000,0.000000000,-21.429257601,-29.292426721,measured,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
humaneval,POST_COMPACTION_NORMAL_PROJECTED,5979.613269023,17.647524184,0.000000000,-6.475514448,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
humaneval,O0_BEST_EXISTING_PATH,5615.951517131,22.655949358,6.081693506,0.000000000,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
humaneval,O1_CONTROL_FREE_PAYLOAD_BOUND,5369.366218312,26.051973305,10.205460174,4.390801774,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
humaneval,O2_PHYSICAL_LOWER_BOUND,5420.826218312,25.343255498,9.344869402,3.474483322,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
humaneval,O3_CREDIBLE_REFINEEP_TARGET,5498.016218312,24.280178786,8.053983243,2.100005644,analytical_oracle,"best-static mini32; compacted rows are sensitivity, not measured Epoch"
