dataset,wave,layer,phase,physical_dense_m,fresh_m,fresh_fraction,shape_class,token_expert_pairs,remote_assignments,remote_bytes_one_way_bf16,active_experts,rows_per_active_expert_mean,rows_per_active_expert_p50,rows_per_active_expert_p90,max_rows_per_expert,tiny_expert_fraction_le4,destination_fanout_mean,destination_fanout_max,rank0_load,rank1_load,rank2_load,rank3_load,rank_load_cv,critical_rank,source_trace_kind,epoch_status,normal_fresh_ms,normal_cached_ms,low_latency_ms,best_existing_ms,best_existing_path,payload_lower_bound_ms,o1_control_free_ms,o2_physical_lower_ms,o3_refineep_target_ms,normal_to_o0_saved_ms,o0_to_o3_saved_ms
gsm8k,0,1,middle,992,493,0.496975806,medium,3944,2848,23330816,48,82.166666667,25.000000000,308.800000000,444,0.208333333,2.750507099,4,502,1600,1487,355,0.569311162,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.054594164,0.054594164,0.074594164,0.104594164,0.095968000,0.090429835
gsm8k,0,2,middle,992,493,0.496975806,medium,3944,3124,25591808,44,89.636363636,15.500000000,368.600000000,466,0.295454545,3.026369168,4,2072,102,618,1152,0.739014857,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.059884891,0.059884891,0.079884891,0.109884891,0.095968000,0.085139108
gsm8k,0,3,middle,992,493,0.496975806,medium,3944,2954,24199168,48,82.166666667,20.500000000,308.700000000,457,0.208333333,2.815415822,4,148,396,2035,1365,0.768115151,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056626110,0.056626110,0.076626110,0.106626110,0.095968000,0.088397889
gsm8k,0,4,middle,992,493,0.496975806,medium,3944,2694,22069248,68,58.000000000,11.500000000,179.300000000,447,0.264705882,2.841784990,4,464,2068,358,1054,0.688277170,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.051642092,0.051642092,0.071642092,0.101642092,0.095968000,0.093381907
gsm8k,0,5,middle,992,493,0.496975806,medium,3944,2837,23240704,68,58.000000000,30.000000000,151.300000000,407,0.323529412,3.166328600,4,1150,1658,756,380,0.480706686,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.054383302,0.054383302,0.074383302,0.104383302,0.095968000,0.090640697
gsm8k,0,6,middle,992,493,0.496975806,medium,3944,2878,23576576,103,38.291262136,17.000000000,100.000000000,272,0.271844660,2.924949290,4,1409,766,1316,453,0.399392846,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055169243,0.055169243,0.075169243,0.105169243,0.095968000,0.089854756
gsm8k,0,7,middle,992,493,0.496975806,medium,3944,2906,23805952,102,38.666666667,12.000000000,101.500000000,371,0.352941176,3.176470588,4,1659,1320,651,314,0.538646979,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055705983,0.055705983,0.075705983,0.105705983,0.095968000,0.089318016
gsm8k,0,8,middle,992,493,0.496975806,medium,3944,2870,23511040,115,34.295652174,7.000000000,116.600000000,371,0.426086957,2.789046653,4,838,639,1896,571,0.542060075,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055015889,0.055015889,0.075015889,0.105015889,0.095968000,0.090008110
gsm8k,0,9,middle,992,493,0.496975806,medium,3944,2974,24363008,101,39.049504950,9.000000000,102.000000000,387,0.415841584,2.989858012,4,1452,718,1184,590,0.353153861,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057009496,0.057009496,0.077009496,0.107009496,0.095968000,0.088014503
gsm8k,0,10,middle,992,493,0.496975806,medium,3944,2967,24305664,110,35.854545455,14.500000000,115.200000000,249,0.318181818,3.091277890,4,1599,736,442,1167,0.444100381,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056875311,0.056875311,0.076875311,0.106875311,0.095968000,0.088148688
gsm8k,0,11,middle,992,493,0.496975806,medium,3944,2806,22986752,96,41.083333333,9.000000000,121.500000000,493,0.364583333,2.888438134,4,1423,1880,510,131,0.707727285,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.053789053,0.053789053,0.073789053,0.103789053,0.095968000,0.091234946
gsm8k,0,12,middle,992,493,0.496975806,medium,3944,2928,23986176,114,34.596491228,12.500000000,106.100000000,416,0.324561404,2.679513185,4,1524,1764,278,378,0.673823474,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056127708,0.056127708,0.076127708,0.106127708,0.095968000,0.088896291
gsm8k,0,13,middle,992,493,0.496975806,medium,3944,3025,24780800,128,30.812500000,12.000000000,80.600000000,307,0.320312500,3.139959432,4,764,1002,900,1278,0.191224215,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057987130,0.057987130,0.077987130,0.107987130,0.095968000,0.087036869
gsm8k,0,14,middle,992,493,0.496975806,medium,3944,3093,25337856,120,32.866666667,12.000000000,95.200000000,356,0.308333333,3.004056795,4,1234,1001,325,1384,0.411049024,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.059290642,0.059290642,0.079290642,0.109290642,0.095968000,0.085733357
gsm8k,0,15,middle,992,493,0.496975806,medium,3944,2983,24436736,112,35.214285714,15.000000000,88.800000000,412,0.303571429,3.306288032,4,1096,874,613,1361,0.279778274,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.057182019,0.057182019,0.077182019,0.107182019,0.095968000,0.087841980
gsm8k,0,16,middle,992,493,0.496975806,medium,3944,2937,24059904,115,34.295652174,8.000000000,111.600000000,270,0.400000000,3.144016227,4,1097,926,1360,561,0.294127264,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056300232,0.056300232,0.076300232,0.106300232,0.095968000,0.088723767
gsm8k,0,17,middle,992,493,0.496975806,medium,3944,2849,23339008,114,34.596491228,13.500000000,92.700000000,286,0.307017544,3.286004057,4,649,1332,556,1407,0.391297422,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.054613333,0.054613333,0.074613333,0.104613333,0.095968000,0.090410666
gsm8k,0,18,middle,992,493,0.496975806,medium,3944,2876,23560192,113,34.902654867,13.000000000,91.800000000,285,0.292035398,3.121703854,4,1124,1376,358,1086,0.384703660,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055130904,0.055130904,0.075130904,0.105130904,0.095968000,0.089893095
gsm8k,0,19,middle,992,493,0.496975806,medium,3944,2943,24109056,108,36.518518519,14.000000000,109.600000000,232,0.268518519,3.048681542,4,638,1834,986,486,0.529477820,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.056415247,0.056415247,0.076415247,0.106415247,0.095968000,0.088608752
gsm8k,0,20,middle,992,493,0.496975806,medium,3944,2914,23871488,118,33.423728814,11.000000000,109.900000000,210,0.347457627,3.217038540,4,706,1402,873,963,0.260924196,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.290991999,0.247325333,0.195023999,0.195023999,low_latency,0.055859338,0.055859338,0.075859338,0.105859338,0.095968000,0.089164661
