case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,low_latency,normal_cached,normal_fresh,remote_bytes_one_way_bf16,payload_lower_bound_ms,o2_physical_lower_ms,o3_refineep_target_ms,cached_handle_upper_bound_ms,normal_tax_above_payload_ms,low_latency_tax_above_payload_ms,ll_speedup_vs_normal_percent,refineep_increment_vs_ll_percent,measurement_scope
real_00_gsm8k_w63_l1,gsm8k,63,1,late,very-small,1,0.088544004,0.198416002,0.244928002,57344,0.000134185,0.020134185,0.050134185,0.046512000,0.244793817,0.088409819,63.848966522,43.379356219,real route; communication semantics; no expert GEMM
real_01_gsm8k_w62_l1,gsm8k,62,1,late,very-small,2,0.087664001,0.203615993,0.240928002,90112,0.000210862,0.020210862,0.050210862,0.037312009,0.240717140,0.087453139,63.614025654,42.723510542,real route; communication semantics; no expert GEMM
real_02_gsm8k_w34_l1,gsm8k,34,1,late,very-small,4,0.100960001,0.209968001,0.258704007,212992,0.000498402,0.020498402,0.050498402,0.048736006,0.258205605,0.100461599,60.974705351,49.981773694,real route; communication semantics; no expert GEMM
real_03_gsm8k_w59_l1,gsm8k,59,1,late,very-small,5,0.095152002,0.216512002,0.251632005,253952,0.000594248,0.020594248,0.050594248,0.035120003,0.251037757,0.094557754,62.186049426,46.827972916,real route; communication semantics; no expert GEMM
real_04_gsm8k_w57_l1,gsm8k,57,1,late,very-small,8,0.090863999,0.201983996,0.243328005,450560,0.001054311,0.021054311,0.051054311,0.041344009,0.242273694,0.089809688,62.657812856,43.812387727,real route; communication semantics; no expert GEMM
real_05_gsm8k_w33_l1,gsm8k,33,1,late,small,9,0.087664001,0.196880005,0.238144003,245760,0.000575079,0.020575079,0.050575079,0.041263998,0.237568924,0.087088922,63.188659006,42.308041616,real route; communication semantics; no expert GEMM
real_06_gsm8k_w55_l1,gsm8k,55,1,late,small,15,0.090319999,0.203327999,0.245664001,811008,0.001897761,0.021897761,0.051897761,0.042336002,0.243766240,0.088422238,63.234336886,42.540122683,real route; communication semantics; no expert GEMM
real_07_humaneval_w22_l1,humaneval,22,1,late,small,22,0.090848003,0.218800001,0.264624000,942080,0.002204469,0.022204469,0.052204469,0.045823999,0.262419531,0.088643534,65.669023596,42.536470059,real route; communication semantics; no expert GEMM
real_08_gsm8k_w31_l1,gsm8k,31,1,late,small,26,0.090271998,0.205391996,0.242416002,1327104,0.003105426,0.023105426,0.053105426,0.037024006,0.239310576,0.087166572,62.761535024,41.171761297,real route; communication semantics; no expert GEMM
real_09_humaneval_w20_l1,humaneval,20,1,late,small,31,0.088448003,0.210448004,0.249215998,1351680,0.003162934,0.023162934,0.053162934,0.038767994,0.246053064,0.085285069,64.509500309,39.893572992,real route; communication semantics; no expert GEMM
real_10_gsm8k_w53_l1,gsm8k,53,1,late,medium-small,33,0.093392000,0.223552004,0.261583999,1646592,0.003853029,0.023853029,0.053853029,0.038031995,0.257730970,0.089538971,64.297510415,42.336571513,real route; communication semantics; no expert GEMM
real_11_gsm8k_w51_l1,gsm8k,51,1,late,medium-small,44,0.091440000,0.205199994,0.245423995,2072576,0.004849833,0.024849833,0.054849833,0.040224001,0.240574162,0.086590167,62.742029360,40.015493559,real route; communication semantics; no expert GEMM
real_12_humaneval_w14_l1,humaneval,14,1,middle,medium-small,66,0.091407999,0.207248002,0.249183998,3424256,0.008012767,0.028012767,0.058012767,0.041935996,0.241171231,0.083395232,63.317067013,36.534255549,real route; communication semantics; no expert GEMM
real_13_gsm8k_w25_l1,gsm8k,25,1,late,medium-small,92,0.092799999,0.208448000,0.248879999,4448256,0.010408929,0.030408929,0.060408929,0.040431999,0.238471070,0.082391070,62.712954286,34.904170151,real route; communication semantics; no expert GEMM
real_14_humaneval_w65_l1,humaneval,65,1,middle,medium-small,127,0.098320000,0.209472001,0.250880003,6316032,0.014779530,0.034779530,0.064779530,0.041408002,0.236100473,0.083540470,60.809949448,34.113578459,real route; communication semantics; no expert GEMM
real_15_gsm8k_w23_l1,gsm8k,23,1,late,medium,129,0.096383996,0.210048005,0.253855988,6152192,0.014396144,0.034396144,0.064396144,0.043807983,0.239459844,0.081987852,62.032017933,33.187929170,real route; communication semantics; no expert GEMM
real_16_gsm8k_w45_l1,gsm8k,45,1,late,medium,206,0.120223999,0.214624003,0.257263988,9797632,0.022926482,0.042926482,0.072926482,0.042639985,0.234337506,0.097297517,53.268236283,39.341161155,real route; communication semantics; no expert GEMM
real_17_humaneval_w50_l1,humaneval,50,1,middle,medium,302,0.129247993,0.221152000,0.260991991,14917632,0.034907294,0.054907294,0.084907294,0.039839991,0.226084697,0.094340699,50.478176551,34.306682977,real route; communication semantics; no expert GEMM
real_18_gsm8k_w6_l1,gsm8k,6,1,middle,medium,406,0.167135999,0.223552004,0.263791993,21831680,0.051086182,0.071086182,0.101086182,0.040239989,0.212705811,0.116049817,36.640988569,39.518605871,real route; communication semantics; no expert GEMM
real_19_gsm8k_w0_l1,gsm8k,0,1,middle,medium,493,0.195023999,0.261280000,0.307103992,23330816,0.054594164,0.074594164,0.104594164,0.045823992,0.252509828,0.140429835,36.495778603,46.368567679,real route; communication semantics; no expert GEMM
real_20_humaneval_w31_l1,humaneval,31,1,middle,large,533,0.212512001,0.295535997,0.341775998,28532736,0.066766669,0.086766669,0.116766669,0.046240001,0.275009329,0.145745332,37.821262393,45.054082378,real route; communication semantics; no expert GEMM
real_21_gsm8k_w40_l1,gsm8k,40,1,middle,large,537,0.192640007,0.230528004,0.270240009,26075136,0.061015879,0.081015879,0.111015879,0.039712005,0.209224130,0.131624128,28.715215888,42.371327231,real route; communication semantics; no expert GEMM
real_22_gsm8k_w39_l1,gsm8k,39,1,middle,large,620,0.205151998,0.227903999,0.270720005,30736384,0.071923210,0.091923210,0.121923210,0.042816006,0.198796795,0.133228788,24.219860294,40.569328268,real route; communication semantics; no expert GEMM
real_23_humaneval_w29_l1,humaneval,29,1,early,large,802,0.236720003,0.231055997,0.276783988,38117376,0.089194749,0.109194749,0.139194749,0.045727991,0.187589239,0.147525254,14.474820343,41.198569081,real route; communication semantics; no expert GEMM
real_24_gsm8k_w36_l1,gsm8k,36,1,early,large,1024,0.267119989,0.237648003,0.279328004,51298304,0.120038151,0.140038151,0.170038151,0.041680001,0.159289853,0.147081838,4.370494481,36.343905960,real route; communication semantics; no expert GEMM
