scope,restart,physical_gpu,cuda_visible_devices,physical_uuid,wall_seconds,warmup,measured_repetitions,note
dense,1,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,27.974782466888428,5,30,owner-local expert execution only; no DeepEP communication
dense,2,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,27.64749503135681,5,30,owner-local expert execution only; no DeepEP communication
dense,3,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,27.823680639266968,5,30,owner-local expert execution only; no DeepEP communication
compacted,1,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,20.670552015304565,5,30,owner-local expert execution only; no DeepEP communication
compacted,2,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,20.684204816818237,5,30,owner-local expert execution only; no DeepEP communication
compacted,3,4,"4,5,6,7",6076e2f2-5b63-3761-5586-56ceb7df8139,20.669306755065918,5,30,owner-local expert execution only; no DeepEP communication
clean_ep4_compatibility,1,4,"4,5,6,7",GPU-6076e2f2-5b63-3761-5586-56ceb7df8139,904.533,0,1,full-model compatibility; peak HBM 74555 MiB; timing excluded from baseline statistics
clean_ep4_compatibility,1,5,"4,5,6,7",GPU-a1a1cfcf-93a1-3544-9a5e-e58144b68730,904.533,0,1,full-model compatibility; peak HBM 75327 MiB; timing excluded from baseline statistics
clean_ep4_compatibility,1,6,"4,5,6,7",GPU-e3f3998e-0f1a-e94a-b97c-4abb0e8c2c28,904.533,0,1,full-model compatibility; peak HBM 74863 MiB; timing excluded from baseline statistics
clean_ep4_compatibility,1,7,"4,5,6,7",GPU-4cc26b88-19fc-1988-f9e0-17858aa7a99b,904.533,0,1,full-model compatibility; peak HBM 75305 MiB; timing excluded from baseline statistics
