scope,task,phase,real_cases,production_to_grouped_gain_pct,switching_additional_pct,measured_hybrid_additional_pct,reverse_hybrid_penalty_pct
compacted,gsm8k,early,9,20.259102056063472,0.0,0.0,46.330773537087296
compacted,gsm8k,late,6,34.756674677171794,0.0,0.0,93.288525985535
compacted,gsm8k,middle,9,22.639554095776184,0.0,0.0,47.09301331107409
compacted,humaneval,early,9,24.17780677497123,0.0,0.0,47.618092416437364
compacted,humaneval,late,6,46.11675845071825,0.0,0.0,80.06998763770929
compacted,humaneval,middle,9,25.174782113354688,0.0,0.0,60.47823826918422
dense,gsm8k,early,9,21.66952383252392,0.0,0.0,42.10629753074345
dense,gsm8k,late,9,18.81259799495365,0.0,0.0,45.2117120540962
dense,gsm8k,middle,9,23.574665803968887,0.0,0.0,41.22279146394221
dense,humaneval,early,9,18.42148478075968,0.0,0.0,35.6694531980484
dense,humaneval,late,9,17.396548365067662,0.0,0.0,38.1047886224295
dense,humaneval,middle,9,23.8877438822443,0.0,0.0,40.49963082110301
