task,oracle,scope,operator_gain_pct,request_e2e_gain_pct,baseline,evidence_boundary
gsm8k,production_to_torch_grouped_replacement,dense,22.076642693422745,6.5050077789170215,production vLLM fused_experts,measured owner-local operator replay; request value is Amdahl projection
gsm8k,O0_best_existing_whole_switching_additional,dense,0.0,0.0,strongest valid whole kernel,torch grouped won every sampled real invocation in all three restarts
gsm8k,O1_measured_two_subgroup_hybrid_additional,dense,0.0,0.0,strongest valid whole kernel,actual gather/two-launch/scatter hybrid; clipped at zero saving
gsm8k,O2_ideal_persistent_shape_scheduler,dense,,3.310835109101014,strongest valid whole kernel,optimistic p99-robust count-matched lower envelope; same assignments/FLOPs
gsm8k,O3_credible_refinegemm_50pct_capture,dense,,1.655417554550507,strongest valid whole kernel,50% capture of O2; no implementation
gsm8k,O2_post_compaction_ideal_residual,compacted,,2.1191670225254096,strongest valid whole kernel,future-known live-row sensitivity; not measured Epoch
gsm8k,O3_post_compaction_credible_50pct_capture,compacted,,1.0595835112627048,strongest valid whole kernel,50% capture of post-compaction O2; no implementation
humaneval,production_to_torch_grouped_replacement,dense,20.51501160152617,6.0627296919524145,production vLLM fused_experts,measured owner-local operator replay; request value is Amdahl projection
humaneval,O0_best_existing_whole_switching_additional,dense,0.0,0.0,strongest valid whole kernel,torch grouped won every sampled real invocation in all three restarts
humaneval,O1_measured_two_subgroup_hybrid_additional,dense,0.0,0.0,strongest valid whole kernel,actual gather/two-launch/scatter hybrid; clipped at zero saving
humaneval,O2_ideal_persistent_shape_scheduler,dense,,2.852355742481413,strongest valid whole kernel,optimistic p99-robust count-matched lower envelope; same assignments/FLOPs
humaneval,O3_credible_refinegemm_50pct_capture,dense,,1.4261778712407065,strongest valid whole kernel,50% capture of O2; no implementation
humaneval,O2_post_compaction_ideal_residual,compacted,,1.134060384587123,strongest valid whole kernel,future-known live-row sensitivity; not measured Epoch
humaneval,O3_post_compaction_credible_50pct_capture,compacted,,0.5670301922935616,strongest valid whole kernel,50% capture of post-compaction O2; no implementation
