mini_batch_size,phase,stage,sampled_layer_invocations,critical_rank_median_ms,critical_rank_mean_ms,critical_rank_p95_ms
1,all,router,3291,0.8552320003509521,0.872887686297945,0.9985919892787933
1,all,dispatch,3291,0.3596799969673157,0.410025947327963,0.7476799786090851
1,all,expert,3291,0.5106239914894104,0.5444583257383505,0.6143839955329895
1,all,combine,3291,0.10288000106811523,0.1422334169067354,0.2428160011768341
1,all,shared,3291,0.21692800521850586,0.2227355867252999,0.26691199839115143
1,all,gather,3291,0.12227199971675873,0.14602599572362018,0.3304319977760315
1,all,attention,3291,0.5982720255851746,0.6137911345016192,0.7588480114936829
1,all,mlp,3291,4.090847969055176,4.221164691922731,4.843968152999878
1,all,block,3291,5.177312156185508,5.368703535889266,6.468352046795189
1,early,router,918,0.8550880253314972,0.8699491405149431,0.999761590361595
1,early,dispatch,918,0.35793599486351013,0.40691628807055924,0.7402128249406814
1,early,expert,918,0.49932800233364105,0.5890686513941272,0.62498719394207
1,early,combine,918,0.10068799927830696,0.19373158923064182,0.2577360019087791
1,early,shared,918,0.21612800657749176,0.22184505441869265,0.26889920383691784
1,early,gather,918,0.12054400146007538,0.1437420825471935,0.3309920027852057
1,early,attention,918,0.59756800532341,0.6134068495502659,0.7730816185474396
1,early,mlp,918,4.091808080673218,4.261957547243903,4.855848169326782
1,early,block,918,5.170048042200506,5.405166505543771,6.486407966865226
1,middle,router,948,0.8552480041980743,0.8705034603046465,0.9771727830171585
1,middle,dispatch,948,0.3580640107393265,0.40176941762493634,0.6798143833875656
1,middle,expert,948,0.5088000297546387,0.5189565571048592,0.5925791919231415
1,middle,combine,948,0.10313600301742554,0.11676384813549147,0.20476159751415246
1,middle,shared,948,0.2189120054244995,0.22252324056902012,0.26254718750715256
1,middle,gather,948,0.12321599945425987,0.14263368786984607,0.2931695997714996
1,middle,attention,948,0.5987200140953064,0.6130533327470349,0.7356480211019516
1,middle,mlp,948,4.08840012550354,4.175380421338705,4.641193532943725
1,middle,block,948,5.174880068749189,5.314181669480619,6.154430254222825
1,late,router,1425,0.8553919792175293,0.8763668661368521,1.0067839622497559
1,late,dispatch,1425,0.36188799142837524,0.4175219875783251,0.7724543929100036
1,late,expert,1425,0.517952024936676,0.5326852715015411,0.6188992142677306
1,late,combine,1425,0.10374400019645691,0.12600171796062537,0.2506239891052246
1,late,shared,1425,0.21596799790859222,0.22345054308573406,0.2692671954631805
1,late,gather,1425,0.12307199835777283,0.14975409406841847,0.3352895975112915
1,late,attention,1425,0.5986239910125732,0.6145295272375408,0.7602304100990295
1,late,mlp,1425,4.092639923095703,4.2253440935569895,4.894015979766846
1,late,block,1425,5.18412805441767,5.381485096038434,6.527884689718484
2,all,router,1635,1.628159999847412,1.625591642630574,1.6993696212768554
2,all,dispatch,1635,1.1698240041732788,1.1507367137375228,1.2642527818679807
2,all,expert,1635,0.6863359808921814,0.738826961892825,0.785535991191864
2,all,combine,1635,0.36454400420188904,0.40426367182250417,0.4770847946405411
2,all,shared,1635,0.3314239978790283,0.33190000723671476,0.3767263978719711
2,all,gather,1635,0.43747198581695557,0.4292163913311944,0.48774400651454924
2,all,attention,1635,1.020095944404602,1.00396559253016,1.078713595867157
2,all,mlp,1635,6.729568004608154,6.799239927985981,7.131267070770264
2,all,block,1635,9.29302386380732,9.274551996786364,9.783990420773625
2,early,router,456,1.6313599944114685,1.636816562006348,1.6878079771995544
2,early,dispatch,456,1.1727200150489807,1.1601668761618305,1.2377199828624725
2,early,expert,456,0.6846719980239868,0.8290979685752016,0.7586400061845779
2,early,combine,456,0.38870400190353394,0.5290700349662649,0.47465600818395615
2,early,shared,456,0.3322239965200424,0.3352456838709482,0.37241601198911667
2,early,gather,456,0.43860799074172974,0.4291522098018935,0.4824160039424896
2,early,attention,456,1.022816002368927,1.0125584582749165,1.0700479745864868
2,early,mlp,456,6.731008052825928,6.946291922477254,7.025719881057739
2,early,block,456,9.310080155730247,9.439865260801621,9.622024077456445
2,middle,router,453,1.6301440000534058,1.6162587541091784,1.6880192041397095
2,middle,dispatch,453,1.1708159446716309,1.145761271252011,1.2440320014953612
2,middle,expert,453,0.6834560036659241,0.6911719567728358,0.7731840252876281
2,middle,combine,453,0.36131200194358826,0.3606352668510499,0.46689921021461483
2,middle,shared,453,0.3309440016746521,0.3355960798250392,0.3657151877880096
2,middle,gather,453,0.43644800782203674,0.4354755671542738,0.47854079604148864
2,middle,attention,453,1.0232640504837036,0.9997430829286049,1.0725888013839722
2,middle,mlp,453,6.724607944488525,6.693914773448413,7.043155384063721
2,middle,block,453,9.278655869886279,9.17311675192595,9.640883244946599
2,late,router,726,1.6237120032310486,1.624364693959554,1.8346640169620514
2,late,dispatch,726,1.1650399565696716,1.1479181481458596,1.4157840311527252
2,late,expert,726,0.6884320080280304,0.7118629650225653,0.8132399767637253
2,late,combine,726,0.3309440016746521,0.3530955807185288,0.49105601012706757
2,late,shared,726,0.3312639892101288,0.3274923633968781,0.38710399717092514
2,late,gather,726,0.4374239891767502,0.42535118489800733,0.5088479965925217
2,late,attention,726,1.0170400142669678,1.0012031270616968,1.1387920081615448
2,late,mlp,726,6.72977614402771,6.772596106384739,7.519055962562561
2,late,block,726,9.28238408267498,9.234011111842577,10.174920226912946
4,all,router,846,1.8911840319633484,1.9038834213928693,2.014080047607422
4,all,dispatch,846,0.37113599479198456,0.4044487562655839,0.6060560047626495
4,all,expert,846,0.7321119904518127,0.7226968521767474,0.8459440022706985
4,all,combine,846,0.17614399641752243,0.18510524826410532,0.3048880100250244
4,all,shared,846,0.03137600049376488,0.055626174974438,0.16498400270938873
4,all,gather,846,0.045104000717401505,0.07087470435187326,0.16552800312638283
4,all,attention,846,0.5919359922409058,0.6168343063716911,0.6804159879684448
4,all,mlp,846,6.20633602142334,6.255593368911292,6.532800197601318
4,all,block,846,7.296016146894544,7.406259505126634,7.798959866864607
4,early,router,231,1.8838399648666382,1.9142175556777359,1.9983519315719604
4,early,dispatch,231,0.3627519905567169,0.42082936732799975,0.6582880020141602
4,early,expert,231,0.6726400256156921,0.6663601052709472,0.7559040188789368
4,early,combine,231,0.1924159973859787,0.19818694357361114,0.3060000091791153
4,early,shared,231,0.059007998555898666,0.0867195844618015,0.22708800435066223
4,early,gather,231,0.10179200023412704,0.10970694353215364,0.25257599353790283
4,early,attention,231,0.5920000076293945,0.6695123103273896,0.7332000136375427
4,early,mlp,231,6.167424201965332,6.287709349677677,6.5922558307647705
4,early,block,231,7.257280143909156,7.51537646607645,7.875455964822322
4,middle,router,252,1.8937599658966064,1.9012786008062816,1.993972796201706
4,middle,dispatch,252,0.38310399651527405,0.39965917400660966,0.5908175945281983
4,middle,expert,252,0.7381440103054047,0.725487999972843,0.8188064068555831
4,middle,combine,252,0.1844799965620041,0.18723441287875175,0.2920895934104918
4,middle,shared,252,0.03129599988460541,0.04788266661177788,0.13125919774174688
4,middle,gather,252,0.044176001101732254,0.06618387282397302,0.1606367938220501
4,middle,attention,252,0.5911999940872192,0.5950429204200941,0.6645264148712158
4,middle,mlp,252,6.211616039276123,6.24896658602215,6.583455824851989
4,middle,block,252,7.30919985473156,7.362509823818174,7.781499080779031
4,late,router,363,1.8931200504302979,1.8991154593212873,2.0187455892562864
4,late,dispatch,363,0.36528000235557556,0.3973497302982104,0.576083219051361
4,late,expert,363,0.7459520101547241,0.7566098529773638,0.8642079770565033
4,late,combine,363,0.163455992937088,0.17530243531813636,0.3005439966917038
4,late,shared,363,0.031231999397277832,0.04121511854416083,0.08562239706516266
4,late,gather,363,0.019648000597953796,0.04941972444660079,0.12551680281758307
4,late,attention,363,0.5920640230178833,0.5984398445150412,0.6645375728607177
4,late,mlp,363,6.222847938537598,6.239756337867296,6.491910552978515
4,late,block,363,7.304895949549973,7.367193118653699,7.765724680013954
8,all,router,411,3.2199039459228516,3.262658103974196,3.7146880626678467
8,all,dispatch,411,0.43753600120544434,0.5157692271790075,1.1538240313529968
8,all,expert,411,0.8059200048446655,0.8156443403585114,0.932447999715805
8,all,combine,411,0.14630399644374847,0.1587949001894235,0.26364798843860626
8,all,shared,411,0.03167999908328056,0.048624583934671686,0.18457599729299545
8,all,gather,411,0.023744000121951103,0.05901492943583904,0.23979199677705765
8,all,attention,411,0.5975040197372437,0.6626213517792323,0.8595040142536163
8,all,mlp,411,8.927807807922363,9.073957226282198,10.596735954284668
8,all,block,411,10.025439752265811,10.305773166418438,12.90729580167681
8,early,router,102,3.2367039918899536,3.3897672167011335,3.9093920826911925
8,early,dispatch,102,0.4668959975242615,0.6381461968024572,1.4382192254066466
8,early,expert,102,0.7667039930820465,0.7757449407203525,0.9123071730136869
8,early,combine,102,0.19779200106859207,0.20064407806186116,0.28162561357021326
8,early,shared,102,0.03182400017976761,0.0748655684657541,0.23795200362801544
8,early,gather,102,0.044463999569416046,0.10039058809771258,0.3055600121617314
8,early,attention,102,0.612608015537262,0.8348567842268476,1.2841679811477622
8,early,mlp,102,8.91209602355957,9.381424642076679,11.29258279800415
8,early,block,102,10.069487932138145,10.955659934611736,14.290109976846715
8,middle,router,147,3.2210559844970703,3.2495542853867927,3.3878463745117187
