topology,submitted_batch,mini_batch_size,repeat,iteration,phase,layer,selected_sequences,sequence_ids,remaining_before,physical_rows,live_positions,live_ratio,accepted_positions,expert_row_histogram,active_experts,rows_per_active_expert_mean,rows_per_active_expert_p50,tiny_expert_fraction_le4,rank_load_max,rank_load_mean,rank_load_cv,critical_rank,rank_fanout_mean,remote_pairs,remote_fraction,dispatch_bytes_bf16,combine_bytes_bf16,router_critical_ms,dispatch_critical_ms,expert_critical_ms,combine_critical_ms,shared_critical_ms,gather_critical_ms,prepare_attn_critical_ms,attention_critical_ms,prepare_mlp_critical_ms,mlp_critical_ms,postprocess_critical_ms,block_critical_sum_ms,moe_sampled_critical_ms
ep4,32,16,shape,0,middle,1,16,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[20,19,11,8,7,7,3,32,28,26,25,23,22,21,21,20]",512,293,0.572265625,31,"[9,0,36,11,6,0,2,14,1,4,66,46,5,3,19,0,3,5,4,7,4,3,0,13,116,15,0,2,0,0,0,14,3,6,0,17,144,4,19,4,0,4,9,97,0,19,14,0,0,111,0,2,0,30,2,3,5,0,0,4,1,6,1,13,7,0,0,250,15,1,0,0,1,26,0,2,0,19,31,4,1,3,43,62,9,5,21,5,6,2,8,1,25,3,5,1,0,0,269,81,15,0,9,8,1,1,2,1,2,23,12,1,1,15,6,0,12,0,0,0,5,2,0,22,0,256,2,0,0,10,13,9,0,0,1,21,29,10,14,0,4,241,16,230,205,0,3,3,40,5,20,48,3,0,0,3,4,3,0,66,0,5,3,0,1,0,3,78,0,0,0,131,1,12,13,0,0,3,1,1,8,6,3,0,0,10,0,2,0,9,0,1,1,11,6,158,7,0,3,0,6,6,22,9,21,2,9,4,1,9,0,0,31,4,5,14,27,0,37,3,21,3,1,56,2,1,0,14,23,0,0,1,0,0,0,1,0,0,1,18,1,0,0,0,0,1,5,0,9,0,3,15,0,4,0,0]",180,22.755555555555556,6.0,0.4111111111111111,1302.0,1024.0,0.2927310233411676,1,2.892578125,3092,0.7548828125,25329664,25329664,5.863327980041504,0.5465599894523621,0.9046400189399719,0.1738560050725937,0.03155200183391571,0.04665600135922432,0.1287360042333603,0.6050879955291748,0.724128007888794,13.981344223022461,0.014527999795973301,15.453824230469763,7.566591996699572
ep4,32,16,shape,0,middle,16,16,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[20,19,11,8,7,7,3,32,28,26,25,23,22,21,21,20]",512,293,0.572265625,31,"[0,96,36,19,5,23,6,26,7,75,8,216,36,138,22,1,43,56,0,38,10,59,1,2,0,1,14,2,31,0,0,52,0,0,35,0,3,2,4,0,3,1,10,0,5,0,1,0,0,1,2,1,0,5,0,4,0,7,0,12,0,2,0,1,2,3,12,2,53,0,0,4,2,1,1,1,0,3,92,107,21,0,0,0,0,0,0,0,28,30,5,167,22,0,17,39,0,14,18,0,9,10,3,1,1,0,8,10,2,27,8,0,9,0,0,1,0,0,3,2,24,0,0,0,7,0,0,0,101,10,225,9,0,0,11,0,17,0,0,0,1,0,2,14,3,0,0,44,0,0,0,5,5,0,116,0,0,0,9,87,0,11,3,3,1,24,2,0,0,0,226,2,0,8,15,30,48,11,6,0,7,2,0,5,74,271,5,3,8,9,4,0,12,97,1,0,14,0,2,12,30,2,19,0,29,7,1,8,1,3,0,7,0,0,0,2,164,0,1,19,0,0,36,0,4,28,0,8,0,19,4,0,0,0,0,5,8,6,3,0,0,6,3,37,49,0,19,0,70,3,2,24,1,0,2,0]",165,24.824242424242424,8.0,0.36363636363636365,1437.0,1024.0,0.2721851552868836,2,3.130859375,3228,0.7880859375,26443776,26443776,5.840511798858643,0.29971200227737427,0.849888026714325,0.14473600685596466,0.032416000962257385,0.04527999833226204,0.06374400109052658,0.5477120280265808,0.2282560020685196,13.759136199951172,0.012927999719977379,14.611776230856776,7.212543834000826
ep4,32,16,shape,0,middle,31,16,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]","[20,19,11,8,7,7,3,32,28,26,25,23,22,21,21,20]",512,293,0.572265625,31,"[13,3,9,1,0,1,2,2,1,5,0,0,7,20,5,0,26,84,3,4,188,12,4,0,0,1,43,1,3,21,44,2,72,1,33,13,1,0,13,0,14,0,0,0,0,6,6,1,0,0,1,8,0,0,0,1,0,4,1,33,2,45,13,0,0,0,2,3,0,8,21,0,0,2,1,1,0,0,3,6,0,4,0,5,1,1,0,2,0,0,1,0,1,0,5,9,2,0,0,0,0,12,2,3,16,0,0,1,0,2,24,0,0,2,0,0,106,0,0,0,0,3,16,0,1,0,0,96,0,15,2,0,0,10,9,14,1,0,139,0,11,0,0,5,0,0,30,0,3,0,44,2,5,0,0,54,1,3,13,0,88,1,0,26,87,1,20,0,6,3,22,32,2,31,11,8,22,0,32,1,107,8,27,7,4,0,93,0,0,0,9,129,3,12,0,3,0,2,17,15,0,0,41,28,13,6,0,12,14,0,0,2,152,7,174,0,75,5,0,0,109,58,41,11,13,0,25,0,9,5,0,1,7,1,0,262,0,14,5,83,176,80,182,0,38,0,18,3,0,5,4,12,33,46,0,1]",165,24.824242424242424,8.0,0.37575757575757573,1823.0,1024.0,0.5242244441580183,3,2.953125,3184,0.77734375,26083328,26083328,5.79472017288208,0.3919680118560791,0.8838080167770386,0.2526080012321472,0.0315839983522892,0.04521600157022476,0.06492800265550613,0.6229119896888733,0.2680000066757202,13.973312377929688,0.014976000413298607,14.944128377363086,7.399904202669859
ep4,32,16,shape,1,middle,1,16,"[0,1,2,3,4,5,6,7,8,9,10,12,11,14,16,17]","[19,18,10,6,6,0,0,30,27,25,24,21,20,20,19,19]",512,264,0.515625,40,"[9,0,38,9,8,0,2,19,2,5,72,54,6,9,28,0,12,11,4,5,5,15,0,21,136,12,2,2,1,1,4,13,4,6,4,16,101,3,21,6,0,4,9,61,37,10,19,0,1,69,1,2,1,21,2,5,4,0,0,3,2,10,1,9,9,0,0,224,18,1,0,0,2,28,0,2,0,39,33,5,2,6,39,67,5,8,22,5,7,2,9,2,17,2,7,1,3,0,239,58,15,1,11,18,3,1,13,1,2,20,16,1,1,17,10,0,16,0,0,0,4,3,0,27,0,227,6,0,0,10,13,14,0,0,1,23,30,6,15,0,4,222,20,229,186,0,2,2,29,5,21,57,8,3,0,2,8,1,0,76,0,4,3,0,22,0,4,70,2,0,0,140,2,16,16,0,0,2,6,2,7,5,3,0,0,12,6,2,0,11,0,2,0,21,7,128,7,1,0,0,7,6,23,8,18,2,6,6,0,9,1,0,33,5,6,13,16,0,43,2,27,2,2,43,3,0,0,15,25,1,0,1,0,0,0,1,0,0,1,19,2,0,2,0,0,2,5,0,8,0,3,22,0,8,0,0]",194,21.11340206185567,7.0,0.36597938144329895,1324.0,1024.0,0.2993550361236435,2,2.853515625,3082,0.75244140625,25247744,25247744,5.816959857940674,0.3392319977283478,0.9542719721794128,0.2295359969139099,0.031936001032590866,0.0453759990632534,0.12211199849843979,0.5150399804115295,0.572767972946167,14.30726432800293,0.013024000450968742,15.530208280310035,7.417311824858189
ep4,32,16,shape,1,middle,16,16,"[0,1,2,3,4,5,6,7,8,9,10,12,11,14,16,17]","[19,18,10,6,6,0,0,30,27,25,24,21,20,20,19,19]",512,264,0.515625,40,"[0,81,36,14,2,16,4,39,22,19,16,156,41,158,34,1,43,48,0,35,11,44,0,1,0,1,10,2,35,0,0,55,0,0,52,0,2,0,6,0,5,2,13,0,5,0,0,1,0,0,2,2,0,6,0,4,0,10,0,17,0,1,0,1,3,2,10,0,60,0,1,6,4,0,5,3,0,5,87,110,22,3,0,0,0,0,0,0,22,20,2,137,30,0,24,23,1,9,20,1,14,13,6,5,1,0,11,7,3,24,15,2,6,0,0,1,1,0,14,3,21,1,0,0,13,0,0,0,67,9,193,9,0,0,12,0,15,0,0,3,3,1,1,12,3,0,0,42,0,0,1,5,5,0,94,0,0,0,15,65,0,12,5,4,2,21,1,0,4,0,243,0,0,17,6,49,36,16,9,2,14,2,0,0,113,254,9,4,9,16,11,0,18,131,5,0,13,0,1,4,31,1,14,2,21,10,0,8,1,0,1,18,0,0,0,4,181,0,1,21,0,0,52,0,6,26,0,10,0,27,6,0,0,0,0,4,10,4,5,0,0,5,3,32,33,0,23,0,98,4,2,18,1,1,2,0]",171,23.953216374269005,9.0,0.34502923976608185,1414.0,1024.0,0.24144310531014682,2,3.123046875,3177,0.775634765625,26025984,26025984,5.909279823303223,0.5159680247306824,0.838047981262207,0.08508799970149994,0.03161599859595299,0.046271998435258865,0.06339199841022491,0.5319039821624756,0.28064000606536865,14.280223846435547,0.01897599920630455,15.17513583227992,7.426271826028824
ep4,32,16,shape,1,middle,31,16,"[0,1,2,3,4,5,6,7,8,9,10,12,11,14,16,17]","[19,18,10,6,6,0,0,30,27,25,24,21,20,20,19,19]",512,264,0.515625,40,"[12,3,9,0,0,5,3,4,2,6,0,0,13,23,9,0,18,58,3,3,141,17,6,0,0,0,37,2,2,18,47,5,66,1,38,24,1,0,14,0,19,0,0,0,1,9,6,1,0,0,1,14,2,0,0,1,0,7,1,38,5,51,15,0,0,0,2,3,0,6,19,0,0,3,3,1,0,0,4,8,0,5,0,3,0,2,0,4,0,0,2,0,2,0,7,8,4,1,0,1,0,14,2,10,29,0,0,0,0,2,16,0,0,1,0,0,109,1,0,0,0,3,14,0,1,0,1,102,0,21,2,5,0,10,18,16,1,0,124,2,16,0,0,5,0,0,35,0,2,0,62,1,5,0,0,37,2,0,16,1,91,1,0,42,91,4,15,0,9,3,24,33,6,28,23,9,15,1,34,1,118,12,30,23,9,0,81,1,1,0,8,146,3,14,0,3,1,2,19,24,0,0,57,32,17,7,0,9,20,0,0,8,160,19,147,0,106,9,0,0,72,38,59,12,18,0,15,0,13,6,0,0,15,1,0,166,0,16,8,74,102,79,197,0,29,0,15,4,0,3,6,11,48,34,1,3]",173,23.67630057803468,9.0,0.3468208092485549,1702.0,1024.0,0.48181014716775983,3,3.001953125,3179,0.776123046875,26042368,26042368,5.9497599601745605,0.47887998819351196,0.8867200016975403,0.21670399606227875,0.03155200183391571,0.0451200008392334,0.07891199737787247,0.5893759727478027,0.2882879972457886,14.624608039855957,0.012640000320971012,15.593824007548392,7.608735948801041
ep4,32,16,shape,2,middle,1,16,"[1,0,2,3,4,5,6,7,8,10,9,11,13,14,15,16]","[17,9,6,5,1,32,32,28,23,23,22,19,18,18,18,18]",512,289,0.564453125,36,"[7,0,40,8,7,0,2,10,3,4,75,52,10,9,33,0,12,18,3,6,5,13,0,22,124,15,3,2,1,4,4,10,6,8,3,13,84,3,12,5,0,3,6,47,52,15,26,1,1,60,2,2,1,35,5,2,5,0,0,1,2,9,0,8,8,0,0,241,25,0,0,1,7,23,0,4,0,66,26,2,1,12,32,54,8,12,19,6,10,2,7,1,28,3,7,1,3,0,254,14,17,5,11,11,0,1,13,1,10,19,14,1,1,17,6,0,16,1,1,2,5,2,0,16,0,198,8,0,0,7,14,37,0,0,3,17,30,12,26,0,2,225,16,237,211,0,3,1,19,6,25,39,7,7,0,2,4,1,0,78,0,2,3,0,35,2,5,66,2,0,0,131,1,4,13,3,0,1,4,1,17,13,1,0,2,24,2,5,1,11,0,3,1,9,5,109,9,0,3,0,7,7,17,3,39,3,7,3,3,5,2,0,22,2,34,9,15,0,35,2,23,3,4,37,15,0,0,8,21,5,1,1,0,0,0,1,0,0,0,21,2,0,1,1,0,2,6,2,8,0,1,17,0,8,0,4]",205,19.98048780487805,7.0,0.3902439024390244,1381.0,1024.0,0.31729866673008794,2,2.861328125,3045,0.743408203125,24944640,24944640,5.811007976531982,0.39161598682403564,0.9408000111579895,0.1658560037612915,0.03267199918627739,0.046112000942230225,0.11747200042009354,0.5478399991989136,0.24694399535655975,14.353728294372559,0.013055999763309956,15.279040289111435,7.388063978403807
ep4,32,16,shape,2,middle,16,16,"[1,0,2,3,4,5,6,7,8,10,9,11,13,14,15,16]","[17,9,6,5,1,32,32,28,23,23,22,19,18,18,18,18]",512,289,0.564453125,36,"[0,79,37,19,7,13,4,37,33,24,17,137,43,155,32,1,38,44,0,40,26,53,0,1,0,0,12,2,34,0,0,54,0,0,51,0,2,0,2,1,2,1,14,0,4,0,1,1,0,0,5,2,0,14,0,1,0,14,0,18,0,3,0,0,2,3,4,1,78,0,0,7,7,1,5,3,0,7,82,115,36,0,0,1,0,0,0,0,36,40,4,129,24,0,25,36,0,8,26,1,14,15,5,8,1,0,19,2,5,18,4,0,8,0,0,1,1,0,11,0,28,1,0,0,8,0,0,0,56,6,198,16,0,0,7,0,37,0,0,0,0,0,3,6,4,0,0,51,0,0,0,1,4,0,76,0,0,0,13,54,0,9,2,8,1,23,2,0,0,0,215,1,0,22,13,23,33,13,7,0,10,0,1,0,109,243,11,6,1,16,13,0,17,126,7,0,12,0,2,7,35,2,9,0,20,9,0,3,0,0,3,15,0,0,0,4,192,0,0,26,0,0,64,0,9,28,0,7,0,49,5,0,0,0,0,6,12,5,5,0,0,13,6,14,26,0,21,0,96,2,1,15,0,0,1,0]",159,25.761006289308177,11.0,0.3018867924528302,1314.0,1024.0,0.18730662228536696,2,3.12109375,3182,0.77685546875,26066944,26066944,5.845024108886719,0.38572800159454346,0.8571199774742126,0.18544000387191772,0.032287999987602234,0.04758400097489357,0.06351999938488007,0.5462719798088074,0.23414400219917297,14.23475170135498,0.012512000277638435,15.09119968302548,7.353184092789888
ep4,32,16,shape,2,middle,31,16,"[1,0,2,3,4,5,6,7,8,10,9,11,13,14,15,16]","[17,9,6,5,1,32,32,28,23,23,22,19,18,18,18,18]",512,289,0.564453125,36,"[4,3,9,0,0,4,2,2,2,4,0,0,14,14,13,0,15,61,0,4,158,10,6,0,0,5,36,2,2,21,62,9,53,1,28,23,0,0,11,0,14,0,0,0,0,6,0,0,0,0,1,10,1,0,0,0,0,8,0,34,3,42,16,0,4,1,5,6,0,7,25,0,0,6,3,4,0,0,3,9,0,5,4,7,1,1,5,4,0,9,5,0,4,0,11,13,2,1,0,5,0,6,4,14,26,0,0,2,0,6,20,0,0,4,0,0,125,2,0,0,0,5,17,0,0,1,2,101,0,19,1,6,0,14,24,16,0,0,122,2,12,0,0,7,0,0,26,0,1,0,75,2,5,0,0,58,3,3,12,0,81,1,0,32,102,7,18,0,7,4,24,33,6,36,17,7,20,1,31,2,96,7,21,14,8,0,76,3,0,0,3,123,0,13,0,1,0,4,14,20,0,0,77,53,21,3,0,29,20,0,0,6,135,21,138,0,74,10,0,0,94,70,40,14,25,0,13,0,15,6,0,0,18,3,1,163,0,7,13,75,98,84,160,0,20,0,18,5,0,5,4,34,47,36,0,3]",170,24.094117647058823,9.5,0.3,1710.0,1024.0,0.45927880765700674,3,3.013671875,3100,0.7568359375,25395200,25395200,5.955615997314453,0.36934399604797363,0.8717439770698547,0.1446080058813095,0.03171199932694435,0.04614400118589401,0.06419199705123901,0.598143994808197,0.24956800043582916,14.201791763305664,0.013567999936640263,15.12726375553757,7.419167976826429
ep4,32,16,shape,3,middle,1,16,"[1,2,3,0,4,5,6,10,7,8,9,11,17,18,12,13]","[15,5,4,0,0,31,31,22,21,20,18,18,18,18,17,17]",512,255,0.498046875,35,"[10,1,42,11,9,0,4,14,3,6,77,54,15,11,29,1,15,15,4,6,2,10,1,24,132,16,5,6,2,3,6,11,4,10,0,14,57,2,13,3,1,6,8,62,43,12,40,0,3,72,4,2,3,22,6,3,7,1,0,2,2,8,2,3,8,0,2,197,24,0,0,4,6,30,0,4,0,64,25,3,3,10,32,60,4,7,17,9,10,3,6,2,35,3,7,2,0,0,229,28,16,5,8,11,0,1,17,1,6,28,11,3,3,16,11,0,14,0,0,1,5,2,1,22,0,147,11,2,1,8,19,46,0,0,3,18,29,12,24,0,4,202,17,198,181,0,3,2,20,7,35,45,10,8,0,5,7,1,0,100,0,3,2,0,45,0,9,53,5,0,4,78,2,3,26,7,0,2,9,3,14,4,1,0,2,29,0,4,3,13,1,6,2,12,9,111,10,0,1,0,8,6,15,3,55,4,5,3,4,5,2,0,30,1,80,12,13,0,35,2,31,3,3,44,7,0,0,8,26,4,0,2,0,0,1,0,0,0,0,18,4,0,1,0,0,1,8,2,8,0,1,14,0,11,0,2]",208,19.692307692307693,7.0,0.38461538461538464,1333.0,1024.0,0.25850791774407406,2,2.98046875,3072,0.75,25165824,25165824,5.860288143157959,0.5962240099906921,0.9863680005073547,0.19884799420833588,0.03139200061559677,0.044064000248909,0.12028799951076508,0.5478399991989136,0.4519360065460205,14.339648246765137,0.017216000705957413,15.476928252726793,7.7171841487288475
