iteration,ready_pool_size,phase,live_ratio,physical_rows,note
0,31,middle,0.4969758064516129,992,offline ready-wave observation; excludes arrival/queue delay
1,31,middle,0.44455645161290325,992,offline ready-wave observation; excludes arrival/queue delay
2,31,middle,0.4223790322580645,992,offline ready-wave observation; excludes arrival/queue delay
3,31,middle,0.3971774193548387,992,offline ready-wave observation; excludes arrival/queue delay
4,31,middle,0.3840725806451613,992,offline ready-wave observation; excludes arrival/queue delay
5,30,middle,0.3927083333333333,960,offline ready-wave observation; excludes arrival/queue delay
6,30,middle,0.42291666666666666,960,offline ready-wave observation; excludes arrival/queue delay
7,30,middle,0.35625,960,offline ready-wave observation; excludes arrival/queue delay
8,30,late,0.328125,960,offline ready-wave observation; excludes arrival/queue delay
9,30,middle,0.503125,960,offline ready-wave observation; excludes arrival/queue delay
10,30,middle,0.48333333333333334,960,offline ready-wave observation; excludes arrival/queue delay
11,28,middle,0.42299107142857145,896,offline ready-wave observation; excludes arrival/queue delay
12,28,middle,0.5089285714285714,896,offline ready-wave observation; excludes arrival/queue delay
13,28,middle,0.5011160714285714,896,offline ready-wave observation; excludes arrival/queue delay
14,28,middle,0.5200892857142857,896,offline ready-wave observation; excludes arrival/queue delay
15,27,middle,0.5532407407407407,864,offline ready-wave observation; excludes arrival/queue delay
16,27,middle,0.5416666666666666,864,offline ready-wave observation; excludes arrival/queue delay
17,27,middle,0.4375,864,offline ready-wave observation; excludes arrival/queue delay
18,27,middle,0.3958333333333333,864,offline ready-wave observation; excludes arrival/queue delay
19,25,middle,0.35,800,offline ready-wave observation; excludes arrival/queue delay
20,23,middle,0.3546195652173913,736,offline ready-wave observation; excludes arrival/queue delay
21,21,late,0.31845238095238093,672,offline ready-wave observation; excludes arrival/queue delay
22,17,late,0.3014705882352941,544,offline ready-wave observation; excludes arrival/queue delay
23,14,late,0.28794642857142855,448,offline ready-wave observation; excludes arrival/queue delay
24,14,late,0.31919642857142855,448,offline ready-wave observation; excludes arrival/queue delay
25,14,late,0.20535714285714285,448,offline ready-wave observation; excludes arrival/queue delay
26,14,late,0.21875,448,offline ready-wave observation; excludes arrival/queue delay
27,11,late,0.17897727272727273,352,offline ready-wave observation; excludes arrival/queue delay
28,8,late,0.2109375,256,offline ready-wave observation; excludes arrival/queue delay
29,8,late,0.1484375,256,offline ready-wave observation; excludes arrival/queue delay
30,5,late,0.1875,160,offline ready-wave observation; excludes arrival/queue delay
31,4,late,0.203125,128,offline ready-wave observation; excludes arrival/queue delay
32,3,late,0.125,96,offline ready-wave observation; excludes arrival/queue delay
33,2,late,0.140625,64,offline ready-wave observation; excludes arrival/queue delay
34,1,late,0.125,32,offline ready-wave observation; excludes arrival/queue delay
35,1,late,0.0,32,offline ready-wave observation; excludes arrival/queue delay
36,32,early,1.0,1024,offline ready-wave observation; excludes arrival/queue delay
37,32,early,0.8076171875,1024,offline ready-wave observation; excludes arrival/queue delay
38,32,middle,0.6591796875,1024,offline ready-wave observation; excludes arrival/queue delay
39,30,middle,0.6458333333333334,960,offline ready-wave observation; excludes arrival/queue delay
40,30,middle,0.559375,960,offline ready-wave observation; excludes arrival/queue delay
41,28,middle,0.515625,896,offline ready-wave observation; excludes arrival/queue delay
42,25,middle,0.46875,800,offline ready-wave observation; excludes arrival/queue delay
43,24,middle,0.4309895833333333,768,offline ready-wave observation; excludes arrival/queue delay
44,22,middle,0.3664772727272727,704,offline ready-wave observation; excludes arrival/queue delay
45,20,late,0.321875,640,offline ready-wave observation; excludes arrival/queue delay
46,17,late,0.2959558823529412,544,offline ready-wave observation; excludes arrival/queue delay
47,16,late,0.263671875,512,offline ready-wave observation; excludes arrival/queue delay
48,14,late,0.24330357142857142,448,offline ready-wave observation; excludes arrival/queue delay
49,13,late,0.18269230769230768,416,offline ready-wave observation; excludes arrival/queue delay
50,12,late,0.14322916666666666,384,offline ready-wave observation; excludes arrival/queue delay
51,8,late,0.171875,256,offline ready-wave observation; excludes arrival/queue delay
52,6,late,0.19791666666666666,192,offline ready-wave observation; excludes arrival/queue delay
53,5,late,0.20625,160,offline ready-wave observation; excludes arrival/queue delay
54,4,late,0.1953125,128,offline ready-wave observation; excludes arrival/queue delay
55,4,late,0.1171875,128,offline ready-wave observation; excludes arrival/queue delay
56,3,late,0.11458333333333333,96,offline ready-wave observation; excludes arrival/queue delay
57,2,late,0.125,64,offline ready-wave observation; excludes arrival/queue delay
58,2,late,0.09375,64,offline ready-wave observation; excludes arrival/queue delay
59,1,late,0.15625,32,offline ready-wave observation; excludes arrival/queue delay
60,1,late,0.125,32,offline ready-wave observation; excludes arrival/queue delay
61,1,late,0.09375,32,offline ready-wave observation; excludes arrival/queue delay
62,1,late,0.0625,32,offline ready-wave observation; excludes arrival/queue delay
63,1,late,0.03125,32,offline ready-wave observation; excludes arrival/queue delay
64,1,late,0.0,32,offline ready-wave observation; excludes arrival/queue delay
