mini_batch_size,phase,waves,sequence_forward_work,model_forward_sum_ms,model_ms_per_sequence_forward,observer_corrected_model_ms_per_sequence_forward,selected_sequences_median,physical_rows_median,live_ratio_median,accepted_positions_median,active_experts_median,rows_per_active_expert_mean_median,tiny_expert_fraction_le4_median,rank_load_cv_median,rank_fanout_mean_median,remote_fraction_median,dispatch_bytes_bf16_median,model_forward_ms_median,attention_critical_ms_median,mlp_critical_ms_median,block_critical_sum_ms_median
1,all,1097,1097,88308.4118347168,80.49991963055314,74.39371946190526,1.0,32.0,0.40625,1.0,77.0,3.4255744912161235,0.7843503743104807,0.4062643950344562,3.0,0.7513020833333334,1575594.6666666667,78.62252807617188,0.5999466776847839,4.105130751927693,5.207136080600321
1,early,306,306,24708.872955322266,80.74795083438649,74.62293663231314,1.0,32.0,0.84375,1.0,52.83333333333333,4.917954144620811,0.7114366641470022,0.539700670648728,2.96875,0.7369791666666666,1545557.3333333333,78.6203498840332,0.6002666552861531,4.103343963623047,5.206458651460707
1,middle,316,316,25359.69623565674,80.25220327739474,74.16479325964858,1.0,32.0,0.5,1.0,75.0,3.5276093113321156,0.7793938968290688,0.4039042695982795,3.0,0.7591145833333334,1591978.6666666667,78.62148666381836,0.5996799965699513,4.104858676592508,5.199631951128444
1,late,475,475,38239.84264373779,80.50493188155325,74.39835151615435,1.0,32.0,0.125,1.0,85.33333333333333,3.096851006257399,0.8104337014201826,0.3775989277975478,3.0208333333333335,0.7565104166666666,1586517.3333333333,78.62252807617188,0.5995946725209554,4.108917315800984,5.212416030156116
2,all,545,1088,66663.71001434326,61.27179229259491,36.08562117990326,2.0,64.0,0.40625,3.0,109.0,4.818498525628961,0.6960081483592456,0.3688428607900242,3.0104166666666665,0.736328125,3088384.0,123.50566101074219,1.0197226603825886,6.753343900044759,9.301397344097495
2,early,152,304,18951.60001373291,62.34078951885826,36.71520010204568,2.0,64.0,0.84375,4.0,80.33333333333333,6.4190034493036165,0.6641344975824917,0.48322093409796835,2.9791666666666665,0.734375,3080192.0,123.79518127441406,1.0231200059254966,6.754597266515096,9.31459195818752
2,middle,151,302,18426.313430786133,61.01428288339779,35.933962698196474,2.0,64.0,0.5,5.0,106.0,4.929598311120391,0.6975956105394636,0.3632410956892446,3.0,0.724609375,3039232.0,123.50566101074219,1.0194560289382935,6.732917308807373,9.273279982308546
2,late,242,482,29285.79656982422,60.75891404527846,35.783564891820575,2.0,64.0,0.125,2.0,118.16666666666666,4.440684925041563,0.7049099263122534,0.32838876822898844,3.028645833333333,0.7447916666666666,3123882.6666666665,123.30672073364258,1.0179359912872314,6.767850637435913,9.307866687265534
4,all,282,1125,23843.42618560791,21.194156609429253,18.700706481933594,4.0,128.0,0.40625,8.0,142.66666666666666,7.342541597580705,0.5765048322516532,0.3448920831366258,3.0026041666666665,0.7506510416666666,6296917.333333333,83.43724822998047,0.5909333328406017,6.214085340499878,7.315189360020062
4,early,77,308,6577.703880310059,21.35618142957811,18.843669406112603,4.0,128.0,0.8046875,10.0,119.33333333333333,8.660116622733446,0.6097178683385581,0.4575234015463212,2.9739583333333335,0.7503255208333334,6294186.666666667,83.21257781982422,0.590773344039917,6.18229325612386,7.278154866149028
4,middle,84,336,7095.083587646484,21.116320201328822,18.632027371539245,4.0,128.0,0.5,9.0,140.66666666666669,7.403275363961651,0.5760254100508035,0.3541041764093705,2.998697916666667,0.7498372395833333,6290090.666666666,83.48545837402344,0.5914400021235149,6.210325241088867,7.330170685114959
4,late,121,481,10170.638717651367,21.14477903877623,18.657138083691116,4.0,128.0,0.1484375,6.0,153.0,6.839041060626815,0.5647079108904062,0.29642108291540165,3.0286458333333335,0.7529296875,6316032.0,83.4969253540039,0.5887999931971232,6.226954619089763,7.333056083259483
8,all,137,1085,13057.486999511719,12.034550229964717,9.938120732109667,8.0,256.0,0.421875,18.0,172.0,12.05260401816579,0.4408329369483643,0.3303309097010415,3.0,0.7508138020833334,12593834.666666666,92.28495788574219,0.5952746868133545,8.950016021728516,10.045503822465738
8,early,34,272,3472.4019088745117,12.766183488509235,10.542302817530532,8.0,256.0,0.853515625,24.5,142.66666666666666,14.409761216013333,0.5097230837641518,0.4611132329827191,2.979166666666667,0.7509765625,12599296.0,93.35717010498047,0.6232106586297352,8.992501258850098,10.223226588840285
