topology,submitted_batch,mini_batch_size,repeat,gsm8k_correct,gsm8k_total,gsm8k_accuracy,source
ep4,32,1,1,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini1/r1/ep4_b32_mini1_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,1,2,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini1/r2/ep4_b32_mini1_r2_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,1,3,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini1/r3/ep4_b32_mini1_r3_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,16,1,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini16/r1/ep4_b32_mini16_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,16,2,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini16/r2/ep4_b32_mini16_r2_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,16,3,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini16/r3/ep4_b32_mini16_r3_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,16,4,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini16/r4/ep4_b32_mini16_r4_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,16,5,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini16/r5/ep4_b32_mini16_r5_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,2,1,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini2/r1/ep4_b32_mini2_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,2,2,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini2/r2/ep4_b32_mini2_r2_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,2,3,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini2/r3/ep4_b32_mini2_r3_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,32,1,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini32/r1/ep4_b32_mini32_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,32,2,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini32/r2/ep4_b32_mini32_r2_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,32,3,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini32/r3/ep4_b32_mini32_r3_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,32,4,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini32/r4/ep4_b32_mini32_r4_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,32,5,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini32/r5/ep4_b32_mini32_r5_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,4,1,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini4/r1/ep4_b32_mini4_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,4,2,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini4/r2/ep4_b32_mini4_r2_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,4,3,5,32,0.15625,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini4/r3/ep4_b32_mini4_r3_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,8,1,6,32,0.1875,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini8/r1/ep4_b32_mini8_r1_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,8,2,6,32,0.1875,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini8/r2/ep4_b32_mini8_r2_g32_gsm8k_32_42_threshold_0.9_0.jsonl
ep4,32,8,3,6,32,0.1875,/home/esjung/MLLM-EP-raws/poc_refinement_wave_sizing/results/clean/ep4/b32/mini8/r3/ep4_b32_mini8_r3_g32_gsm8k_32_42_threshold_0.9_0.jsonl
