refinement_state,mini_batch_size,model_ms_per_sequence_forward,observer_corrected_model_ms_per_sequence_forward,physical_rows_median,live_ratio_median,active_experts_median,tiny_expert_fraction_le4_median,rank_load_cv_median,remote_bytes_median
early,1,80.74795083438649,74.62293663231314,32.0,0.84375,52.83333333333333,0.7114366641470022,0.539700670648728,1545557.3333333333
middle,1,80.25220327739474,74.16479325964858,32.0,0.5,75.0,0.7793938968290688,0.4039042695982795,1591978.6666666667
late,1,80.50493188155325,74.39835151615435,32.0,0.125,85.33333333333333,0.8104337014201826,0.3775989277975478,1586517.3333333333
early,2,62.34078951885826,36.71520010204568,64.0,0.84375,80.33333333333333,0.6641344975824917,0.48322093409796835,3080192.0
middle,2,61.01428288339779,35.933962698196474,64.0,0.5,106.0,0.6975956105394636,0.3632410956892446,3039232.0
late,2,60.75891404527846,35.783564891820575,64.0,0.125,118.16666666666666,0.7049099263122534,0.32838876822898844,3123882.6666666665
early,4,21.35618142957811,18.843669406112603,128.0,0.8046875,119.33333333333333,0.6097178683385581,0.4575234015463212,6294186.666666667
middle,4,21.116320201328822,18.632027371539245,128.0,0.5,140.66666666666669,0.5760254100508035,0.3541041764093705,6290090.666666666
late,4,21.14477903877623,18.657138083691116,128.0,0.1484375,153.0,0.5647079108904062,0.29642108291540165,6316032.0
early,8,12.766183488509235,10.542302817530532,256.0,0.853515625,142.66666666666666,0.5097230837641518,0.4611132329827191,12599296.0
middle,8,11.607762122640805,9.585679497783119,256.0,0.50390625,171.66666666666666,0.4506610257797549,0.33466578657796914,12689408.0
late,8,11.95924545976725,9.87593412075939,256.0,0.125,182.16666666666669,0.4113647754124168,0.2839075260312449,12551509.333333334
early,16,7.746514460619758,6.028714871205884,512.0,0.8359375,176.0,0.41800199574307023,0.4560828022106616,25231360.0
middle,16,7.150110350714789,5.5645641431706165,512.0,0.490234375,191.0,0.30560220528587734,0.3250474436105953,25458005.333333332
late,16,8.940780844839978,6.958151141844911,512.0,0.095703125,201.0,0.2743869915359813,0.2912444471667452,25458005.333333332
early,32,6.816145181655884,5.527553216350545,1024.0,0.90380859375,175.83333333333331,0.31748695419837764,0.4762970311208423,50541909.33333333
middle,32,4.889921697646535,3.9654822025023306,896.0,0.44455645161290325,206.33333333333334,0.2294882933673141,0.33009497218194017,44619093.333333336
late,32,11.91901165506114,9.665722993542154,176.0,0.1808347902097902,167.16666666666669,0.4796025281071904,0.3022125570219927,8833706.666666666
