global_m,routing,policy,transaction_ms
1,mild_skew,low_latency,0.09830399975180551
1,mild_skew,normal,0.27211201190948403
1,real_like,low_latency,0.10814400017261451
1,real_like,normal,0.2828159928321835
1,strong_skew,low_latency,0.146368004381656
1,strong_skew,normal,0.3419360071420665
1,uniform,low_latency,0.1019040010869495
1,uniform,normal,0.30044798552989904
2,mild_skew,low_latency,0.1074880026280875
2,mild_skew,normal,0.2879520058631895
2,real_like,low_latency,0.103280000388622
2,real_like,normal,0.2813439965248105
2,strong_skew,low_latency,0.1038079969584935
2,strong_skew,normal,0.27817599475383703
2,uniform,low_latency,0.107375998049974
2,uniform,normal,0.29059199988842
4,mild_skew,low_latency,0.1022399999201295
4,mild_skew,normal,0.2804320007562635
4,real_like,low_latency,0.10457599908113452
4,real_like,normal,0.29142400622367803
4,strong_skew,low_latency,0.10222399979829751
4,strong_skew,normal,0.27907200157642353
4,uniform,low_latency,0.10302399843931151
4,uniform,normal,0.307423993945121
8,mild_skew,low_latency,0.10479999706149051
8,mild_skew,normal,0.29652799665927854
8,real_like,low_latency,0.1079519987106315
8,real_like,normal,0.29168000817298856
8,strong_skew,low_latency,0.1617280021309845
8,strong_skew,normal,0.44457599520683255
8,uniform,low_latency,0.10691199824213901
8,uniform,normal,0.279168009757995
16,mild_skew,low_latency,0.10745600238442352
16,mild_skew,normal,0.3050719946622845
16,real_like,low_latency,0.102432001382112
16,real_like,normal,0.297120004892349
16,strong_skew,low_latency,0.12449600175023051
16,strong_skew,normal,0.326736003160476
16,uniform,low_latency,0.10702400282025301
16,uniform,normal,0.29347200691699954
32,mild_skew,low_latency,0.1138079985976215
32,mild_skew,normal,0.283344000577926
32,real_like,low_latency,0.10542399808764401
32,real_like,normal,0.28329600393772103
32,strong_skew,low_latency,0.10337600111961301
32,strong_skew,normal,0.2796639949083325
32,uniform,low_latency,0.10462399944663
32,uniform,normal,0.28505600988864854
64,mild_skew,low_latency,0.102815996855497
64,mild_skew,normal,0.27888000011444053
64,real_like,low_latency,0.10271999984979602
64,real_like,normal,0.2787199914455405
64,strong_skew,low_latency,0.10151999816298402
64,strong_skew,normal,0.274239987134933
64,uniform,low_latency,0.11868800222873602
64,uniform,normal,0.298384010791778
128,mild_skew,low_latency,0.10988799855112952
128,mild_skew,normal,0.3061919957399365
128,real_like,low_latency,0.1058080010116095
128,real_like,normal,0.284416005015373
128,strong_skew,low_latency,0.10587200149893701
128,strong_skew,normal,0.28377600014209703
128,uniform,low_latency,0.105951998382806
128,uniform,normal,0.286656007170677
256,mild_skew,low_latency,0.18208000063896151
256,mild_skew,normal,0.6276159882545466
256,real_like,low_latency,0.11515199765563
256,real_like,normal,0.29443199932575154
256,strong_skew,low_latency,0.11435199901461551
256,strong_skew,normal,0.3020640015602105
256,uniform,low_latency,0.19628799706697403
256,uniform,normal,0.45870400965213703
512,mild_skew,low_latency,0.11747200042009301
512,mild_skew,normal,0.2987360060214995
512,real_like,low_latency,0.1245120018720625
512,real_like,normal,0.2825759947299955
512,strong_skew,low_latency,0.1239200010895725
512,strong_skew,normal,0.29364798963069905
512,uniform,low_latency,0.12505599483847551
512,uniform,normal,0.294271990656852
1024,mild_skew,low_latency,0.17215999960899303
1024,mild_skew,normal,0.305023998022079
1024,real_like,low_latency,0.173119999468326
1024,real_like,normal,0.310080006718635
1024,strong_skew,low_latency,0.17028800398111252
1024,strong_skew,normal,0.29164800047874406
1024,uniform,low_latency,0.17119999974966002
1024,uniform,normal,0.327600002288818
2048,mild_skew,low_latency,0.311520010232925
2048,mild_skew,normal,0.44964800775051106
2048,real_like,low_latency,0.3165280073881145
2048,real_like,normal,0.44499200582504206
2048,strong_skew,low_latency,0.32406398653984053
2048,strong_skew,normal,0.438240006566047
2048,uniform,low_latency,0.31331200897693556
2048,uniform,normal,0.45092800259590105
4096,mild_skew,low_latency,0.5610080063343046
4096,mild_skew,normal,0.60232001543045
4096,real_like,low_latency,0.5653119981288905
4096,real_like,normal,0.611456006765365
4096,strong_skew,low_latency,0.5585919916629791
4096,strong_skew,normal,0.582336008548736
4096,uniform,low_latency,0.5586719810962675
4096,uniform,normal,0.6020320057868951
8192,mild_skew,low_latency,0.9412640035152431
8192,mild_skew,normal,0.8097440004348756
8192,real_like,low_latency,0.930447995662689
8192,real_like,normal,0.7775840163230896
8192,strong_skew,low_latency,0.9453759789466856
8192,strong_skew,normal,0.5586879849433896
8192,uniform,low_latency,0.9423840045928955
8192,uniform,normal,0.8192000091075895
