policy,risk_kind,target_fraction,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,rank_cv_after_median,rank_cv_after_p10,rank_cv_after_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_rel_l2_median,vision_rel_l2_p10,vision_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,renorm_combined_rel_l2_median,renorm_combined_rel_l2_p10,renorm_combined_rel_l2_p90,renorm_vision_rel_l2_median,renorm_vision_rel_l2_p10,renorm_vision_rel_l2_p90,swaps_median,swaps_p10,swaps_p90
ep_refined_s0.02,contribution,0.02,54,0.02,0.019770408163265307,0.020124716553287982,0.02098749119097959,0.011285122063565146,0.028903787367750577,0.15306735168054394,0.07032651125516666,0.2461505104079053,0.051679983735084534,0.019294403307139874,0.08697172999382019,0.0560640562325716,0.024351242370903494,0.09385730996727944,0.9986584484577179,0.9962113797664642,0.9998151659965515,0.13024340569972992,0.04178700484335423,0.2630134850740433,0.13494724035263062,0.053868396580219274,0.28781596720218666,3.0,1.0,10.0
ep_refined_s0.02,contribution,0.05,54,0.049886621315192746,0.04974489795918367,0.05,0.056481244125437924,0.03943488943488945,0.06926299446091876,0.1461808444960309,0.06804099039918202,0.24399814319043528,0.09439398720860481,0.04958904907107353,0.1443548858165741,0.10624022409319878,0.05687539763748646,0.15471128970384598,0.9955394566059113,0.9895276904106141,0.9988171815872192,0.24537163227796555,0.08834804221987724,0.4044013440608979,0.26135489344596863,0.09964684993028641,0.42880338430404674,8.0,3.0,22.700000000000003
ep_refined_s0.02,contribution,0.1,54,0.10005668934240362,0.1,0.10012755102040816,0.1127436904941817,0.0884962204059706,0.13547140347452666,0.14704587800719376,0.05126251777261211,0.23666662196900493,0.14520493149757385,0.09841316565871239,0.21354454159736636,0.15850410610437393,0.1093771368265152,0.22566767781972885,0.9894114434719086,0.9769342303276062,0.9952882826328278,0.36061106622219086,0.16032413244247437,0.6071162819862368,0.3851127028465271,0.17127836495637894,0.6539473712444307,16.0,6.0,45.80000000000001
ep_refined_s0.02,contribution,0.15,54,0.14994331065759636,0.14987244897959184,0.15,0.1680798185871789,0.1356881214024071,0.1924320144427911,0.14437879110313942,0.041152759728123614,0.2271335568309284,0.18267026543617249,0.13315465152263642,0.2686035007238388,0.2055918350815773,0.1543363243341446,0.2864386707544327,0.9832930862903595,0.9632594108581543,0.991262698173523,0.49775445461273193,0.2173039123415947,0.7357450842857363,0.5302170515060425,0.25736063271760945,0.8203955829143524,23.5,11.3,61.0
ep_refined_s0.02,contribution,0.2,54,0.20011337868480725,0.2,0.2002551020408163,0.22036065903485752,0.18415925026968719,0.24727137995802123,0.12966820530295778,0.036559957897550656,0.22368414978450651,0.2345634251832962,0.17978259772062302,0.31710425615310667,0.2621908336877823,0.19131784290075302,0.33632481396198277,0.9749518036842346,0.9484646022319794,0.9838110387325287,0.6311914324760437,0.26460806727409364,0.7993099689483643,0.6629083156585693,0.31901181638240816,0.9083025217056275,30.5,14.0,70.80000000000001
ep_refined_s0.02,contribution,0.3,54,0.2998866213151927,0.2997448979591837,0.3,0.3136353374971781,0.2677353020496225,0.35399147782203483,0.1209193515500316,0.019439365762359533,0.2080815947577443,0.3097274452447891,0.246009723842144,0.39423686265945435,0.349905863404274,0.25619339644908906,0.42233746945858003,0.9529175460338593,0.919056099653244,0.9693292498588562,0.7939151227474213,0.40511718690395354,1.0073464274406434,0.8357109725475311,0.4735065698623658,1.1030786991119386,36.5,17.6,93.0
ep_refined_s0.02,router,0.02,54,0.02,0.019770408163265307,0.020124716553287982,0.023739081431389142,0.015708274894810637,0.03446812550024702,0.15284215261257922,0.06908926892932332,0.24302258230539614,0.06376820430159569,0.025875884853303437,0.09393650889396668,0.07032578065991402,0.028001758083701138,0.10086966454982757,0.9979663491249084,0.9955811023712158,0.9996614158153534,0.11545997112989426,0.04707003608345986,0.18279427886009217,0.12041990086436272,0.05768572576344014,0.20040790587663654,5.0,1.0,18.400000000000006
ep_refined_s0.02,router,0.05,54,0.049886621315192746,0.04974489795918367,0.05,0.06481862863153504,0.04816997518610424,0.08526409371077258,0.144193908356,0.055952558539909165,0.23344969109395236,0.10730091854929924,0.06805293485522271,0.15530500411987305,0.1189737357199192,0.07311826422810555,0.1645163670182228,0.9943989515304565,0.9878681838512421,0.997682374715805,0.19353510439395905,0.0815706990659237,0.28042108416557315,0.20795660465955734,0.09751374572515488,0.30096689164638524,14.0,6.0,40.400000000000006
ep_refined_s0.02,router,0.1,54,0.10005668934240362,0.1,0.10012755102040816,0.13184209016315052,0.10631773724557225,0.1648253823898303,0.12332481640159929,0.0384353948092964,0.2184427806126373,0.16197234392166138,0.11515984684228898,0.22366415709257126,0.17932165414094925,0.12824259847402572,0.23955137878656388,0.9870326519012451,0.9746726810932159,0.993442964553833,0.2845064401626587,0.1287262350320816,0.37716996371746064,0.3025749921798706,0.15719083994626998,0.42273692488670356,30.5,15.0,85.10000000000001
ep_refined_s0.02,router,0.15,54,0.14994331065759636,0.14987244897959184,0.15,0.1870498109768381,0.1612677177894569,0.23541143958401517,0.10156169233185769,0.027315830798318654,0.1964104647315746,0.20433040708303452,0.157204732298851,0.274824732542038,0.22617001086473465,0.16212569177150726,0.29383774399757384,0.9792387783527374,0.9615268170833587,0.9876238822937011,0.3706720620393753,0.17992616146802903,0.4481722623109818,0.39699941873550415,0.20926910787820815,0.502951991558075,47.0,20.3,110.50000000000001
ep_refined_s0.02,router,0.2,54,0.20011337868480725,0.2,0.2002551020408163,0.23762040587300104,0.213157629872464,0.2968232101241925,0.08860349376586561,0.026036822159500785,0.18933496166912628,0.24329935759305954,0.18701704889535903,0.32233365178108214,0.27019916474819183,0.1986953169107437,0.34279946982860565,0.9699767827987671,0.946628886461258,0.9830487608909607,0.45324794948101044,0.20796544402837755,0.5636490166187287,0.471488282084465,0.24880030900239947,0.5967546164989471,55.0,25.0,136.8
ep_refined_s0.02,router,0.3,54,0.2998866213151927,0.2997448979591837,0.3,0.3301913599151336,0.30218300891395306,0.3977278830192364,0.08623141234773819,0.00796082649525465,0.17387657222307076,0.3072315454483032,0.24745541363954546,0.397377747297287,0.3435415029525757,0.2628025233745575,0.4282520622015,0.9522084295749664,0.9176694214344024,0.9695481836795807,0.5834404528141022,0.2684462159872055,0.6921589136123657,0.6244433224201202,0.3196454793214798,0.7381724417209625,60.5,31.0,161.90000000000003
ep_refined_s0.05,contribution,0.02,54,0.02,0.019770408163265307,0.020124716553287982,0.025255954554885107,0.014084185710483267,0.03320835271901256,0.15066517462115375,0.06813958668810179,0.24369916032856018,0.050910986959934235,0.021466730907559396,0.08855200856924057,0.05769945681095123,0.026707592234015465,0.09387354701757432,0.9987029433250427,0.9960725426673889,0.9997708022594451,0.12899021059274673,0.04184356108307839,0.24970846176147463,0.13549520820379257,0.053947024047374725,0.2614004939794541,5.0,2.0,15.400000000000006
ep_refined_s0.05,contribution,0.05,54,0.049886621315192746,0.04974489795918367,0.05,0.0642923219241443,0.04770459081836333,0.07771614315031786,0.14241159920738983,0.05750003525729947,0.24028304438122888,0.09481240808963776,0.05159264877438545,0.1447055995464325,0.10542357712984085,0.057428668811917306,0.1549227550625801,0.9954998195171356,0.9894759297370911,0.9987148106098175,0.2451041415333748,0.08762746900320054,0.3967321217060091,0.26061491668224335,0.09791486933827401,0.4298384815454484,12.5,4.300000000000001,33.0
ep_refined_s0.05,contribution,0.1,54,0.10005668934240362,0.1,0.10012755102040816,0.12443394780476252,0.10256410256410253,0.147311037899078,0.13803018250031374,0.03942761750579604,0.22590516308263564,0.1461968645453453,0.09898171871900559,0.21425812393426896,0.15960783511400223,0.10870998203754426,0.22808102667331698,0.989262580871582,0.976780766248703,0.9954357266426086,0.36127589643001556,0.15885037034749985,0.5879560470581058,0.38110603392124176,0.168949918448925,0.6327369034290317,26.0,10.0,67.10000000000001
ep_refined_s0.05,contribution,0.15,54,0.14994331065759636,0.14987244897959184,0.15,0.184936789826172,0.15084249084249085,0.21483103279166324,0.1257768881227918,0.02674663077949936,0.21443616545242256,0.18465938419103622,0.13869225084781647,0.2709431856870651,0.20777051150798798,0.1533534288406372,0.2875691503286362,0.9829778969287872,0.9626179158687591,0.991284066438675,0.49372154474258423,0.21772265434265137,0.7364432632923128,0.5181024074554443,0.2574855148792267,0.8212318241596221,34.0,18.0,88.7
ep_refined_s0.05,contribution,0.2,54,0.20011337868480725,0.2,0.2002551020408163,0.2307121444761278,0.20280448717948715,0.27478415038129467,0.1180870806665689,0.018494219446966245,0.20384366573920973,0.2333667129278183,0.17957924157381058,0.3195716619491577,0.2675478607416153,0.1910480812191963,0.3388999313116074,0.9740862846374512,0.9476094663143158,0.9837647795677185,0.6096503436565399,0.2640527099370957,0.7938031256198883,0.6499553024768829,0.31255962252616887,0.9038717806339265,44.5,19.3,101.80000000000001
ep_refined_s0.05,contribution,0.3,54,0.2998866213151927,0.2997448979591837,0.3,0.3259694202842179,0.2888750424832899,0.3796282616466103,0.09625098905923019,0.0152033311816373,0.18125310876170728,0.3133414685726166,0.2497345507144928,0.3988465368747711,0.35219985246658325,0.262914702296257,0.42400560677051546,0.9524907469749451,0.9170801222324372,0.9684009909629822,0.8038918972015381,0.3861703217029572,1.0134412288665773,0.8626066148281097,0.44392482936382294,1.1082391977310182,58.0,24.0,131.5
ep_refined_s0.05,router,0.02,54,0.02,0.019770408163265307,0.020124716553287982,0.0294372508727192,0.0205731394354149,0.04115980775159327,0.1500424096811686,0.06591361074761917,0.2412306555698221,0.06302395462989807,0.025731512717902666,0.0941734604537487,0.06946086883544922,0.02785449139773846,0.10107488334178924,0.9980457425117493,0.9955573201179504,0.9996657252311707,0.11594264954328537,0.04654361829161644,0.17689233422279357,0.12013940513134003,0.058577433973550794,0.18712756782770157,7.5,1.0,24.700000000000003
ep_refined_s0.05,router,0.05,54,0.049886621315192746,0.04974489795918367,0.05,0.07862298948738283,0.05539973721447344,0.10147132374347756,0.1397146629323674,0.04586821452711366,0.2262033871957451,0.10708951950073242,0.0670524537563324,0.15625303983688354,0.11819712072610855,0.07096416354179383,0.16337679028511048,0.9943211674690247,0.9877161145210266,0.9977526485919952,0.18647660315036774,0.08086641207337379,0.25553263723850256,0.2025488093495369,0.09716531112790108,0.27218481302261355,20.5,8.3,62.400000000000006
ep_refined_s0.05,router,0.1,54,0.10005668934240362,0.1,0.10012755102040816,0.147076252706268,0.1178388564485935,0.19101462698007157,0.11461649861306912,0.03534383232927304,0.20826867831113238,0.157415933907032,0.11466439440846443,0.22309918105602267,0.1780221238732338,0.12351755052804947,0.23682770878076553,0.9875707030296326,0.9748005628585815,0.9935108780860901,0.283308669924736,0.12775878906250002,0.3611089318990708,0.29609915614128113,0.1552574396133423,0.39384447038173676,38.5,18.3,120.50000000000001
ep_refined_s0.05,router,0.15,54,0.14994331065759636,0.14987244897959184,0.15,0.20619666662071434,0.17420770889664913,0.2562514065907345,0.08960705805586296,0.0235760101167557,0.18945239224692428,0.20644202828407288,0.15657119750976561,0.274824732542038,0.22617001086473465,0.1625954106450081,0.2946597129106522,0.9785269200801849,0.9615268170833587,0.9876775801181793,0.36704836785793304,0.18074457496404647,0.4392007350921631,0.3864859789609909,0.20229842960834504,0.4863549292087555,56.0,27.0,144.10000000000002
ep_refined_s0.05,router,0.2,54,0.20011337868480725,0.2,0.2002551020408163,0.25246558670471714,0.21714549554949497,0.30245432580772197,0.08358952177995468,0.023611609646587903,0.1841450976268957,0.24410445988178253,0.18685109168291092,0.32233365178108214,0.2714544087648392,0.20294231176376343,0.34394694566726686,0.9697832465171814,0.946628886461258,0.9832049012184143,0.45130105316638947,0.20796544402837755,0.5701051414012909,0.47969861328601837,0.24880030900239947,0.6118527114391327,60.0,27.3,150.10000000000002
ep_refined_s0.05,router,0.3,54,0.2998866213151927,0.2997448979591837,0.3,0.3328367025466002,0.30218300891395306,0.3977278830192364,0.07536058485002037,0.00796082649525465,0.165525604852709,0.3080628961324692,0.25239971578121184,0.397377747297287,0.3459569662809372,0.2664872854948044,0.4282520622015,0.9522084295749664,0.9176694214344024,0.969230306148529,0.5916370749473572,0.2684462159872055,0.7199904203414917,0.6266190409660339,0.3196454793214798,0.7646590292453767,60.5,31.0,163.10000000000002
semantic_coarse,contribution,0.02,54,0.01984126984126984,0.01913265306122449,0.020124716553287982,0.015080769531444327,0.006791585399832845,0.022764076713267724,0.1557403960395033,0.07441780116931906,0.2516365224346671,0.05412719398736954,0.03039237540215254,0.08941817805171014,0.05819493159651756,0.032298849895596504,0.09610559418797493,0.9985340535640717,0.9959949254989624,0.9995420753955842,0.1434723660349846,0.06208988167345524,0.29126828014850614,0.15717417746782303,0.07184648141264915,0.3074643522500992,0.0,0.0,0.0
semantic_coarse,contribution,0.05,54,0.04974489795918367,0.049107142857142856,0.05,0.03984140550196957,0.029343336538331287,0.05207175876839564,0.1575071515913608,0.08072166349128607,0.25082210854271064,0.10165854915976524,0.056199684739112854,0.14791885316371917,0.1102842427790165,0.06738905161619187,0.15788926929235458,0.9948214888572693,0.9890028238296509,0.9984733045101166,0.26443183422088623,0.09830042570829392,0.474312934279442,0.27596358954906464,0.1093858502805233,0.498161342740059,0.0,0.0,0.0
semantic_coarse,contribution,0.1,54,0.09977324263038549,0.09875,0.10012755102040816,0.08153706688154716,0.0618271590160991,0.09665759813447339,0.16476949817556139,0.0797759440816547,0.25431319434069577,0.15044502913951874,0.107551559060812,0.21791032403707505,0.16751713305711746,0.1220250241458416,0.23271760493516921,0.9888167083263397,0.97598637342453,0.9945326268672943,0.41123801469802856,0.19032427072525024,0.6945766150951388,0.4415449947118759,0.21306099742650988,0.7886665642261507,0.0,0.0,0.0
semantic_coarse,contribution,0.15,54,0.14965986394557823,0.14875,0.15,0.12322141245878881,0.09677702881311127,0.14805001666875023,0.16628595554678427,0.08724002427896785,0.25737667768157196,0.19195181876420975,0.15081285834312438,0.27881820797920226,0.2139343097805977,0.16199567019939423,0.29481104612350467,0.9815594255924225,0.9603615581989289,0.9896673917770386,0.5526831448078156,0.248662868142128,0.7599975109100343,0.5953273773193359,0.2804804354906082,0.8720531761646272,0.0,0.0,0.0
