policy,risk_kind,target_fraction,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,rank_cv_after_median,rank_cv_after_p10,rank_cv_after_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_rel_l2_median,vision_rel_l2_p10,vision_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,renorm_combined_rel_l2_median,renorm_combined_rel_l2_p10,renorm_combined_rel_l2_p90,renorm_vision_rel_l2_median,renorm_vision_rel_l2_p10,renorm_vision_rel_l2_p90,swaps_median,swaps_p10,swaps_p90
ep_refined_s0.02,contribution,0.05,9,0.04974489795918367,0.04974489795918367,0.04974489795918367,0.052854122621564525,0.04250621173698097,0.06617989217818972,0.13136094674556212,0.06959397721480418,0.28851155217861757,0.1196187362074852,0.014277692511677743,0.1375455766916275,0.12352916598320007,0.014808944985270502,0.14558075368404388,0.9928200840950012,0.9904635667800903,0.9998887777328491,0.31787508726119995,0.05139476135373116,0.5355818390846253,0.3693050742149353,0.053317642584443097,0.5678505182266236,7.0,0.8,11.200000000000001
ep_refined_s0.02,contribution,0.1,9,0.10012755102040816,0.10012755102040816,0.10012755102040816,0.10778443113772451,0.0868037944961022,0.1286358787361561,0.11087852647913729,0.05631824639564713,0.28857156727476024,0.176718607544899,0.09275069832801819,0.20485786199569703,0.19227389991283417,0.09618756249547004,0.2136952430009842,0.984271228313446,0.9787683725357056,0.9953986167907715,0.4918673634529114,0.23088549077510834,0.6814463376998903,0.5347645282745361,0.239425565302372,0.7597908496856691,16.0,8.6,24.8
ep_refined_s0.02,contribution,0.15,9,0.14987244897959184,0.14987244897959184,0.14987244897959184,0.16465863453815266,0.1481750727904574,0.189427623795023,0.1002339939576167,0.0490101142372809,0.2811173390239586,0.22035980224609375,0.1405336767435074,0.25948895812034606,0.24475818872451782,0.14567615538835527,0.2706828713417053,0.975434422492981,0.9657216310501099,0.9899138569831848,0.5692732930183411,0.4032931387424469,0.8635912418365479,0.6269034743309021,0.41796606183052065,0.980544400215149,26.0,18.8,38.4
ep_refined_s0.02,contribution,0.2,9,0.2002551020408163,0.2002551020408163,0.2002551020408163,0.22390891840607208,0.20448056268415554,0.23683224392420035,0.0921595598349381,0.04285126189194631,0.2698317941723489,0.2539267838001251,0.17822748720645903,0.30802897810935975,0.29252636432647705,0.18473269343376159,0.32131379246711733,0.9672465920448303,0.9513774275779724,0.9838271975517273,0.6312369108200073,0.4966955244541168,0.899538803100586,0.7151058316230774,0.5147519528865814,1.0216687440872194,30.0,18.8,49.2
ep_refined_s0.02,contribution,0.3,9,0.2997448979591837,0.2997448979591837,0.2997448979591837,0.3134020618556701,0.30646191415422186,0.3694902214430393,0.052410944073019876,0.033269009447447616,0.24900976906707742,0.31048905849456787,0.24406938552856444,0.3942165195941925,0.3562158942222595,0.25296385288238527,0.41121551394462585,0.950657069683075,0.9190623998641968,0.9695553779602051,0.7781485915184021,0.6678153276443481,0.9859210491180421,0.8816748261451721,0.6921844959259034,1.1194525241851807,39.0,31.0,66.8
ep_refined_s0.02,contribution,0.4,9,0.39987244897959184,0.39987244897959184,0.39987244897959184,0.4126984126984127,0.3990697674418605,0.4698221306871372,0.03089939099702751,0.0015180112248631703,0.21347896889585216,0.36338549852371216,0.3031265139579773,0.46364593505859375,0.4169025421142578,0.31417306065559386,0.4836429119110108,0.9317483305931091,0.8860628604888916,0.9526278972625732,0.9819632768630981,0.8430177688598632,1.139038109779358,1.0303821563720703,0.8737447142601014,1.2718926906585695,58.0,38.2,73.2
ep_refined_s0.02,router,0.05,9,0.04974489795918367,0.04974489795918367,0.04974489795918367,0.06291834002677377,0.049816557361467576,0.0799281187931524,0.13136094674556212,0.06144627084201222,0.2846827675099666,0.11710650473833084,0.014348339010030032,0.15013795495033264,0.12270846962928772,0.014881645143032075,0.17049049735069274,0.9931197762489319,0.9886481165885925,0.9998883605003357,0.24277421832084656,0.051471205055713655,0.3196332335472107,0.2785284221172333,0.05339630860835314,0.33849602937698364,14.0,2.4000000000000004,21.0
ep_refined_s0.02,router,0.1,9,0.10012755102040816,0.10012755102040816,0.10012755102040816,0.1319587628865979,0.10784336089725313,0.15472350990166225,0.10439199476533724,0.05098107771375257,0.28955001729671254,0.18674391508102417,0.08751752749085427,0.22112071216106416,0.19284871220588684,0.09076272621750832,0.2476338893175125,0.98241126537323,0.9752490997314454,0.9958870530128479,0.3475300371646881,0.1596434459090233,0.4355108380317688,0.36360353231430054,0.1655309408903122,0.46008412837982177,30.0,14.4,38.0
ep_refined_s0.02,router,0.15,9,0.14987244897959184,0.14987244897959184,0.14987244897959184,0.18816067653276958,0.168119000095048,0.22317986076832733,0.08467801804070649,0.030272171889801094,0.26720142982801376,0.22561796009540558,0.146328204870224,0.26705639362335204,0.24635103344917297,0.1516860768198967,0.29708158373832705,0.9742318987846375,0.9636132955551148,0.9890392780303955,0.4171770215034485,0.24897571206092833,0.49746129512786863,0.4540112316608429,0.2580161362886429,0.5252602577209473,51.0,24.6,62.4
ep_refined_s0.02,router,0.2,9,0.2002551020408163,0.2002551020408163,0.2002551020408163,0.25167336010709507,0.22753722794959905,0.2960705349696175,0.04686856956643967,0.026616141300876642,0.24279569885442406,0.2539243698120117,0.18450076282024383,0.3139470100402832,0.29134252667427063,0.1914163589477539,0.32899857163429264,0.9672470092773438,0.9493772864341736,0.9827126502990723,0.5099761486053467,0.3115856170654297,0.5654774665832519,0.5406202673912048,0.32286102771759034,0.630362582206726,58.0,42.2,80.4
